IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",f67c0d67-84c9-38f6-b0d2-b58afcf4b1a1,Chromium,007440-47-3,"river, long-term",Emission to water,g,0.263
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",16395c4f-6c10-41ff-97a0-965fc297a46c,"Ethane, 1,2-dibromo-",000106-93-4,"river, long-term",Emission to water,g,0.0159
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",d683a066-172c-4a75-960d-a8fe2878c8c9,Chlorine,007782-50-5,"river, long-term",Emission to water,g,0.00859
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",e9584091-2d0a-4b6d-abac-bcc7909a4335,DIETHANOLAMINE,000111-42-2,"river, long-term",Emission to water,g,0.0159
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",6570b202-29b7-4525-ab23-c56f1913903d,Silver,007440-22-4,"river, long-term",Emission to water,g,430
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",c7e27f9d-8844-4476-8b29-c7b45c55c276,Ethylene glycol,000107-21-1,"river, long-term",Emission to water,g,0.0159
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",5c7b344c-26d5-4a91-8dce-0f7db0871537,"Hydrocarbons, aromatic",,"river, long-term",Emission to water,g,0.0478
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",b2333e75-f6a3-4749-8bd4-544f1134f345,Cumene,000098-82-8,"river, long-term",Emission to water,g,0.0183
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",3187ed10-425f-4910-ac90-78679317d21d,t-Butyl methyl ether,001634-04-4,"river, long-term",Emission to water,g,0.0159
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",90dc9046-b8a8-40b6-a52b-7a91fb4bfac0,Xylene,001330-20-7,"river, long-term",Emission to water,g,0.00522
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",7b1e7bb6-3689-4d03-be9c-42ac588c3a95,4-Methyl-2-pentanone,000108-10-1,"river, long-term",Emission to water,g,0.0157
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0,Ecotoxicity,"g 2,4-D eq",9a2c3ece-93d5-4ac6-aedf-647396aa676b,"Ethane, hexachloro-",000067-72-1,"river, long-term",Emission to water,g,0.0263
