IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,b101cae3-a323-4b8a-8cc8-43d305b6e2ff,"BOD5, Biological Oxygen Demand",,"river, long-term",Emission to water,g,0.05
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,9b8188d5-294f-4ea5-aeda-4e572490a51e,Nitrogen,007727-37-9,"river, long-term",Emission to water,g,0.986
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,80a0931d-d592-400a-8314-d85bdc5dbccf,Nitrite,014797-65-0,"river, long-term",Emission to water,g,0.32
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,d76b8325-e4de-4d1c-b2b8-cf0128dc941c,Phosphorus,007723-14-0,"river, long-term",Emission to water,g,7.29
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,930e0aba-b5e3-426e-a182-bfb2ae961bc4,Nitrate,014797-55-8,"river, long-term",Emission to water,g,0.237
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,2a89246a-8408-4775-a6db-7c33656f1469,Phosphate,014265-44-2,"river, long-term",Emission to water,g,2.33
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,be437c78-bc3a-4ccc-bdf3-9129d143a891,"COD, Chemical Oxygen Demand",,"river, long-term",Emission to water,g,0.05
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,f1fd2d13-7b1d-43bc-9294-8c5a1db02ac4,"Ammonium, ion",014798-03-9,"river, long-term",Emission to water,g,0.986
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,f85bf23d-cf72-4ca7-b33f-3b1ee02a1f4c,"Ammonium, ion",014798-03-9,"fresh water, long-term",Emission to water,g,0.986
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,cd68d2a8-b0aa-492a-9972-f9a67eaa5355,Nitrate,014797-55-8,"fresh water, long-term",Emission to water,g,0.237
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,6054fc06-c63a-48f2-bb80-3733834167bc,Phosphate,014265-44-2,"fresh water, long-term",Emission to water,g,2.33
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,066872fe-7faf-4fa1-b6b7-a347c395976f,Nitrite,014797-65-0,"fresh water, long-term",Emission to water,g,0.32
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,dc2458f6-30fc-4c71-97f6-ff4c5470bd3a,"BOD5, Biological Oxygen Demand",,fossil-,Emission to water,g,0.05
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,c04ef26d-7a0b-4ef4-a79f-d64a840866bc,"Ammonium, ion",014798-03-9,fossil-,Emission to water,g,0.986
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,921a8f84-63fd-4d1c-81be-bce6bd840e13,Nitrogen,007727-37-9,fossil-,Emission to water,g,0.986
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,b2c8d9ab-da12-445f-bf52-eeca64a96fd6,"COD, Chemical Oxygen Demand",,fossil-,Emission to water,g,0.05
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,946c1ab0-3308-466a-8c56-54182159a3c6,Nitrite,014797-65-0,fossil-,Emission to water,g,0.32
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,503ccbc4-8697-46e7-9a9b-beee17d4cdec,Phosphate,014265-44-2,fossil-,Emission to water,g,2.33
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,362acbd4-9fee-4943-9b92-4e73ef4b3387,Phosphorus,007723-14-0,fossil-,Emission to water,g,7.29
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,3ae8c924-dc92-4971-a415-4b82261842f3,Nitrate,014797-55-8,fossil-,Emission to water,g,0.237
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,4574cd53-77cc-4540-827b-5736dda9c4d7,"BOD5, Biological Oxygen Demand",,fresh water,Emission to water,g,0.05
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,09257c34-f323-436a-81be-ef90e9171ed2,Nitrite,014797-65-0,fresh water,Emission to water,g,0.32
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,26fd0df4-74ca-4144-b632-6e6f5f6d07b1,"Ammonium, ion",014798-03-9,fresh water,Emission to water,g,0.986
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,b3cfad3f-b7da-490b-a491-8507a1bb7c4b,"COD, Chemical Oxygen Demand",,fresh water,Emission to water,g,0.05
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,6a7e5863-714c-4dd4-9fbc-0d92b8f67e93,Phosphorus pentoxide,001314-56-3,fresh water,Emission to water,g,3.18
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,d07a6bba-3816-4ac1-bb17-f0b99e5ee17a,"Phosphorus, total",,fresh water,Emission to water,g,7.29
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,a87680bc-ecde-471a-88bb-6bc7482a62cf,Phosphate,014265-44-2,fresh water,Emission to water,g,2.33
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,4d11b9d2-f8b4-413f-822f-141d7ae493d8,Phosphorus,007723-14-0,fresh water,Emission to water,g,7.29
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,14855254-9651-473b-92a2-1d0e4438ddbd,Nitrogen,007727-37-9,fresh water,Emission to water,g,0.986
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,180520a0-34e8-4058-bac9-27cbbb32c527,Nitrate,014797-55-8,fresh water,Emission to water,g,0.237
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,aedea697-930a-4a0e-9e4f-b9c369aa9a33,"BOD5, Biological Oxygen Demand",,"ground water, long-term",Emission to water,g,0.05
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,Eutrophication,g N eq,b61057a3-a0bc-4158-882e-b819c4797419,Nitrate,,"ground water, long-term",Emission to water,g,0.237
