IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,439ab5f3-764f-461a-8cda-3667d7ba1ccf,Propene,000115-07-1,"river, long-term",Emission to water,g,0.9
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,b1ecbcb5-e4f9-44ec-8190-78f7bfbbe14a,Bromoxynil,001689-84-5,"river, long-term",Emission to water,g,2
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,48b4bde2-adce-3769-a7dd-2bf04ca685ae,"Ethene, 1,1-dichloro-",000075-35-4,"river, long-term",Emission to water,kg,10.4
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,16395c4f-6c10-41ff-97a0-965fc297a46c,"Ethane, 1,2-dibromo-",000106-93-4,"river, long-term",Emission to water,g,15.9
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,9a2c3ece-93d5-4ac6-aedf-647396aa676b,"Ethane, hexachloro-",000067-72-1,"river, long-term",Emission to water,g,399
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,d58b95e1-3f54-4161-aa71-473130dc5b90,Hexane,000110-54-3,"river, long-term",Emission to water,g,0.21
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,df755304-3008-470a-8885-45af0f17cd97,Linuron,000330-55-2,"river, long-term",Emission to water,g,6.79
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,b9be7650-1c51-47a3-b6c6-c26db39b5771,Benzene,000071-43-2,"river, long-term",Emission to water,g,0.848
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,432cc3f0-fd91-4905-adb4-db5d599b4eee,Metolachlor,051218-45-2,"river, long-term",Emission to water,g,0.12
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,e0d754f4-ae9e-46be-b87c-8790982b83fd,Cyanazine,021725-46-2,"river, long-term",Emission to water,g,8.71
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,951d4773-b779-4204-a820-6eed906dc2df,"Ethene, tetrachloro-",000127-18-4,"river, long-term",Emission to water,g,1.42
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,547cf7b1-0a2a-4e61-a02e-c2a03c42bc8f,"Ethene, chloro-",000075-01-4,"river, long-term",Emission to water,g,4.89
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,cd062e4c-eb46-4aff-8727-4edb0e1d60ae,Phenol,000108-95-2,"river, long-term",Emission to water,g,380
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,4afb4005-be3d-44c5-adf0-a7a01969d0d0,Glyphosate,001071-83-6,"river, long-term",Emission to water,g,0.0734
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,ea8c4e51-bfb3-4b64-8175-af6ed8260790,Butadiene,000106-99-0,"river, long-term",Emission to water,g,11.9
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,01a0ee45-df98-4286-a8ee-fe5660c3177a,"Ethane, 1,2-dichloro-",000107-06-2,"river, long-term",Emission to water,g,5.79
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,84170258-79c2-4d46-a205-4508156d21e1,Chloroform,000067-66-3,"river, long-term",Emission to water,g,4.18
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,567617aa-7173-462d-a0e5-fb324bcba540,"Ethene, trichloro-",000079-01-6,"river, long-term",Emission to water,g,0.189
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,c6f0a35d-eccf-4112-8236-62fd9d05fb7f,Chlorothalonil,001897-45-6,"river, long-term",Emission to water,g,0.00242
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,594e7269-c153-4efb-b100-a3af0504a131,Simazine,000122-34-9,"river, long-term",Emission to water,g,0.609
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,5958a968-d153-415f-acbf-81719c1aa09f,Lead,007439-92-1,"river, long-term",Emission to water,g,2.56
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,db0e1e1f-84db-4b8e-8276-ef22828fea47,Ethoprop,013194-48-4,"river, long-term",Emission to water,g,3.73
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,99a3ba49-0b5c-478d-886d-48c22fef6f95,Arsenic,007440-38-2,"river, long-term",Emission to water,g,816
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,2d584e09-2718-4239-9ce6-d99dbba934d4,Formaldehyde,000050-00-0,"river, long-term",Emission to water,g,0.0003
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,9c0bd24b-a4d4-4de5-9e77-63a990b502f0,"Methane, dichloro-, HCC-30",000075-09-2,"river, long-term",Emission to water,g,0.368
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,273c4ddb-34b2-4b62-95fe-185eb62d2c7d,Permethrin,052645-53-1,"river, long-term",Emission to water,g,2.22
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,HH cancer,g C6H6 eq,08ba6a82-89d5-4cc6-bc09-b2aa18f9eda2,"Arsenic, ion",017428-41-0,"river, long-term",Emission to water,g,816
