IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,0cb15483-4298-4d26-8bfc-8acd287dcbb1,Cyclohexane,000110-82-7,"river, long-term",Emission to water,g,0.415
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,dccdc30c-98b7-4533-b8f9-eb0e175f674f,Aluminium,007429-90-5,"river, long-term",Emission to water,g,24.2
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,bf410fd5-6864-4d57-9656-6e7939a481df,"Benzene, 1,2,4-trimethyl-",000095-63-6,"river, long-term",Emission to water,g,842
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,1f393239-efbf-4515-b363-42efeddf37a4,Barite,007727-43-7,"river, long-term",Emission to water,g,126
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,29b3ff04-524c-4d95-a1a0-b50062c213c4,Tribufos,000078-48-8,"river, long-term",Emission to water,g,"248,000"
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,ef204bee-1b35-4907-bffc-dd102eeeabe1,Metribuzin,021087-64-9,"river, long-term",Emission to water,g,19
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,81eb61a9-4f9d-4079-bbd9-dbb18cbb8db8,Dicamba,001918-00-9,"river, long-term",Emission to water,g,11
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,439ab5f3-764f-461a-8cda-3667d7ba1ccf,Propene,000115-07-1,"river, long-term",Emission to water,g,0.0743
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,b1ecbcb5-e4f9-44ec-8190-78f7bfbbe14a,Bromoxynil,001689-84-5,"river, long-term",Emission to water,g,28
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,48b4bde2-adce-3769-a7dd-2bf04ca685ae,"Ethene, 1,1-dichloro-",000075-35-4,"river, long-term",Emission to water,kg,45.4
