IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,81cbf61d-5dde-339d-9a94-c29266ad17a8,"1-Hydroxy-1,1-diphosphonoethane",002809-21-4,forestry,Emission to soil,kg,38.26
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,add26769-35f4-425e-8d59-4b09ecb03a85,Maleic acid,000110-16-7,forestry,Emission to soil,kg,191.7
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,a9b332b1-f8cf-44e6-858f-9ea3c16c1c67,Methacrylic acid,000079-41-4,forestry,Emission to soil,kg,216.1
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,bc6c5e45-07f1-3e23-b615-31317c9ad649,"Alpha-Sulfo-omega-(dodecyloxy)poly(oxy-1,2-ethanediyl), Sodium salt",009004-82-4,forestry,Emission to soil,kg,2.379
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,4919b2f5-5534-32bd-aa4e-c81a34b0727f,Dibutyl maleate,000105-76-0,forestry,Emission to soil,kg,3.427
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,3c6d0042-a117-3e0c-8a0b-8c4cdae56944,Sodium lauryl sulfate,000151-21-3,forestry,Emission to soil,kg,34.17
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,e1a32de4-72ca-3cce-9477-562a23d79a64,"Hexane, 1,6-diisocyanato-",000822-06-0,forestry,Emission to soil,kg,700.6
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,8ed6c205-cc9f-312f-bbd5-37224b5425c6,Dodecylbenzenesulfonic acid sodium,025155-30-0,forestry,Emission to soil,kg,146.7
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,395dbc2f-c748-4483-9ed2-b5767b6ba7c4,Nitrobenzene,000098-95-3,forestry,Emission to soil,kg,"6,141"
EDIP 2003,e3a86bfa-e71e-389e-991b-b3289cc7c21d,Human toxicity soil,m3,b1a98fa7-f669-433f-a627-b2c692b81f20,"2-Propenal, 2-methyl-",000078-85-3,forestry,Emission to soil,kg,976.9
