IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,1a313b30-7156-4bc3-9f3b-54faa4b742b6,Antimony V,022537-51-5,forestry,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,1173fbf5-c554-4ffc-8168-aadb0f823b40,Antimony III,023713-48-6,forestry,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,591de726-f2c7-43ba-8e22-15fd08acc8dc,Chromium,,forestry,Emission to soil,kg,0.00005
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,1e19d86e-968d-4428-984f-70bfd843a8f4,Arsenic,007440-38-2,forestry,Emission to soil,kg,0.00004
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,8d226423-1351-4366-b09f-d16c9e38683c,Zinc,,forestry,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,01285299-c683-4e15-b654-201987a7a738,Chromium VI,018540-29-9,forestry,Emission to soil,kg,0.00005
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,b03642f4-8fa3-44df-ba91-7bcf5677d9a7,Cadmium,,forestry,Emission to soil,kg,0.00005
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,5de1943f-b011-45a0-97d4-ed15eea6a382,Nickel,,forestry,Emission to soil,kg,0.00002
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,47d20967-a49a-4fb3-881d-51956520449e,Selenium,007782-49-2,forestry,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,837083ce-41cd-49f3-a849-d79564dac238,Lead,,forestry,Emission to soil,kg,0.00001
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,c486d0f8-f2be-4c5e-b594-9fa5d6942f9e,Mercury,007439-97-6,forestry,Emission to soil,kg,0.00183
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,183f9856-03ab-464d-9366-8ef62077b510,Antimony,007440-36-0,forestry,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,85c40d9a-cbf0-44f0-a9a2-5b1edee4055a,Beryllium,007440-41-7,forestry,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,c792edbf-a11f-459d-9d92-15ad0c2f0c3c,Barium,007440-39-3,forestry,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,33e28042-7a6a-4b68-9923-2321cb738164,"Arsenic, ion",017428-41-0,forestry,Emission to soil,kg,0.00004
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,1521d4a1-363c-3337-b228-d6ed8deeecf2,Arsenic III,022541-54-4,agricultural,Emission to soil,kg,0.00006
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,81e65024-d6da-3e5d-b605-7e9f082be640,Antimony V,022537-51-5,agricultural,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,51acafad-76c1-3756-863e-51e43147cc74,Antimony III,023713-48-6,agricultural,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,e7881581-21b3-4f5c-bd63-6b0684b5e712,Chromium,,agricultural,Emission to soil,kg,0.00005
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,4673a799-36a5-4359-ac6a-fa933281bc93,Arsenic,,agricultural,Emission to soil,kg,0.00006
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,08a91e70-3ddc-11dd-9f79-0050c2490048,"Chromium, ion",016065-83-1,agricultural,Emission to soil,kg,0.00005
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,cef77e08-b1c6-4893-a8eb-be2ada072c7a,"Arsenic, ion",017428-41-0,agricultural,Emission to soil,kg,0.00006
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,84aa799e-9d98-4d34-85e0-516d28ab1be9,Zinc,,agricultural,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,ed2d49f8-110d-4db4-9488-f61c349e6117,Mercury,,agricultural,Emission to soil,kg,0.00365
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,162b7095-c497-4b3c-a290-01ebe4bc9a08,Beryllium,007440-41-7,agricultural,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,b4580545-243d-48d2-a3a0-2633a4f46fb1,Nickel,,agricultural,Emission to soil,kg,0.00003
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,e429b852-e421-4fcb-8a9b-b0241863bfb2,Cadmium,,agricultural,Emission to soil,kg,0.00009
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,f8199e39-7354-44ad-92d8-6a2cc3bac24e,Barium,,agricultural,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,f4cf8d5c-f030-4b55-a3af-e3c20b855ee8,Antimony,,agricultural,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,4010918f-7fd0-4925-8fbb-8fd7a44a806c,Lead,,agricultural,Emission to soil,kg,0.00002
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,c6ce1ad0-d8da-41d0-8db1-cabc3760b422,Selenium,007782-49-2,agricultural,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,8ec83662-7c2b-4452-8acf-95a0bb94233c,Chromium VI,018540-29-9,agricultural,Emission to soil,kg,0.00005
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,dc075486-d663-3d68-8a96-baa763028ae9,Arsenic III,022541-54-4,unspecified,Emission to soil,kg,0.00004
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,12e3d042-1791-38b9-9c53-f51ddd763977,Antimony V,022537-51-5,unspecified,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,95f80b67-31fa-32fa-9105-f4fa9c237620,Antimony III,023713-48-6,unspecified,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,e0336c9b-a0ff-4ae3-b8bb-ca1e46bbbc11,Chromium,,unspecified,Emission to soil,kg,0.00005
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,fc84887d-158e-4067-80dc-9743165bd70d,Arsenic,,unspecified,Emission to soil,kg,0.00004
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,68ba2022-830e-45fb-8c85-b35e94754ae9,Chromium VI,,unspecified,Emission to soil,kg,0.00005
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,dbf49708-ee0c-44f2-8662-5edd89ad472b,Beryllium,,unspecified,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,12d6029e-3801-42ee-a1bc-1ebf936884fc,Cadmium,,unspecified,Emission to soil,kg,0.00005
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,056fb035-70db-4dba-bff0-773a3da55b87,"Chromium, ion",016065-83-1,unspecified,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,45acd8c0-657f-46d3-8026-4b3c9fadaeb6,Selenium,,unspecified,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,77887584-ddca-4920-952c-3609730e0c13,Zinc,,unspecified,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,f7eca11f-546f-4712-ad80-724254685596,Mercury,,unspecified,Emission to soil,kg,0.00183
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,2bcad3b3-5305-481c-a166-ad5e6eac2675,Nickel,,unspecified,Emission to soil,kg,0.00002
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,739234c8-5359-48b4-983f-9cb170d68c8d,Lead,,unspecified,Emission to soil,kg,0.00001
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,3256d56f-4ca3-4680-8cc1-0f8748e71373,"Arsenic, ion",017428-41-0,unspecified,Emission to soil,kg,0.00004
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,ceb46204-2e85-32d2-a2de-67c3dc776d51,Chromium III,016065-83-1,unspecified,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,99cd88f6-16b7-4b28-895c-2f42101f634b,Barium,,unspecified,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,c49fb4cd-eed0-4438-9052-9612473cdbae,Antimony,,unspecified,Emission to soil,kg,0
EF 3.0 Method (adapted),8dc972d8-cd5f-34c4-984b-01df508bac8b,"Human toxicity, cancer - metals",CTUh,8338b7a8-d02b-44b0-a952-09504afd38d9,Antimony V,022537-51-5,industrial,Emission to soil,kg,0
