IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,8ae4d8bb-3e4b-4825-8325-94696d7a64fd,"Carbon dioxide, to soil or biomass stock",,forestry,Emission to soil,kg,-1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,259cf8d6-6ea8-4ccf-84b7-23c930a5b2b3,"Carbon dioxide, to soil or biomass stock",,agricultural,Emission to soil,kg,-1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,375bc95e-6596-4aa1-9716-80ff51b9da77,"Carbon dioxide, to soil or biomass stock",,unspecified,Emission to soil,kg,-1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,60d424f7-d5a9-4549-9540-da06684bc3bb,"Carbon dioxide, to soil or biomass stock",,industrial,Emission to soil,kg,-1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,7e3e9648-59b1-3e5a-bde7-b40f16805805,"Carbon monoxide, land transformation",000630-08-0,high population density,Emission to air,kg,1.57
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,e8fbe6ea-f909-4e26-8a7e-e91defa89cf7,"Methane, land transformation",000074-82-8,high population density,Emission to air,kg,36.8
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,e8787b5e-d927-446d-81a9-f56977bbfeb4,"Carbon dioxide, land transformation",000124-38-9,high population density,Emission to air,kg,1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,68b9b577-90cf-49e4-88bb-a55d80f3ac5d,"Carbon monoxide, from soil or biomass stock",,low population density,Emission to air,kg,1.57
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,9541a975-800f-4fed-9edf-28f6e411a015,"Methane, from soil or biomass stock",,low population density,Emission to air,kg,36.8
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,78eb1859-abd9-44c6-9ce3-f3b5b33d619c,"Carbon dioxide, from soil or biomass stock",,low population density,Emission to air,kg,1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,78eb1859-abd9-44c6-9ce3-f3b5b33d619c,"Carbon dioxide, from soil or biomass stock",,low population density,Emission to air,kg,1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,bd5b337a-9db1-3077-9278-ab8c0a6c46fd,"Methane, land transformation",000074-82-8,low population density,Emission to air,kg,36.8
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,05f6e226-0593-46f5-a788-01fa306e66ad,"Carbon monoxide, from soil or biomass stock",,indoor,Emission to air,kg,1.57
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,05f6e226-0593-46f5-a788-01fa306e66ad,"Carbon monoxide, from soil or biomass stock",,indoor,Emission to air,kg,1.57
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,93cf0ba3-e5cc-4141-a720-a552a8d07bfb,"Carbon monoxide, land transformation",000630-08-0,indoor,Emission to air,kg,1.57
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,288c4e8a-d371-4bc1-b45b-c4b0cefd400e,"Methane, from soil or biomass stock",,indoor,Emission to air,kg,36.8
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,5188df39-2bb8-4826-b469-fa9f86bacc09,"Carbon dioxide, from soil or biomass stock",,indoor,Emission to air,kg,1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,5188df39-2bb8-4826-b469-fa9f86bacc09,"Carbon dioxide, from soil or biomass stock",,indoor,Emission to air,kg,1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,393ca39a-30ba-47ca-9d30-9ddc9c1c81ff,"Methane, land transformation",000074-82-8,indoor,Emission to air,kg,36.8
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,6d624781-004e-43d5-b67e-cf5801ed1777,"Carbon monoxide, land transformation",000630-08-0,"low population density, long-term",Emission to air,kg,1.57
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,e1c597cc-14cb-4ebb-af07-7a93a5b77d34,"Carbon dioxide, land transformation",000124-38-9,"low population density, long-term",Emission to air,kg,1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,1f38a629-a382-3721-a74c-637283828233,"Methane, land transformation",000074-82-8,"low population density, long-term",Emission to air,kg,36.8
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,4c6fd9aa-f27c-34f3-b2d7-f3414772c97e,"Carbon monoxide, land transformation",000630-08-0,unspecified,Emission to air,kg,1.57
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,e4e9febc-07c1-403d-8d3a-6707bb4d96e6,"Carbon dioxide, from soil or biomass stock",,unspecified,Emission to air,kg,1
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,1b64f908-e50e-31db-bb12-b1de3d9755f7,"Methane, land transformation",000074-82-8,unspecified,Emission to air,kg,36.8
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,4dd0996d-9985-468b-b26d-8e5639608b89,"Carbon monoxide, land transformation",000630-08-0,lower stratosphere + upper troposphere,Emission to air,kg,1.57
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,39ab6025-5ecb-4042-a2a0-e594a0526d63,"Methane, land transformation",000074-82-8,lower stratosphere + upper troposphere,Emission to air,kg,36.8
EF Method (adapted),82859ffc-c06e-3395-b93b-257878778ed4,Climate change - land use and transform.,kg CO2 eq,6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,"Carbon dioxide, land transformation",000124-38-9,lower stratosphere + upper troposphere,Emission to air,kg,1
