IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,b285ccbd-7703-39d9-9f66-20451f18d99f,Nitrogen dioxide,010102-44-0,stratosphere,Emission to air,kg,1
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,751d9555-8e2e-30e8-9c64-dc1b09681bba,Nitrogen monoxide,010102-43-9,stratosphere,Emission to air,kg,1
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,631dba58-2e0e-4ac5-a5fc-dc3cf5912614,"Benzene, 1,2,3-trimethyl-",000526-73-8,high population density,Emission to air,kg,2.14
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,e393427f-21ed-4261-9924-0f6ae48caad1,"Butanol, 3-methyl-2-",000598-75-4,high population density,Emission to air,kg,0.686
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,a1b6a0c2-559a-4123-b157-23a71a478652,2-Hexene (cis),007688-21-3,high population density,Emission to air,kg,1.81
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,4f38e95a-077f-4679-b0a7-512bb68cc300,"Toluene, 4-ethyl-",000622-96-8,high population density,Emission to air,kg,1.53
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,81b02075-e1ee-43f6-8393-83dd648aed31,"1-Butene, 3-methyl-",000563-45-1,high population density,Emission to air,kg,1.13
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,9c13a54a-e4c7-47eb-b166-ac9410d91aa7,"Toluene, 3-ethyl-",000620-14-4,high population density,Emission to air,kg,1.72
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,e2f596cc-88be-404d-b8b0-f8b11a097dd8,"Toluene, 2-ethyl-",000611-14-3,high population density,Emission to air,kg,1.52
EF Method (adapted),91ea5e59-58fd-3cbb-bf6a-26ec099a98a3,"Photochemical ozone formation, HH",kg NMVOC eq,59c73469-de8e-4885-b1fb-04e81314a7ae,"Butane, 2,3-dimethyl-",000079-29-8,high population density,Emission to air,kg,0.914
