IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,d33de5ac-3ea5-33d2-a21c-8ff7c9f1188e,Methylnitramine,000598-57-2,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,9609ec65-2970-3b28-92d7-86686abf4418,Nitrosoheptamethyleneimine,020917-49-1,forestry,Emission to soil,kg,0.00108
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,313f865a-a540-3ae3-8072-6e99439f6051,"N-{[3-(5-nitro-2-furyl)-1,2,4-oxadiazole-5-yl]-methyl}acetamide",036133-88-7,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,3bea7ea5-a5ed-3189-b8f6-96e83bdb8a2d,"2,5-Xylidine hydrochloride",051786-53-9,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,df5ed53d-553e-3426-839a-c629527be473,"N-[5-(5-nitro-2-furyl)-1,3,4-thiadiazol-2-yl]acetamide",002578-75-8,forestry,Emission to soil,kg,0.00001
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,397cf50c-ba20-3b4e-b1f5-9d4ef650b9cc,N-Nitrosobis(2-oxopropyl)amine,060599-38-4,forestry,Emission to soil,kg,0.00014
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,0bb1cb00-c0fa-3cc6-941a-5a11bb31a2f9,Ethyl N-methyl-N-nitrosocarbamate,000615-53-2,forestry,Emission to soil,kg,0.00006
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,8528d0e8-76a9-32af-972e-292cfc8c5cd4,"Acetamide, N-(2-fluorenyl)-2,2,2-trifluoro-",000363-17-7,forestry,Emission to soil,kg,0.00003
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,1be14d80-9cfa-3b82-892d-8c5f44d10226,"Nitrosomethylethylamine, N-",010595-95-6,forestry,Emission to soil,kg,0.00089
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,1a11aa8c-704e-30f8-b87a-4a89c3994842,"Toluidine hydrochloride, m-",000638-03-9,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,85e17306-db17-49b0-b015-04433853c15c,p-Cresidine,000120-71-8,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,9f98ed51-c867-39c9-a38e-2ac5fb49e4e4,beta-Naphthylamine,000091-59-8,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,d96dfaa3-7e28-4462-a094-94c59f0cb1b5,Dimethylcarbamyl chloride,000079-44-7,forestry,Emission to soil,kg,0.00002
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,4b477b4e-9a63-3cf1-912e-cae1cb835ce0,Cinnamyl anthranilate,000087-29-6,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,ba75396f-0a38-345d-8d12-d0d3ef2225db,Omeprazole,073590-58-6,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,ef309896-5cbd-35e9-9194-547dbd93f212,Probenecid,000057-66-9,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,84e26e48-bb36-3ab3-931b-879c69d52ff9,"Human toxicity, cancer",CTUh,c2e25c5c-f887-3d18-9fbf-abb7cb3f5644,Gemfibrozil,025812-30-0,forestry,Emission to soil,kg,0
