IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,f4d0a2c8-efef-4188-85da-5801097389a2,Arsenic,,high population density,Emission to air,kg,0.00442
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,a60e0354-94a4-4377-8ded-21f5db15f753,"Chromium, ion",016065-83-1,high population density,Emission to air,kg,0.00022
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,7705f0e1-5b14-44f4-b330-1245b5c7fc08,Chromium,,high population density,Emission to air,kg,0.00022
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,ab046420-da89-48e5-9e05-2a2b703eb2fe,Polonium-210,,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,543421e8-f0b3-45a2-b0ed-03489e878138,Uranium-238,,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,aa50ed3e-1b1d-46ac-b882-c0a69a764735,Krypton-85,013983-27-2,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,c314e244-baef-48fb-b4f6-ca5e5a0de545,Thorium-230,014269-63-7,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,05bd7a83-0c53-4e95-b1eb-1140742f4176,Iodine-129,015046-84-1,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,2f38ead0-f60f-4a9b-a7ca-31219c1a2f65,Uranium-234,013966-29-5,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,b772118d-cb3e-4330-aa01-317b04703cb2,"Hydrogen-3, Tritium",010028-17-8,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,93add24b-0bbf-4903-b3c1-3c695f597c63,Carbon-14,014762-75-5,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,356c6086-4835-4a0d-b1f2-10f8b6656d23,Lead-210,,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,1c02cff4-e852-489b-893c-d3ed30eb8ca5,Radium-226,,high population density,Emission to air,kBq,0
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,9d1efa17-070a-4602-a65f-daf5056b0647,"PAH, polycyclic aromatic hydrocarbons",,high population density,Emission to air,kg,0.00002
EPS 2015d,201d36cc-2ae4-3972-8bb1-4f2c71afcef4,Cancer,PersonYr,e43a270f-4f88-4789-a0b8-7aba56677743,Nickel,,high population density,Emission to air,kg,0.00001
