IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,9165733b-0d16-39e8-b3e1-ff2962f9cb8d,"Methane, tetrafluoro-",000075-73-0,"ground water, long-term",Emission to water,kg,0.00166
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,bd6ae830-bb9b-3c28-aeaa-09d349bed7ad,"Methane, tetrafluoro-",000075-73-0,unspecified,Emission to water,kg,0.00166
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,96ecca13-cdc9-30a8-8298-7148ceffc09a,"Methane, tetrafluoro-",000075-73-0,ocean,Emission to water,kg,0.00166
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,3861936e-4aa6-336a-9b6e-caf6b9408d83,"Methane, tetrafluoro-",000075-73-0,ground water,Emission to water,kg,0.00166
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,d4f71fc2-2fb6-4d80-b3cd-6e4f197a114f,Ozone,,high population density,Emission to air,kg,0
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,7c002281-8768-396a-acb7-66ee5be39141,Vinylfluoride,000075-02-5,high population density,Emission to air,kg,0
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,eb88acc8-3dff-3fe3-81e1-dab5900da429,"Ethene, 1,1-difluoro-, HFC-1132a",000075-38-7,high population density,Emission to air,kg,0
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,2b1605a4-22ed-3036-bc78-fd63affc26f8,Diethyl disulfide,000110-81-6,high population density,Emission to air,kg,0
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,cc055355-3e28-4418-acb0-474b844dd847,"Ether, 1,1,2,2-Tetrafluoroethyl 2,2,2-trifluoroethyl-, HFE-347mcc3",000375-03-1,high population density,Emission to air,kg,0.00017
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,9c74094a-5c4c-46a8-8a7d-ba9d62fcdc60,PFC-9-1-18,,high population density,Emission to air,kg,0.00181
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,c59c8b4e-6cdd-3c34-afea-7f7528487021,"Methane, chlorobromo-, Halon 1011",,high population density,Emission to air,kg,0.00002
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,a0e8fc91-6182-4b53-975d-8743abcf3ae6,"Ether, 2,2,3,3,3-Pentafluoropropyl methyl-, HFE-365mcf3",000378-16-5,high population density,Emission to air,kg,0
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,aa4e4c4e-a27f-4638-b1f4-95172273739c,"Ethane, 1,1-dichloro-",000075-34-3,high population density,Emission to air,kg,0
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,79fd129c-020f-4aa9-8dc3-0d195f75e6c7,Glyoxal,000107-22-2,high population density,Emission to air,kg,0
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,def95ef7-54ba-30c3-a703-e02e794d8751,Methylcyclohexane,000108-87-2,high population density,Emission to air,kg,0
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,afcbd980-14c2-4e1d-a0aa-5f6464e5c76b,Hydrogen chloride,,high population density,Emission to air,kg,-0.00003
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,32295152-7da7-47cb-b4a2-60ca4f246a80,"Particulates, < 10 um",,high population density,Emission to air,kg,-0.00002
EPS 2015d,c467bf19-5c33-3fdd-b3f7-71b7ee5b324f,Separations,case,230d8a0a-517c-43fe-8357-1818dd12997a,"Particulates, < 2.5 um",,high population density,Emission to air,kg,-0.00003
