IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,a4420691-4666-4855-9124-3030ed233407,o-Nitrotoluene,,high population density,Emission to air,kg,"16,000,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,d30b205a-d5d0-36fd-843e-03f109a1b093,N-vinyl-2-pyrrolidinone,000088-12-0,high population density,Emission to air,kg,"3,400,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,58fa88a9-feda-316b-88df-b582fd821101,beta-Naphthylamine,000091-59-8,high population density,Emission to air,kg,"1,300,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,ebbb166e-83da-4a83-b8d2-678f871ffce7,Epichlorohydrin,000106-89-8,high population density,Emission to air,kg,"1,400,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,9d1efa17-070a-4602-a65f-daf5056b0647,"PAH, polycyclic aromatic hydrocarbons",,high population density,Emission to air,kg,"1,300,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,2fb1ea8b-ce07-4196-8fd7-7a2ea8a85a11,"Ethane, 1,2-dibromo-",000106-93-4,high population density,Emission to air,kg,"53,000,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,f276d4ca-b1ad-4575-9442-e35b5e3b618b,Propylene oxide,,high population density,Emission to air,kg,"720,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,468bebea-17ee-49d3-b11d-c603d91c67c8,"Ethane, 1,2-dichloro-",,high population density,Emission to air,kg,"1,100,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,127ff74d-018b-43b9-8a4e-fb5577d5ee5a,"Ethene, chloro-",,high population density,Emission to air,kg,"7,500,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,7480ea64-2bb7-4e80-9062-fd24a84335c1,Acrylonitrile,000107-13-1,high population density,Emission to air,kg,"5,500,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,4446c2d0-1bc1-422f-9b97-0867d5602dbb,Ethylene oxide,,high population density,Emission to air,kg,"2,300,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,237a5f15-8119-472a-8988-88b7ecb42405,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",,high population density,Emission to air,kg,"79,000,000,000,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,2cbb504a-ce2f-40e9-9d38-e130e95a1242,Benzo(a)pyrene,,high population density,Emission to air,kg,"95,000,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,1bb6a502-3ff9-4a79-835c-5588b855f1f5,Benzene,,high population density,Emission to air,kg,"810,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,e7140812-ce3d-49f5-97b0-2fef538217a5,Butadiene,,high population density,Emission to air,kg,"1,600,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,10ed6d34-a956-3194-96b3-4c278ef74e32,beta-Naphthylamine,000091-59-8,low population density,Emission to air,kg,"1,300,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,897c32b1-c56f-3347-9a8b-dbbada3f1831,N-vinyl-2-pyrrolidinone,000088-12-0,low population density,Emission to air,kg,"3,400,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,f5a032de-aaca-4fa1-a7f4-920b6c2ed7ae,Epichlorohydrin,000106-89-8,low population density,Emission to air,kg,"1,400,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,13d898ac-b9be-4723-a153-565e2a9144ac,"PAH, polycyclic aromatic hydrocarbons",,low population density,Emission to air,kg,"1,300,000"
Ecological Scarcity 2013,9d78f354-656a-3548-b4a7-e79c40e97cdb,Carcinogenic substances into air,UBP,c198055c-280e-45df-9d81-895e7172886c,"Ethane, 1,2-dibromo-",000106-93-4,low population density,Emission to air,kg,"53,000,000"
