IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,748f22a9-eba4-4726-bef5-92c7442ce189,Zinc,,high population density,Emission to air,kg,"5,600,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,6a903634-c97f-4c49-a7c0-88f0e6ac7a23,Lead,,high population density,Emission to air,kg,"22,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,Mercury,,high population density,Emission to air,kg,"210,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,36e53653-1338-42c7-816c-f6667809e0b1,Cadmium,,high population density,Emission to air,kg,"460,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,Cadmium,,low population density,Emission to air,kg,"460,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,ada3ecfe-8244-4389-bcce-e83ca4f66e09,Zinc,,low population density,Emission to air,kg,"5,600,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,2718482b-8399-442e-b89a-52fbcc22d2e6,Lead,,low population density,Emission to air,kg,"22,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,5ec9c16a-959d-44cd-be7d-a935727d2151,Mercury,,low population density,Emission to air,kg,"210,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,8f4bc5b2-fd6c-3a8e-be37-d211b126e6ba,Zinc,007440-66-6,indoor,Emission to air,kg,"5,600,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,656d6498-56ca-31b6-bc6a-5a24421b38be,Mercury,007439-97-6,indoor,Emission to air,kg,"210,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,fc4d79d7-9795-3307-b821-ee668a08a9e4,Lead,007439-92-1,indoor,Emission to air,kg,"22,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,3def807a-5e19-38d1-9cae-5b2034b907f1,Cadmium,007440-43-9,indoor,Emission to air,kg,"460,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,23eaa36d-add4-4219-961e-ca7104dc0de9,Cadmium,,"low population density, long-term",Emission to air,kg,"460,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,dc90db73-6f27-403d-baf1-cb7e0b6cae31,Mercury,,"low population density, long-term",Emission to air,kg,"210,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,9ee7f4ab-b826-47ae-8623-e138f944b42e,Lead,,"low population density, long-term",Emission to air,kg,"22,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,8f871bab-96dc-49d9-bf08-12cdd0715901,Zinc,,"low population density, long-term",Emission to air,kg,"5,600,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,8e123669-94d3-41d8-9480-a79211fe7c43,Lead,,unspecified,Emission to air,kg,"22,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,5ce378a0-b48d-471c-977d-79681521efde,Zinc,,unspecified,Emission to air,kg,"5,600,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,1c5a7322-9261-4d59-a692-adde6c12de92,Cadmium,,unspecified,Emission to air,kg,"460,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,71234253-b3a7-4dfe-b166-a484ad15bee7,Mercury,,unspecified,Emission to air,kg,"210,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,87a69874-34f9-4070-a525-aa301ab2634b,Zinc,,lower stratosphere + upper troposphere,Emission to air,kg,"5,600,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,48aa661d-be05-4c24-94fe-8d6feb3dcb31,Mercury,,lower stratosphere + upper troposphere,Emission to air,kg,"210,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,dd1bbaa1-d1f1-4584-aeb2-6f02bfb04e87,Cadmium,,lower stratosphere + upper troposphere,Emission to air,kg,"460,000,000"
Ecological Scarcity 2013,2b810a33-afae-3b82-873e-fcbf70842846,Heavy metals into air,UBP,fe4613d7-1ed8-427d-9b06-c8e8f4f5e1b1,Lead,,lower stratosphere + upper troposphere,Emission to air,kg,"22,000,000"
