IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,4eabd9f8-bdaf-4f29-b76b-34005b3598cf,Dichromate,013907-47-6,"river, long-term",Emission to water,kg,"12,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,f67c0d67-84c9-38f6-b0d2-b58afcf4b1a1,Chromium,007440-47-3,"river, long-term",Emission to water,kg,"12,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,5455cadb-9c19-4d18-98b1-dbecd31aa6bd,"Chromium, ion",016065-83-1,"river, long-term",Emission to water,kg,"12,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,8eb5b448-5720-4a3c-9d64-ddc7be93e0e8,Nickel,007440-02-0,"river, long-term",Emission to water,kg,"11,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,42dfec85-f0d3-4732-a197-78d9d55b70cb,"Copper, ion",017493-86-6,"river, long-term",Emission to water,kg,"13,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,20e90ac1-05cc-41bc-9c04-4be2355edfb1,"Zinc, ion",023713-49-7,"river, long-term",Emission to water,kg,"6,200,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,79fdbb2d-a497-4198-9b2a-094f98b8aee6,"Cadmium, ion",022537-48-0,"river, long-term",Emission to water,kg,"250,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,b97aa4c6-fe99-4d4b-a2f9-7c6a9cb75d95,"Nickel, ion",014701-22-5,"river, long-term",Emission to water,kg,"11,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,56c15bd9-e681-4184-98bc-5057588e670e,Mercury,007439-97-6,"river, long-term",Emission to water,kg,"860,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,eb616bcb-7521-40a4-a2ac-0d33e30c2873,Cadmium,007440-43-9,"river, long-term",Emission to water,kg,"250,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,6cefe674-1076-45e2-846d-af7ad46bcbcb,Chromium VI,018540-29-9,"river, long-term",Emission to water,kg,"12,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,5958a968-d153-415f-acbf-81719c1aa09f,Lead,007439-92-1,"river, long-term",Emission to water,kg,"4,200,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,99a3ba49-0b5c-478d-886d-48c22fef6f95,Arsenic,007440-38-2,"river, long-term",Emission to water,kg,"10,000,000"
Ecological Scarcity 2013,a47f8df0-3649-3e4f-92fe-82ae9059361a,Heavy metals into water,UBP,f51079dc-faa8-4e54-a49f-a72a7db9d622,Zinc,007440-66-6,"river, long-term",Emission to water,kg,"6,200,000"
