IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,a40f1ce3-e72f-48fa-8bba-174a1d4bf922,Clopyralid,,agricultural,Emission to soil,kg,"3,300,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,b2663551-c9e2-446c-88e1-0a87435667dc,Pyrimethanil,,agricultural,Emission to soil,kg,"2,100,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,6be19c27-bbb9-4c2d-9831-fc7a035052a5,Starane,081406-37-3,agricultural,Emission to soil,kg,"1,800,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,bf6156c6-3abd-4875-86d2-b64f557c9e5d,Dichlobenil,001194-65-6,agricultural,Emission to soil,kg,"1,200,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,090413f9-2776-45be-a514-54c0bc8089b5,Gibberellic acid,000077-06-5,agricultural,Emission to soil,kg,"3,200,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,f7c6455a-51e5-4aba-8361-99b98d47c47b,Propiconazole,,agricultural,Emission to soil,kg,"2,900,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,e69b028e-e549-4869-ae4a-b85ef8bcb7a9,Azoxystrobin,,agricultural,Emission to soil,kg,"2,000,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,19c48bf5-6116-5941-877a-ad23501dedb1,Proquinazid,189278-12-4,agricultural,Emission to soil,kg,"6,900,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,33456751-d78b-465d-8635-52d71e77cf54,Monocrotophos,,agricultural,Emission to soil,kg,"1,100,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,b6e37022-cef7-4b2a-9e1e-f6ae4a0503e7,Fenoxaprop-P ethyl ester,,agricultural,Emission to soil,kg,"6,300,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,27b0b1f4-8cd4-4277-bfdd-1cab2f9c5e1c,Fenbuconazole,,agricultural,Emission to soil,kg,"54,000,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,395bf19a-d3e3-4185-9bee-141fdbfd6afe,Tribenuron,,agricultural,Emission to soil,kg,"12,000,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,0f02d06c-c44d-4681-a677-eff6aa3cd7e0,Diclofop-methyl,,agricultural,Emission to soil,kg,"1,000,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,feb606a8-c259-4169-9652-6b38467739f7,Amidosulfuron,,agricultural,Emission to soil,kg,"9,800,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,2b3cf153-0dd6-4b79-b0d4-b4df832f3a7e,Chlorpyrifos methyl,,agricultural,Emission to soil,kg,"920,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,80059f17-e3f9-4041-9fdc-31658ce27288,Quinoxyfen,,agricultural,Emission to soil,kg,"2,900,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,e4369d6b-1c65-455b-bce2-8b74636a3c80,Benazolin,003813-05-6,agricultural,Emission to soil,kg,"1,200,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,ce2ceed1-2503-4566-8175-f4456dbac42b,Alpha-cypermethrin,,agricultural,Emission to soil,kg,"35,000,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,2fee2825-acaa-562e-8611-e607b8f94fcc,Pyraflufen-ethyl,,agricultural,Emission to soil,kg,"14,000,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,f0405bbc-a66e-3952-bdee-695acdcd94be,Entomopathogenic virus,,agricultural,Emission to soil,kg,"1,400,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,91d68678-7ed7-417a-86a7-a486c7b8a973,Carfentrazone-ethyl,,agricultural,Emission to soil,kg,"9,300,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,c4ab841c-b243-45fe-b5f9-258a00016fc9,Iodosulfuron-methyl-sodium,,agricultural,Emission to soil,kg,"78,000,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,00acb9f0-1640-4f8c-89ef-d857e1428be0,Metam-sodium,,agricultural,Emission to soil,kg,"1,000"
Ecological Scarcity 2013,03aeb69c-d882-3f7c-949d-eaea7190de0d,Pesticides into soil,UBP,7bddbf65-6f39-4ae1-bddf-d8d4632c8efe,Quizalofop-p-ethyl,,agricultural,Emission to soil,kg,"5,000,000"
