IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,2cb441cd-8d2e-4e5c-a208-48c4fa005c41,"Transformation, to permanent crop, vine, extensive",,land,Resource,m2,-1.9
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,64d99cb5-3b4f-4195-b86f-c5f45b4dcd19,"Transformation, from mineral extraction site",,land,Resource,m2,0.025
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,0abf9db7-b5a2-4c18-8ec6-aca3a7fb5579,"Transformation, to traffic area, rail network",,land,Resource,m2,-0.0525
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,090e9aa9-a9a9-4878-9634-3ad0ba7fbc91,"Transformation, to river, artificial",,land,Resource,m2,-0.0475
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,6f2f97dc-2aeb-482c-a20a-9747f0746898,"Transformation, to industrial area, vegetation",,land,Resource,m2,-0.1025
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,73cba245-5969-4076-8490-75a236073196,"Transformation, from permanent crop, irrigated",,land,Resource,m2,1.15
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,ba94eeb5-4b68-4848-a86e-71a9f3b70a4c,"Transformation, from urban, discontinuously built",,land,Resource,m2,0.125
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,f05cca02-ec18-4acc-9939-59658ff9a554,"Transformation, from annual crop",,land,Resource,m2,0.095
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,fdda4f8e-b620-4df6-92a9-101a251d2f42,"Transformation, to heterogeneous, agricultural",,land,Resource,m2,-0.095
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,66f25f1d-1898-4827-bcbb-ca82f15c4d02,"Transformation, to urban, continuously built",,land,Resource,m2,-0.025
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,bba9f623-5919-4ef3-b98d-c94af1553179,"Transformation, to forest, unspecified",,land,Resource,m2,-7.75
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,7d5b5802-3698-4be8-98f8-ab7c1a2e9328,"Transformation, from dump site, slag compartment",,land,Resource,m2,0.025
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,c3f83a91-4888-41a4-add9-fd01678a1e5f,"Transformation, to annual crop",,land,Resource,m2,-0.095
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,a99a8eaf-2f2c-42c6-b6ce-d5686a9ca249,"Transformation, from traffic area, rail network",,land,Resource,m2,0.0525
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,17a5a406-333f-4b9e-8852-c2de50bc9585,"Transformation, from shrub land, sclerophyllous",,land,Resource,m2,5.3
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,e71f95a5-fd82-4128-9fd1-be3f0e85d0fc,"Transformation, from forest, extensive",,land,Resource,m2,12.75
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,873be1a5-2186-3326-9989-8d695db71eb8,"Transformation, to annual crop, non-irrigated, monotone-intensive",,land,Resource,m2,-0.03
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,99f1deff-a149-49bf-b1fd-95f7ff7d1331,"Transformation, from forest, intensive, short-cycle",,land,Resource,m2,1.75
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,975ae6bf-9a02-4d6f-af7e-8f1253842fed,"Transformation, from traffic area, rail embankment",,land,Resource,m2,0.175
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,b79e26a0-88db-441f-b79b-508506e81b93,"Transformation, from dump site, sanitary landfill",,land,Resource,m2,0.025
Ecosystem Damage Potential,6c37d574-cd8a-3d54-bff8-0a728516bd1f,"linear, land transformation",points,a42347d2-09f1-405e-95dd-bf6ac03765d8,"Transformation, to traffic area, road network",,land,Resource,m2,-0.0525
