IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,0cec2da3-e3a7-3fe8-b359-abb29e972bd8,Nitrogen mustard N-oxide,000126-85-2,forestry,Emission to soil,kg,223.58202
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,3b637f65-a105-3571-a311-0296555254f2,Thiotepa,000052-24-4,forestry,Emission to soil,kg,92.92084
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,0686cb16-fb43-3b8e-8e5b-4b06fa6b0e5e,Dibromodulcitol,010318-26-0,forestry,Emission to soil,kg,0.76959
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,cac2e7b0-5502-3976-8141-5db03b816343,5-Azacytidine,000320-67-2,forestry,Emission to soil,kg,9.94999
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,19d9f196-4033-3c9e-b145-2bd2ee9d9827,FD & C red no. 1,003564-09-8,forestry,Emission to soil,kg,0.24168
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,43d1758d-2852-3d0a-85c7-434d17763fbb,"1,4-Bis(chloromethoxy)-p-xylene",056894-91-8,forestry,Emission to soil,kg,38.59967
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,6426b47a-27d2-32bc-8af3-b60e0348414c,Procarbazine hydrochloride,000366-70-1,forestry,Emission to soil,kg,5.16404
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,9ebcdb49-a22a-3da9-89cf-a94c4aca553d,Nitrogen mustard,000051-75-2,forestry,Emission to soil,kg,"1,521.90958"
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,703e309c-7d75-3a89-80d6-d0d012e06fb3,"Aniline, N-methyl-N,4-dinitroso-",000099-80-9,forestry,Emission to soil,kg,60.47268
IMPACT 2002+,fd18f8b0-0656-33c0-956d-aeee95762653,Carcinogens,kg C2H3Cl eq,9362da28-ad2f-3886-be15-c943baf00949,Chlorozotocin,054749-90-5,forestry,Emission to soil,kg,73.42452
