IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,a5d0f96c-862a-3e03-b544-adfef5c087cd,Lambda-cyhalothrin,091465-08-6,"urban, non industrial",Emission to soil,kg,9.01
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,cfd19f6f-2db3-3ef7-9d65-4cc1f7c869d1,"Benzene, 1,4-dibromo-",000106-37-6,forestry,Emission to soil,kg,0.03107
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,df84146c-b791-31df-bacc-cfb22487bc5d,"Naphthalene, beta-chloro-",000091-58-7,forestry,Emission to soil,kg,0.00159
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,0fa4174f-c89e-3197-a808-161dc5c9c702,"Benzene, 1,2,4-tribromo-",000615-54-3,forestry,Emission to soil,kg,0.96911
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,a0068b7c-bf53-3e7f-86db-4067488bb848,Pentabromodiphenyl ether,032534-81-9,forestry,Emission to soil,kg,53.3829
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,fa9f8af0-2590-4bed-b004-3551efbb5ab3,Chlorimuron-ethyl,090982-32-4,forestry,Emission to soil,kg,0.03456
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,af1c04d3-e6a2-37be-8e2d-ddb55b044d46,"Propanol, 2,3-dichloro-1-",000616-23-9,forestry,Emission to soil,kg,0.26185
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,a2c5c0ea-e9b6-37cf-b25c-060b892d256e,"Propane, 1,1,2-trichloro-",000598-77-6,forestry,Emission to soil,kg,0.01884
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,90e44827-71e9-39ec-af97-ad4e0933c210,Chlordane,012789-03-6,forestry,Emission to soil,kg,"1,880"
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,848bd926-f8b6-35ae-b84e-c51332500f8d,Tetrachlorvinphos,000961-11-5,forestry,Emission to soil,kg,0.00694
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,aa7fabfd-7dfd-42aa-8ad4-b1412c67ffcd,Acenaphthylene,000208-96-8,forestry,Emission to soil,kg,0.0037
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,0c6b517c-229e-3f99-af26-72aa1b2e25d1,"Ethene, bromo-",000593-60-2,forestry,Emission to soil,kg,0.04289
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,c56e7951-b580-40e7-8475-23837b1c6987,"Methane, trichlorofluoro-, CFC-11",000075-69-4,forestry,Emission to soil,kg,0.05691
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,d1249741-1e7f-3897-99ee-7f50b9f2299c,Glycidylaldehyde,000765-34-4,forestry,Emission to soil,kg,0.58623
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,fe43c799-8dac-44ba-9e40-cda23f4e1c43,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",000076-13-1,forestry,Emission to soil,kg,0.00018
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,95f7cbd8-37b4-4506-9a02-ff89ba260c2a,Aldoxycarb,001646-88-4,forestry,Emission to soil,kg,2.71584
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,0e13b0dc-4f9f-4db4-baa5-401a59955dc7,"Benzene, 1,2,4-trimethyl-",000095-63-6,forestry,Emission to soil,kg,0.1904
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,32cdb340-6775-4149-9a9e-f74943f780ec,Furan,000110-00-9,forestry,Emission to soil,kg,0.35595
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,2566837a-3f50-4a4d-ba96-72ab35db9db0,Metalaxil,057837-19-1,forestry,Emission to soil,kg,0.01312
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,e0c1dde7-7fcb-4b47-b149-8024f6c9cd8d,Myclobutanil,088671-89-0,forestry,Emission to soil,kg,0.28889
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,f14fe069-f80f-3506-8c8d-abdc25ec2630,Hexachlorophene,000070-30-4,forestry,Emission to soil,kg,0.56326
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,6dda5520-b12c-4cfa-893d-2f92cd9a5a77,Vinclozolin,050471-44-8,forestry,Emission to soil,kg,0.09171
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,5a429a61-612b-4e73-940a-2bac4bec15b0,t-Butyl methyl ether,001634-04-4,forestry,Emission to soil,kg,0.01729
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,c7aeeafb-8738-308a-ab34-b2b6d7b47d1e,Allyl alcohol,000107-18-6,forestry,Emission to soil,kg,0.01619
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,66e76daa-4a44-31b6-91fb-39d34572e513,"Chlordane, cis-",005103-71-9,forestry,Emission to soil,kg,"1,880"
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,6fd37c77-558f-4de9-a409-1303950b3987,m-Cresol,000108-39-4,forestry,Emission to soil,kg,0.01281
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,8bdccdef-00d6-4a44-8a54-55495d82aa5e,Acrylamide,000079-06-1,forestry,Emission to soil,kg,0.75176
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,fdf7a511-57f5-417f-a67f-521a69476d7a,Carboxin,005234-68-4,forestry,Emission to soil,kg,0.00774
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,1bd63b1b-1a67-3df8-987a-7b8f9289efb2,"Aniline, N,N-dimethyl-",000121-69-7,forestry,Emission to soil,kg,1.21558
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,11d42d69-4043-39b4-a846-c4da8bd5fdb5,Prometon,001610-18-0,forestry,Emission to soil,kg,0.36247
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,2260b68c-20cf-35de-a9ee-cae261380e59,"Benzene, hexabromo-",000087-82-1,forestry,Emission to soil,kg,173.16422
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,26914f01-3645-4090-b668-cb3691342138,Rotenone,000083-79-4,forestry,Emission to soil,kg,0.00071
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,c1c01c23-1a2e-4bcd-a3a8-c038a1b31e0f,Resmethrin,010453-86-8,forestry,Emission to soil,kg,0.00251
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,baf213b7-180e-3512-bbb4-c8524a6af7d6,"Benzene, trinitro-",000099-35-4,forestry,Emission to soil,kg,1.38841
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,238b0d97-7dab-4f3d-9ca2-f0696bd3b146,Tebuthiuron,034014-18-1,forestry,Emission to soil,kg,0.02425
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,1a80141f-fd4a-4b5d-b29d-2eab8a23f6ba,Isoxaben,082558-50-7,forestry,Emission to soil,kg,0.00017
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,c70280a8-66df-4267-aa32-7936b6222441,MCPB,000094-81-5,forestry,Emission to soil,kg,0.00293
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,72d70c0c-1361-468a-af31-bbbf58d3ef4d,Cyclohexylamine,000108-91-8,forestry,Emission to soil,kg,0.00189
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,29a65ccd-8066-4edc-b255-3f3b451a7a55,Molinate,002212-67-1,forestry,Emission to soil,kg,2.04205
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,55f0866b-d0ea-4113-b4e7-451e7aad1768,Pyridine,000110-86-1,forestry,Emission to soil,kg,31.58669
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,54410ee6-6730-436e-891c-b2a0e563dedd,Acenaphthene,000083-32-9,forestry,Emission to soil,kg,0.00867
IMPACT 2002+,d628ba11-32ba-3d61-8b4a-4f0d12388960,Non-carcinogens,kg C2H3Cl eq,d7d806fb-bfc6-338c-9f0a-41cc817f767e,"Acetaldehyde, trichloro-",000075-87-6,forestry,Emission to soil,kg,7.23439
