IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,e8fbe6ea-f909-4e26-8a7e-e91defa89cf7,"Methane, land transformation",000074-82-8,high population density,Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,e8787b5e-d927-446d-81a9-f56977bbfeb4,"Carbon dioxide, land transformation",000124-38-9,high population density,Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,78eb1859-abd9-44c6-9ce3-f3b5b33d619c,"Carbon dioxide, from soil or biomass stock",,low population density,Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,bd5b337a-9db1-3077-9278-ab8c0a6c46fd,"Methane, land transformation",000074-82-8,low population density,Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,5188df39-2bb8-4826-b469-fa9f86bacc09,"Carbon dioxide, from soil or biomass stock",,indoor,Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,393ca39a-30ba-47ca-9d30-9ddc9c1c81ff,"Methane, land transformation",000074-82-8,indoor,Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,e1c597cc-14cb-4ebb-af07-7a93a5b77d34,"Carbon dioxide, land transformation",000124-38-9,"low population density, long-term",Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,1f38a629-a382-3721-a74c-637283828233,"Methane, land transformation",000074-82-8,"low population density, long-term",Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,e4e9febc-07c1-403d-8d3a-6707bb4d96e6,"Carbon dioxide, from soil or biomass stock",,unspecified,Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,1b64f908-e50e-31db-bb12-b1de3d9755f7,"Methane, land transformation",000074-82-8,unspecified,Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,39ab6025-5ecb-4042-a2a0-e594a0526d63,"Methane, land transformation",000074-82-8,lower stratosphere + upper troposphere,Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),97589064-8680-4cbd-9270-7ad52601d1b5,Climate change - land use and land transformation,kg CO2 eq,6d89125e-e9b7-4d7e-a1fc-ada45dbd8815,"Carbon dioxide, land transformation",000124-38-9,lower stratosphere + upper troposphere,Emission to air,kg,1
