IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,b285ccbd-7703-39d9-9f66-20451f18d99f,Nitrogen dioxide,010102-44-0,stratosphere,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,751d9555-8e2e-30e8-9c64-dc1b09681bba,Nitrogen monoxide,010102-43-9,stratosphere,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,010948de-d5ca-327d-b997-22d25e8a9b0a,"Phenol, 2,5-dimethyl-",000095-87-4,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,3e96f031-2fee-40ae-b04c-3996a8265b3f,"Phenol, 2,4-dimethyl-",000105-67-9,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,474f7d34-55e1-3ff8-9733-5b4b96aab127,"Butanal, 3-methyl-",000590-86-3,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,990c69c2-06f4-3583-af86-380da361eb31,"1,2,4,5-Tetramethylbenzene",000095-93-2,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,bfc99ced-6572-3171-9e96-3e633c968753,P-tolualdehyde,000104-87-0,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,fa363a58-193d-32e2-af10-769aa9faccd7,"2,3-Dimethylphenol",000526-75-0,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,a66e207f-2e21-431c-b46a-901cdb62bf09,"Benzene, 1-methyl-4-(1-methylethyl)-",000099-87-6,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,53fc7ec9-1b3f-4d89-ade6-8ca2934c1695,Butene,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,626dd1d8-5355-40cb-8569-9c87c2c6ab18,"Hydrocarbons, chlorinated",,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,8b5d5c1d-c786-4367-94f0-fae42cd3ac0a,"Hydrocarbons, aromatic",,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,d961f86b-e36b-4ac6-8cd4-b253e496de79,"Aldehydes, unspecified",,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,18282ab8-5b46-4c56-9038-588ed28a4a95,"Hydrocarbons, aliphatic, alkanes, cyclic",,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,aa4e4c4e-a27f-4638-b1f4-95172273739c,"Ethane, 1,1-dichloro-",000075-34-3,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,34b24a59-c1a4-364a-a6e4-d4df7a1dcc5f,"Cyclohexane, ethyl-",001678-91-7,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,79fd129c-020f-4aa9-8dc3-0d195f75e6c7,Glyoxal,000107-22-2,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,63a0c2d7-6a85-4c2d-a4c4-eaa646ecd135,alpha-Pinene,000080-56-8,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,2a6d859f-16ce-35ec-baba-8d4f535edaba,Limonene,000138-86-3,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,def95ef7-54ba-30c3-a703-e02e794d8751,Methylcyclohexane,000108-87-2,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,175baa64-d985-4c5e-84ef-67cc3a1cf952,"NMVOC, non-methane volatile organic compounds, unspecified origin",,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,d761d96f-d236-4131-89c8-ad3269d02a6b,Phenol,,high population density,Emission to air,kg,-0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,7ed6dc0d-9c2e-4046-a44b-e8a708c2081e,Acrolein,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,15ca802b-f541-44aa-bd33-35560a053193,Nitrate,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,d068f3e2-b033-417b-a359-ca4f25da9731,Nitrogen oxides,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,290b9600-5985-4881-9988-1e6551816f3a,Dodecane,000112-40-3,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,4a6af581-af93-4d79-9f45-a5c43f463bbb,Propanol,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,ca31b010-acd3-4736-a76c-e4a900ae4809,Nitrogen monoxide,010102-43-9,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,2cbe35d9-052c-4fe8-8eb2-08769f10b2c7,Formic acid,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,370447a7-70d1-47bd-8577-0a32c4f53570,"Methane, monochloro-, R-40",000074-87-3,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,2a042136-80fd-4c1c-8996-65a7985497d3,Cyclohexane (for all cycloalkanes),,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,89951b1a-9b6b-4bc7-82fc-6fc263e91936,Diethyl ether,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,ada09403-d5f2-4496-9201-a6dcca0b1717,Propene,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,e2d860e3-1038-4386-a5f1-25ad75d18bbd,2-Methyl-1-propanol,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,fe65f7e4-ee5b-4a6f-9d60-6c2f829dca3f,Benzaldehyde,,high population density,Emission to air,kg,-0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,f4bb66f1-c78c-409f-8368-85c1205a3573,Heptane,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,36270548-9316-424b-9aeb-e0de134b0be1,Ethene,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,35c746fb-2d4a-4d06-9955-1973ce67b74e,Cumene,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,1a13d6e7-45c9-427a-a3c9-38887ce7b86a,Ethyne,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,d5a2d5b4-d9f3-468e-9a3f-3eeaaf5bdc16,1-Butene,000106-98-9,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,6a3a3f28-83ce-4b61-8962-6563969984a2,Cyclohexanol,000108-93-0,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,1f130425-11f9-4ec2-8d2f-d282acaacf5c,Acetone,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,8cbaa905-41b0-4327-8403-bf1c8eb25429,1-Pentene,,high population density,Emission to air,kg,0
ReCiPe 2016 Endpoint (H),68a4e642-4b9a-35c4-95a0-89df42336ffa,"Ozone formation, Human health",DALY,6de0feb6-78c5-4ee3-bf58-8e68bc7c67b3,"Pentane, 2-methyl-",000107-83-5,high population density,Emission to air,kg,0
