IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,a5d0f96c-862a-3e03-b544-adfef5c087cd,Lambda-cyhalothrin,091465-08-6,"urban, non industrial",Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,90e44827-71e9-39ec-af97-ad4e0933c210,Chlordane,012789-03-6,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,da188914-74b9-4275-9efb-4a3cdc04d5aa,Dicyclopentadiene,000077-73-6,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,95f7cbd8-37b4-4506-9a02-ff89ba260c2a,Aldoxycarb,001646-88-4,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,39df1925-398d-3e49-9380-93a63cc22e35,Trimethyltin chloride,001066-45-1,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,bfa0fc04-643f-3978-b9cc-3777b3061f64,Hexachlorocyclohexane,000608-73-1,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,20f19416-9f33-4ffe-b576-908422b051f3,Thiabendazole,000148-79-8,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,5560e9ad-937d-3535-bdc7-255d509957b4,Dicapthon,002463-84-5,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,4bff81cb-e78d-4a92-8a8a-a7d104c5abb8,Cresol,001319-77-3,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,17160c8c-d612-3f35-a421-353e5e5ef05f,3-Methyl-4-nitrophenol,002581-34-2,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,eb778d9d-8015-3275-905f-452edc5b10d4,Diethylenetriamine,000111-40-0,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,d472cad3-bede-3ef3-8809-133aedb722e3,Phosalone,002310-17-0,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,e1d46fd0-0632-3ad0-bd15-1e6988b8522c,Carbophenthion,000786-19-6,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,2566837a-3f50-4a4d-ba96-72ab35db9db0,Metalaxil,057837-19-1,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,0ea9e4de-8f70-3867-8447-62ac7539e886,Pyrimethamine,000058-14-0,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,81b13908-093e-3604-99aa-152f48c6d163,Octamethylpyrophosphoramide,000152-16-9,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,f42746e7-ebe7-3c38-8215-b15f14992b78,Methoprene,040596-69-8,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,76d6e733-78a1-4eff-bd7f-eb33c3742f66,Dimethachlor,050563-36-5,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,8dbdb402-1fd2-3675-8718-09c0da50efc7,Dichlofenthion,000097-17-6,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,9531d847-e8ba-3b79-b33e-4e6d06eeb986,"Benzene, 1-chloro-2-methyl-3-nitro-",000083-42-1,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,d29d244d-7efe-4d93-b9c8-4ffd359e011a,Resorcinol,000108-46-3,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,2933c7ca-f7f0-3221-be85-9fdcf51f52f6,Azobenzene,000103-33-3,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,6dda5520-b12c-4cfa-893d-2f92cd9a5a77,Vinclozolin,050471-44-8,forestry,Emission to soil,kg,0
ReCiPe 2016 Endpoint (I),31417d6e-6814-3727-89a7-1d90c1d92cb1,Freshwater ecotoxicity,species.yr,48c5af31-99e5-3130-ad0f-ac50e96f50fc,"Dodecylbenzenesulfonic acid, calcium salt",026264-06-2,forestry,Emission to soil,kg,0
