IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,626dd1d8-5355-40cb-8569-9c87c2c6ab18,"Hydrocarbons, chlorinated",,high population density,Emission to air,kg,0.00726
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,3b30d058-02ef-4ed2-b357-5fc1a45c63e7,"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114",000076-14-2,high population density,Emission to air,kg,0.27
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,27f61651-96a5-45c7-9873-832626cf6905,"Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124",002837-89-0,high population density,Emission to air,kg,0.022
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,db907ff7-6cf0-4f88-9376-116262dfad6d,"Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123",000306-83-2,high population density,Emission to air,kg,0.011
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,33a69662-583b-45b8-8cb9-94f59fca9133,"Methane, trichlorofluoro-, CFC-11",,high population density,Emission to air,kg,1
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,3613c452-7500-4753-819d-4a310943ce48,"Propane, 1,3-dichloro-1,1,2,2,3-pentafluoro-, HCFC-225cb",000507-55-1,high population density,Emission to air,kg,0.033
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,4bf1c333-419b-4278-ac14-247c8bf563d6,"Methane, bromo-, Halon 1001",,high population density,Emission to air,kg,0.734
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,816c43d1-bc30-4a72-81db-08cb6be4da4f,"Methane, bromochlorodifluoro-, Halon 1211",000353-59-3,high population density,Emission to air,kg,8.78
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,9b132374-dce2-4ce0-86aa-53201b30f617,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",,high population density,Emission to air,kg,0.664
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,400be66e-4383-482a-93e3-c005e96de261,"Ethane, 1-chloro-1,1-difluoro-, HCFC-142b",000075-68-3,high population density,Emission to air,kg,0.067
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,31a3e44c-4098-461e-aba2-f79540e05087,"Methane, dichlorodifluoro-, CFC-12",,high population density,Emission to air,kg,0.587
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,d10103a6-e3e5-4661-b29a-2ffb94249d2e,"Methane, dibromodifluoro-, Halon 1202",000075-61-6,high population density,Emission to air,kg,1.89
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,8ca6c84b-7f56-47e6-8d17-4f2dbc49a943,"Methane, chlorodifluoro-, HCFC-22",,high population density,Emission to air,kg,0.045
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,5c97dd6c-aaa5-4477-aaf8-dbd0674499c4,"Methane, tetrachloro-, R-10",,high population density,Emission to air,kg,0.895
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,48c0daa7-79f4-43bd-a809-9f57c102cc7b,"Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-, HCFC-225ca",000422-56-0,high population density,Emission to air,kg,0.022
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,15e54d5b-aba2-40a6-9aa8-aa2b8c432129,"Ethane, chloropentafluoro-, CFC-115",000076-15-3,high population density,Emission to air,kg,0.061
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,e3787169-170a-3047-a5f2-16e292861643,"Methane, tetrachloro-, CFC-10",000056-23-5,high population density,Emission to air,kg,0.895
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,2849950e-a427-4f15-b5e9-d2f0362e5cd3,"Ethane, 1,2-dibromotetrafluoro-, Halon 2402",000124-73-2,high population density,Emission to air,kg,14.4
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,033d3a16-e1a2-4ce8-8769-f4ea867801ca,"Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b",001717-00-6,high population density,Emission to air,kg,0.134
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,18ddd879-5496-4419-8ab7-e0d3864d977d,"Methane, bromotrifluoro-, Halon 1301",,high population density,Emission to air,kg,14.1
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,Dinitrogen monoxide,,high population density,Emission to air,kg,0.011
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,370447a7-70d1-47bd-8577-0a32c4f53570,"Methane, monochloro-, R-40",000074-87-3,high population density,Emission to air,kg,0.022
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,818cee9e-231c-4b53-8ed2-47a0001802d5,"Ethane, 1,1,1-trichloro-, HCFC-140",000071-55-6,high population density,Emission to air,kg,0.178
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,d6626dfb-3ac8-4169-9e75-54c41ef2a582,"Hydrocarbons, chlorinated",,low population density,Emission to air,kg,0.00726
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,82957257-07f3-4536-ac8b-175cb2353c75,"Methane, bromotrifluoro-, Halon 1301",,low population density,Emission to air,kg,14.1
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,c2646f18-8d10-4be1-a733-c6749f5f0295,"Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-, HCFC-225ca",000422-56-0,low population density,Emission to air,kg,0.022
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,95b6f6da-49f9-413d-8ff5-5342d6cff588,"Ethane, 1-chloro-1,1-difluoro-, HCFC-142b",000075-68-3,low population density,Emission to air,kg,0.067
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,e93ba406-3df8-4e34-be54-0d556b2bb629,"Methane, dichlorodifluoro-, CFC-12",,low population density,Emission to air,kg,0.587
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,a916ca1b-4ece-4630-a563-ae3253efc04f,"Methane, trichlorofluoro-, CFC-11",000075-69-4,low population density,Emission to air,kg,1
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,2cbc6042-2cee-4668-8017-d7f805d9029e,"Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123",000306-83-2,low population density,Emission to air,kg,0.011
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,56b7d3b6-83d7-42b0-a65b-5ad23e29db47,"Methane, chlorodifluoro-, HCFC-22",,low population density,Emission to air,kg,0.045
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,47c12d99-c2dc-41cf-bad1-cd31c2fe0421,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",000076-13-1,low population density,Emission to air,kg,0.664
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,6f8ce7a4-d66a-4593-9314-51778aa09d4b,"Ethane, chloropentafluoro-, CFC-115",000076-15-3,low population density,Emission to air,kg,0.061
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,701cda28-4722-431c-b52f-05a735ef5ed3,"Methane, bromo-, Halon 1001",000074-83-9,low population density,Emission to air,kg,0.734
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,b60207ea-31ad-424c-b343-60af91219865,"Methane, dibromodifluoro-, Halon 1202",000075-61-6,low population density,Emission to air,kg,1.89
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,494eb62d-3e16-4a81-b344-6d6dfd9fd4e2,"Methane, bromochlorodifluoro-, Halon 1211",,low population density,Emission to air,kg,8.78
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,99ae0a65-e811-4929-98f3-07480c285669,"Propane, 1,3-dichloro-1,1,2,2,3-pentafluoro-, HCFC-225cb",000507-55-1,low population density,Emission to air,kg,0.033
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,1584734d-c5c8-42a5-aa51-0f6a92a9cc0d,"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114",,low population density,Emission to air,kg,0.27
ReCiPe 2016 Midpoint (H),e2b13de9-397c-3b6f-9dcf-4e206404db3b,Stratospheric ozone depletion,kg CFC11 eq,416eedbd-a7b4-4693-8031-9bfaa2f20ebc,"Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b",001717-00-6,low population density,Emission to air,kg,0.134
