IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,c5035ce2-5ee5-431f-a287-4b25da42be74,"Peat, in ground",,biotic,Resource,kg,0.22
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,384e875d-2237-4d74-8f62-6b04173f656b,Peat,,in ground,Resource,kg,0.22
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,7ae371b0-8532-11e0-9d78-0800200c9a66,"Coal, hard, 30.7 MJ per kg, in ground",,in ground,Resource,kg,0.71
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,5df3c6a9-a888-4b5d-9a94-f3f610d38756,"Gas, natural, feedstock, 35 MJ per m3",008006-14-2,in ground,Resource,m3,0.852
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,65b57348-143d-3f95-9229-9c6999296d04,"Energy, from oil",,in ground,Resource,MJ,0.0218
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,968b74b0-8018-464a-9376-7d881851072a,"Gas, natural, 35 MJ per m3",008006-14-2,in ground,Resource,m3,0.852
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,bb7aa805-00c6-416a-9e93-4ee7b33671da,"Energy, from coal",,in ground,Resource,MJ,0.022
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,dd4953b2-e6af-4006-942f-1b9ff1499572,"Oil, crude, 42.6 MJ per kg, in ground",,in ground,Resource,kg,0.986
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,079339c7-49a2-3a17-9aa7-9b14b5c47560,"Oil, crude, 42.6 MJ per kg",,in ground,Resource,kg,0.986
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,506689e7-7821-48e8-a12c-0ee9a3b9e6ee,"Coal, 29.3 MJ per kg",,in ground,Resource,kg,0.678
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,b6d0042d-0ef8-49ed-9162-a07ff1ccf750,"Coal, hard, unspecified, in ground",,in ground,Resource,kg,0.42
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,0e652c80-3587-4af3-8c40-d6e6607f7ea8,"Oil, crude, feedstock, 42 MJ per kg, in ground",,in ground,Resource,kg,0.972
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,17fe5abb-4e12-3050-b173-f1fa379c757e,"Oil, crude, feedstock, 42 MJ per kg",,in ground,Resource,kg,0.972
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,2b648e3c-dfe7-314d-8248-58d4e40656c1,"Oil, crude, 41 MJ per kg",,in ground,Resource,kg,0.949
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,4fe0ec4c-3f18-360c-9f19-ee1cdef7aaa7,"Coal, 18 MJ per kg",,in ground,Resource,kg,0.416
ReCiPe 2016 Midpoint (I),7f6e3a8f-d3ac-30cf-b306-88ef90e15fb7,Fossil resource scarcity,kg oil eq,17cbbbbd-bd78-325d-bd76-2b6fcf81faaf,"Coal, hard, 30.7 MJ per kg",,in ground,Resource,kg,0.71
