IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,5b98d115-d455-4af8-a6c2-b187fa39d931,Plutonium-241,014119-32-5,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,5e1dc76e-0b3b-4a70-81aa-a7e4ab2ec644,Protactinium-234,015100-28-4,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,ae383966-6e7f-4e54-9b06-2abbf5264880,Thorium-228,014274-82-9,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,27a9975f-6e43-4356-86eb-e23ba204bb04,Thorium-232,007440-29-1,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,a1b73c30-a36a-4646-b040-459e9e7ee19d,Neptunium-237,013994-20-2,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,c11e7096-a40f-4298-9fd4-741b1854f928,Thorium-234,015065-10-8,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,4656c877-bf93-41ed-a518-7e5e1618fe7a,Thorium-230,014269-63-7,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,36e850c0-cd16-491f-b4f3-c6e15ead696f,"Actinides, radioactive, unspecified",,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,7587e4c0-72a0-4336-8d15-e0cde77ebdd1,Uranium-238,007440-61-1,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,1e72416b-ef13-4c39-a6d1-b24d7bb5740c,Uranium-234,013966-29-5,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,543c75b7-8df5-4b4a-b0ff-1ece3dc2e7d1,Curium alpha,007440-51-9,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,73a0fa9c-1581-449e-99ec-00432e84fe6f,Americium-241,014596-10-2,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,ee2289a2-8e0c-414f-a7e8-b9010f7bc08c,Uranium-235,015117-96-1,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,b7d06b6f-c555-4885-afa1-cd90fcf6b576,Plutonium-alpha,007440-07-5,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,cb2c3bac-f4de-4b69-947a-2a1c592c40c5,Uranium alpha,007440-61-1,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,7f5f3f84-c4aa-43e6-9517-763e41a28cc8,Uranium-238,007440-61-1,"fresh water, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,a0564f51-3f80-4f9a-9362-8cb3ad516ff2,Uranium-235,015117-96-1,"fresh water, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,adb64e1f-d6ea-4732-8230-01050213de81,Uranium-234,013966-29-5,"fresh water, long-term",Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,d2135da9-12e5-4218-aa7a-5e27ce27ba04,Thorium-230,014269-63-7,fossil-,Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,7d86502e-606b-42d7-ad56-b9677644a64e,Protactinium-234,015100-28-4,fossil-,Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,531213b9-c650-4c9c-bf34-e689f09588d8,Thorium-228,014274-82-9,fossil-,Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,9bafc4d1-7c5a-433c-9d2a-14a7b2f81456,Thorium-234,015065-10-8,fossil-,Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,191abfc0-d6fc-46a3-8da4-cb423c12a318,Plutonium-241,014119-32-5,fossil-,Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,a7973f4e-0650-487c-82ec-10276bf561ef,Thorium-232,007440-29-1,fossil-,Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,44757743-b572-4191-a760-97effac5ff68,Neptunium-237,013994-20-2,fossil-,Emission to water,kBq,1
"Selected LCI results, additional",1ec8999c-2051-38c1-a330-fd88616367c6,Actinides (water),kBq,ae619775-ef01-4e8b-8a41-820129fab40e,"Actinides, radioactive, unspecified",,fossil-,Emission to water,kBq,1
