IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,b285ccbd-7703-39d9-9f66-20451f18d99f,Nitrogen dioxide,010102-44-0,stratosphere,Emission to air,kg,0.00722
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,230d8a0a-517c-43fe-8357-1818dd12997a,"Particulates, < 2.5 um",,high population density,Emission to air,kg,1
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,ccb169c3-8aae-4727-89bb-a7dd122946f3,"Particulates, > 2.5 um, and < 10um",,high population density,Emission to air,kg,0.22778
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,9990b51b-7023-4700-bca0-1a32ef921f74,Ammonia,,high population density,Emission to air,kg,0.06667
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,d068f3e2-b033-417b-a359-ca4f25da9731,Nitrogen oxides,,high population density,Emission to air,kg,0.00722
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,620bc2f6-cf71-4dde-bba9-c6e8fdec5e23,Carbon monoxide,000630-08-0,high population density,Emission to air,kg,0.00036
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,6edcc2df-88a3-48e1-83d8-ffc38d31c35b,"Carbon monoxide, fossil",,high population density,Emission to air,kg,0.00036
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,550eaab3-16d8-3b28-a1a1-5aa018fd394c,"Carbon monoxide, biogenic",000630-08-0,high population density,Emission to air,kg,0.00036
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,d9945575-a965-4bf3-9cd7-584263172abd,Nitrogen dioxide,010102-44-0,high population density,Emission to air,kg,0.00722
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,9afa0173-ecbd-4f2c-9c5c-b3128a032812,"Carbon monoxide, non-fossil",,high population density,Emission to air,kg,0.00036
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,8c52f40c-69b7-4538-8923-b371523c71f5,Sulfur dioxide,,high population density,Emission to air,kg,0.06111
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,295c9740-6fdb-4676-9eb8-15e3786f713d,"Particulates, > 2.5 um, and < 10um",,low population density,Emission to air,kg,0.22778
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,66f50b33-fd62-4fdd-a373-c5b0de7de00d,"Particulates, < 2.5 um",,low population density,Emission to air,kg,1
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Ammonia,,low population density,Emission to air,kg,0.06667
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,77357947-ccc5-438e-9996-95e65e1e1bce,Nitrogen oxides,,low population density,Emission to air,kg,0.00722
TRACI 2.1,e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,Respiratory effects,kg PM2.5 eq,003697f1-54e9-409e-8179-23a95e99e4d7,Nitrogen dioxide,010102-44-0,low population density,Emission to air,kg,0.00722
