IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,b285ccbd-7703-39d9-9f66-20451f18d99f,Nitrogen dioxide,010102-44-0,stratosphere,Emission to air,kg,16.84533
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,751d9555-8e2e-30e8-9c64-dc1b09681bba,Nitrogen monoxide,010102-43-9,stratosphere,Emission to air,kg,24.79
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,00829c9d-ceee-4ef5-89ca-38240168046c,"Alkanes, C6",,high population density,Emission to air,kg,1.26874
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,1a13d4b8-7c7a-4b03-bba5-98f6b0e171e6,"Alkanes, C5, branched",,high population density,Emission to air,kg,1.44575
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,9ca83da3-ef47-4ba7-9949-790ddb5d1e91,"Alkanes, C7",,high population density,Emission to air,kg,1.41397
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,09bbcef9-2f65-4032-bf68-bbac236f73d4,"Alkenes, C5",,high population density,Emission to air,kg,8.841
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,a5fdcacf-f0c4-4250-b603-c63ac5383463,"Alkanes, C11",,high population density,Emission to air,kg,0.74423
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,336d5699-1deb-4702-840e-d9c69b153428,"Alkanes, C13",,high population density,Emission to air,kg,0.60749
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,d29fabda-d669-4717-9874-202614a114a9,"Alkenes, C6",,high population density,Emission to air,kg,6.98008
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,4888f3f7-ec48-4739-badb-1c3d911c7247,"Alkanes, C12",,high population density,Emission to air,kg,0.66075
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,33a81ec2-a97c-497a-ad05-cbe1e8120363,"Alkanes, C18",,high population density,Emission to air,kg,0.43532
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,bc4445ef-4143-4b8d-a634-52e97e15e8fe,"Alkanes, C14",,high population density,Emission to air,kg,0.57082
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,f7627695-62a5-4fa9-a6e7-f96f0516dbcd,"Benzene, pentamethyl-",000700-12-9,high population density,Emission to air,kg,8.13079
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,0c54605e-b8b6-4670-975b-2f48ede02a91,"Alkenes, C4",,high population density,Emission to air,kg,12.215
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,ce3b5ea2-6e6b-4d96-91e6-c4737dbbfe57,"Alkanes, C16",,high population density,Emission to air,kg,0.48939
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,4c74fa84-989a-43fe-afee-3bf6948881b6,"Alkanes, C9",,high population density,Emission to air,kg,1.09174
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,d13e8864-b961-4dc4-8725-898eae25f595,"Alkanes, C8",,high population density,Emission to air,kg,1.27229
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,2f007d13-48d4-43a2-8cb9-a42b513b8c48,Diisocyanates,,high population density,Emission to air,kg,0.89
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,0d1997d4-1921-3db7-98c6-6395c50c87cb,Kerosene,064742-81-0,high population density,Emission to air,kg,1.61859
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,baedcc0b-b502-3138-9e53-141fa4a74b58,trans-1-Methoxy-4-(1-propenyl)benzene,000104-46-1,high population density,Emission to air,kg,0.80184
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,aed25292-a2ed-3d3e-ae82-efbb4e85180c,"Methyl (9Z,12Z)-octadeca-9,12-dienoate",000112-63-0,high population density,Emission to air,kg,1.83646
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,010948de-d5ca-327d-b997-22d25e8a9b0a,"Phenol, 2,5-dimethyl-",000095-87-4,high population density,Emission to air,kg,2.12364
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,3e96f031-2fee-40ae-b04c-3996a8265b3f,"Phenol, 2,4-dimethyl-",000105-67-9,high population density,Emission to air,kg,2.12364
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,8cb13d51-347e-3929-80b3-e1c6825377f3,1-Hexanol,000111-27-3,high population density,Emission to air,kg,2.69146
TRACI 2.1,7a149078-e2fd-3e07-a5a3-79035c60e7c3,Smog,kg O3 eq,01eb30d9-cc30-3072-8dda-1232631b7808,Linalool,000078-70-6,high population density,Emission to air,kg,5.43333
