IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,a5d0f96c-862a-3e03-b544-adfef5c087cd,Lambda-cyhalothrin,091465-08-6,"urban, non industrial",Emission to soil,kg,"9,290"
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,c92df24f-83fa-4131-b871-cb2c80cca2fe,"Phenol, 2,5-dimethyl-",,forestry,Emission to soil,kg,30
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,da188914-74b9-4275-9efb-4a3cdc04d5aa,Dicyclopentadiene,000077-73-6,forestry,Emission to soil,kg,12.9
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,95f7cbd8-37b4-4506-9a02-ff89ba260c2a,Aldoxycarb,001646-88-4,forestry,Emission to soil,kg,"2,380"
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,8b29fea2-5fa9-3073-a9c4-ad90420f636e,Cyclopentanone,000120-92-3,forestry,Emission to soil,kg,1.46
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,2e603f20-7d87-3591-8a87-6c9af26ab3dc,1-Amino-2-propanol,000078-96-6,forestry,Emission to soil,kg,0.314
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,7f1e2aaf-7c31-3cc6-ab08-2c1681365f34,Nicotine,000054-11-5,forestry,Emission to soil,kg,0.325
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,bfa0fc04-643f-3978-b9cc-3777b3061f64,Hexachlorocyclohexane,000608-73-1,forestry,Emission to soil,kg,"9,580"
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,20f19416-9f33-4ffe-b576-908422b051f3,Thiabendazole,000148-79-8,forestry,Emission to soil,kg,"3,870"
USEtox 2 (recommended only),9ed07403-497a-3441-9a5a-e606fb90f9c7,Freshwater ecotoxicity,PAF.m3.day,4203a71d-578b-349d-8f24-e7b5bef50c70,2-Ethylhexyl acrylate,000103-11-7,forestry,Emission to soil,kg,0.231
