IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,751d9555-8e2e-30e8-9c64-dc1b09681bba,Nitrogen monoxide,010102-43-9,stratosphere,Emission to air,kg,13.1
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,b285ccbd-7703-39d9-9f66-20451f18d99f,Nitrogen dioxide,010102-44-0,stratosphere,Emission to air,kg,8.6
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,64b8332b-b659-3e22-b06f-3f522ea9662c,Sulfuric acid,007664-93-9,indoor,Emission to air,kg,11.5
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,75e80fa0-8a13-363e-ba51-759c0f2f7e1d,"Sulfur dioxide, NL",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,a856e4e1-e4b5-3a8d-ac7e-8a8508c2dcbb,"Sulfur dioxide, CS",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,a0460dfc-d386-30c5-a9bb-cec458480e80,"Sulfur dioxide, LT",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,d7c8448e-62a0-3c5a-9fab-4bec54434800,"Sulfur dioxide, IE",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,c7edeebc-27f6-3264-9438-73a366ba1113,"Sulfur dioxide, BA",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,02d80cde-1bc2-3179-92a9-605ca154f04d,"Sulfur dioxide, LV",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,9d3d9560-ea78-3ae8-b0e7-d16c968372ce,"Sulfur dioxide, NO",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,0a461699-1d65-3de1-aeb1-c48e8a0fda87,"Sulfur dioxide, BE",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,fb4aca64-ef10-350a-a3dd-8980ce99b8e9,"Sulfur dioxide, GR",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,6fcec775-0a27-3db5-b53e-f59417fbdb95,"Sulfur dioxide, HU",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,de2562a5-6919-391c-be52-d5fa5bc75899,"Sulfur dioxide, DE",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,78c3efe4-421c-4d30-82e4-b97ac5124993,Sulfur dioxide,007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,f23cd126-aa05-3ba6-b19d-2d0ace576570,"Sulfur dioxide, SI",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,ec28edb4-6382-3dd9-9284-fb5b8a75ede8,"Sulfur dioxide, MK",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,20d519e5-af9b-30bc-824f-3040ace127d6,"Sulfur dioxide, AT",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,a4a86268-7b32-3662-a39a-c994915156b5,"Sulfur dioxide, GB",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,4224cb94-ade6-38cc-9775-df5bb4ce7e74,"Sulfur dioxide, UA",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,f2b5a264-4c1a-352d-9655-fa31873c0e53,"Sulfur dioxide, ES",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,31d6867a-7a42-35a4-9ce4-e95745b5912c,"Sulfur dioxide, EE",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,6858019a-fa74-3c67-a0fd-79222aa76903,"Sulfur dioxide, CZ",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,1f2a6aed-c1a0-3e95-9828-d58201367437,"Sulfur dioxide, SE",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,dffc6457-db57-3d72-8534-fb1a1a81b7dd,"Sulfur dioxide, FR",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,46cfffa7-3f9f-33e1-9c0a-428752fa321b,"Sulfur dioxide, RO",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,04834996-6f9c-3fa9-888d-e0adc05d8fb1,"Sulfur dioxide, PT",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,2b068a9e-ce33-3f8a-80ba-4d4ecb387ed8,"Sulfur dioxide, HR",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,d6e01f63-c11c-3685-af4e-c8f2c18a2cfc,"Sulfur dioxide, DK",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,4d8869e5-264f-3b13-b3f6-645a29427235,"Sulfur dioxide, RU",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,Hydrogen sulfide,007783-06-4,low population density,Emission to air,kg,33.2
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,57db6c9f-9285-3042-aeba-7c798fd1d398,"Sulfur dioxide, BY",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,3f71b066-5e49-3b45-9f3d-f4df9c669741,"Sulfur dioxide, LU",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,ac18e899-f1b1-310d-8bcc-4903deb1ba41,"Sulfur dioxide, FI",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,f28ef757-a7d1-3401-96d1-3b087b3693cb,"Sulfur dioxide, CH",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,5f0871bb-4075-3cf3-ab7e-6d752ba7002c,"Sulfur dioxide, SK",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,8b7dc667-f04e-492c-a161-80b1482126b0,Hydrogen fluoride,007664-39-3,low population density,Emission to air,kg,113
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,48430c70-95e0-4036-9854-72cc772ac8b2,Sulphur trioxide,007446-11-9,low population density,Emission to air,kg,14.1
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,d155142a-41ee-3ff5-a65a-e8b9dba1e1ee,"Sulfur dioxide, IT",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,2bcf60c2-da0f-3392-a128-6ec7dbfd3410,"Sulfur dioxide, PL",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,68e32537-beae-41c2-be72-74df4d273c11,Hydrogen chloride,007647-01-0,low population density,Emission to air,kg,62
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,e2fb4d0f-358d-36c1-a602-0318134c72b0,"Sulfur dioxide, MD",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,181e53cc-a335-36bd-8575-6544af073936,"Sulfur dioxide, BG",007446-09-5,low population density,Emission to air,kg,17.7
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,70b0bbb6-5af4-3759-baa0-061ae6c1b482,"Nitrogen dioxide, UA",010102-44-0,low population density,Emission to air,kg,8.6
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,a0344960-e354-3bcd-9d58-db424b253bba,"Ammonia, SI",007664-41-7,low population density,Emission to air,kg,23.1
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,8ff6e476-4a0f-3216-a0e5-0fbffe792168,"Ammonia, LV",007664-41-7,low population density,Emission to air,kg,23.1
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,c3818498-b77a-3eb4-ab68-2bf1507750b9,"Nitrogen dioxide, LT",010102-44-0,low population density,Emission to air,kg,8.6
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,6d552f5e-b0e3-321f-8312-3a72f7539d09,"Ammonia, PL",007664-41-7,low population density,Emission to air,kg,23.1
EDIP 2003,8ee47cbb-f517-317f-b41d-7c1d5b22a360,Acidification,m2,ddd8c3e6-24d3-3760-b0e8-c300a6a59bc5,"Nitrogen oxides, SK",011104-93-1,low population density,Emission to air,kg,8.6
