IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,32aaf6ef-c3e7-4c81-8e37-4c3c8768454f,Curium-242,015510-73-3,high population density,Emission to air,kBq,1
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,f27bfe65-f053-4d7b-8af3-aed2548dc8c1,Thorium-234,015065-10-8,high population density,Emission to air,kBq,1
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,fbd2b356-9016-441d-ac95-3cb51495ea26,Plutonium-241,014119-32-5,high population density,Emission to air,kBq,1
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,d36067a2-bf88-4726-8a32-ce13d3056103,Neptunium-237,013994-20-2,high population density,Emission to air,kBq,1
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,26328cc0-eaef-49b4-9c42-2396313bbb5e,Curium alpha,007440-51-9,high population density,Emission to air,kBq,1
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,6e769b2f-11ce-4ec1-ad99-a27c93361e72,Thorium-228,,high population density,Emission to air,kBq,1
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,e17ab5b1-0e70-409c-b7fd-0a01e6a26de3,Thorium-232,,high population density,Emission to air,kBq,1
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,f339e347-22f1-4ef5-9f25-647e3a9be91c,Protactinium-234,015100-28-4,high population density,Emission to air,kBq,1
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,8c7101c8-0542-4e61-b847-c97237b86022,Curium-244,013981-15-2,high population density,Emission to air,kBq,1
"Selected LCI results, additional",a4e95db3-9fb4-3b32-8f1c-2872ac621b25,Actinides (air),kBq,b8efaa9d-2335-4a90-be50-9e6169133e80,Americium-241,014596-10-2,high population density,Emission to air,kBq,1
