IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,9ff6b755-dc6d-41b1-b9a3-08db6bad381f,"Toluene, 3,5-diethyl-",002050-24-0,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,6abf9e1a-c33e-49ae-aeae-ab84cee7d2ab,Dimethyl ether,000115-10-6,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,f9e15aff-2dd4-3636-bad9-a149111a5042,"Ethene, 1,2-dichloro-",000540-59-0,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,5dacf573-9f72-3b2c-8e0a-889058aa2d79,2-Pentanone,000107-87-9,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,4b853dc5-1751-31f3-9078-65045a146737,Diisopropyl ether,000108-20-3,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,301da838-ffba-34a9-bf88-d8f7a3747d30,"2-Butanone, 3-methyl-",000563-80-4,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,939c30c6-f6bb-30ff-be56-6fa213416cad,Pentanal,000110-62-3,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,ef3ec802-2d73-3f04-8dad-bc32d0a03eea,3-Pentanol,000584-02-1,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,eaf2d256-75f5-3555-b66d-a204c05426f4,2-Hexanone,000591-78-6,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,71353ebf-383b-33fa-9349-8bfa0df61801,Pentane,000109-66-0,indoor,Emission to air,kg,5.31E-06
EPS 2015d,7ea22a82-e40e-3ea1-b6cc-d2aaf90be942,Asthma cases,PersonYr,16210d98-77fb-31c0-88b5-1659c4e6434c,N-octane,000111-65-9,indoor,Emission to air,kg,5.31E-06
