IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,0a11decc-edde-3008-b5cc-1bc31fa53b5b,"Bulk waste, unspecified",,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,c35d0460-c95c-3c78-af50-73209db1ba02,Cardboard waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,f9dbaecd-94f3-3090-8353-ae5a2dbb2cbb,Carton waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,40cc4975-30b9-34f4-afca-b198b993b504,Zinc waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,b07d25ff-192d-3043-8769-7eca81efc998,Waste to recycling,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,5380cd8b-0ffe-3186-bf31-dae3c3139f30,Construction waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,7945607d-6e84-3dd2-8552-382eb1dd54ff,Mineral wool waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,1dbea2ab-bdf6-33e4-8838-98b7cc8ea784,"Packaging waste, unspecified",,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,5bc40db7-52f1-3d2e-8f21-be1abeea61bc,"Waste, inorganic",,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,1b868bdd-c325-3eae-a78f-af922fa592e5,Waste in incineration,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,4cdad7ec-147a-3a9b-9310-09970ea5c0b3,Photovoltaic/EVA cell waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,e7624ac8-f487-34ae-a84b-894bf0d4f6f0,Aluminium waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,574e5159-07a6-336c-ac6d-caa17ee42264,Limestone waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,c7d10688-2f91-3c94-9c3e-caf24379082c,Catalyst waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,75157e0c-d779-383d-9dcb-a7cb2c6fb95a,Light bulb waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,c96f4c02-e1d7-3a2d-940f-4873ee4c25ff,"Waste, solid",,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,0d84c825-51c0-32a7-a961-3b993181042c,Polystyrene waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,cbc726f6-857d-3a8e-b760-e59af06c618a,"Waste, from drilling, unspecified",,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,e5192c9d-6f7b-3cc6-aa30-0b65d53b8225,"Rejects, corrugated cardboard",,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,b3e0e0b6-d96f-39f4-b05c-d733f9ab3c90,"Wood, sawdust",,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,060fdca6-140c-3dc2-9e7f-5abd64747893,"Mineral waste, from mining",,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,9f3f5ffd-ea86-3a23-a7ba-fc756ef6ad6d,Coal tailings,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,b0b5cbd7-c413-3e53-be95-148b85e888f7,"Packaging waste, paper and board",,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,1480daf8-68ae-30fb-aff4-c30a4288d4aa,Mineral waste,,"ecopoints 97, CH",Waste,kg,1
EDIP 2003,778070b3-7669-38de-9924-4221efd7e331,Bulk waste,kg,17003425-e252-3140-a5f8-fba9d8344572,Photovoltaic panel waste,,"ecopoints 97, CH",Waste,kg,1
