IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,73ed05cc-9727-4abf-9516-4b5c0fe54a16,"Carbon dioxide, non-fossil",,high population density,Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,baf58fc9-573c-419c-8c16-831ac03203b9,"Methane, non-fossil",,high population density,Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,d6235194-e4e6-4548-bfa3-ac095131aef4,"Carbon dioxide, non-fossil",,low population density,Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,57bdb443-d4a6-423d-8024-959b8261d02e,"Methane, non-fossil",,low population density,Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,7b44cf6c-867f-34a0-b632-024664899e21,"Methane, biogenic",000074-82-8,indoor,Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,28e1e2d6-97ad-4dfd-932a-9edad36dcab9,"Carbon dioxide, biogenic",000124-38-9,"low population density, long-term",Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,6c977009-5c4e-4901-a4c1-ab20389cb972,"Methane, biogenic",000074-82-8,"low population density, long-term",Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,eba59fd6-f37e-41dc-9ca3-c7ea22d602c7,"Carbon dioxide, non-fossil",,unspecified,Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,da1157e2-7593-4dfd-80dd-a3449b37a4d8,"Methane, non-fossil",,unspecified,Emission to air,kg,30.5
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,4e1f0bb0-2703-4303-bf86-972d810612cf,"Carbon dioxide, biogenic",000124-38-9,lower stratosphere + upper troposphere,Emission to air,kg,1
IPCC 2013 GWP 100a (incl. CO2 uptake),4b3b85f3-7355-40a5-a24a-4801ef101d52,Climate change - biogenic,kg CO2 eq,258263a0-6be3-4439-bd84-efee0498b849,"Methane, biogenic",000074-82-8,lower stratosphere + upper troposphere,Emission to air,kg,30.5
