IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,8a810459-c628-4995-ab1e-ab5bc2ff39e5,Kaolinite,066649-37-4,land,Resource,kg,0.82
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,f9006a90-d2b6-4d89-b545-cfe4513595c2,Chrysotile,012001-29-5,land,Resource,kg,2.8
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,40ac112e-b350-4eb4-8c6b-5f31de3fbb25,"Metamorphous rock, graphite containing",,land,Resource,kg,2.8
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,8ab40341-a686-49c1-a279-7b1ca5290b85,Dolomite,016389-88-1,land,Resource,kg,21
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,3a0b712d-34ee-4060-b424-1b1967ced363,Calcite,013397-26-7,land,Resource,kg,19
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,594263c2-8c19-4ae2-a21c-4a570bc297e6,Vermiculite,001318-00-9,land,Resource,kg,2.2
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,45561f28-5f45-402a-aa93-70f5c924fc94,Basalt,,land,Resource,kg,1.5
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,f3abd38a-2a6f-4d3f-911b-a90579643c36,Perlite,093763-70-3,land,Resource,kg,1.7
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,24eacd5b-4673-4623-aba5-557c13b9b222,Feldspar,068476-25-5,land,Resource,kg,2.5
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,4a5dff25-7802-4891-8b99-04b12b869b88,Pumice,001332-09-8,land,Resource,kg,1.8
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,e8213d5a-197d-4065-b3d3-acda2f3c47a5,Pyrite,001309-36-0,land,Resource,kg,380
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,4b354612-9b7c-44ac-9e24-3edadd43a00d,Granite,219714-96-2,land,Resource,kg,2.4
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,e8c47a67-92db-4050-acc1-1737908df243,"Uranium oxide, 332 GJ per kg, in ore",001317-99-3,land,Resource,kg,"190,000"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,d4928577-92f1-468a-ad97-b1c818928c49,Clay,,land,Resource,kg,0.82
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,3a23546c-d97b-4418-8394-a3040a26d76e,Oil shale,,land,Resource,kg,200
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,a0e87b60-3731-47d3-afe8-633752905d11,Titanium ore,,land,Resource,kg,23
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,9d2cef79-0948-4b35-8181-89e93f85a7df,Anhydrite,014798-04-0,land,Resource,kg,170
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,b8c7e7aa-b43f-4d85-9bbe-4b088e4b4f75,Sodium nitrate,007631-99-4,land,Resource,kg,840
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,71480177-7371-47e3-bfda-3b713df1b90d,Shale,,land,Resource,kg,0.82
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,d4ad56bd-0ca1-47a8-ab23-9ee06db439ee,"Clay, bentonite",,land,Resource,kg,1.4
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,fbef6d27-9899-4a19-a837-92e2d84d47fc,Pyrolusite,014854-26-3,land,Resource,kg,230
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,589a9c1a-3389-4748-89b9-c47c37baaa72,Zirconia,001314-23-4,land,Resource,kg,"1,600"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,ab3f1ef2-8ed9-4df0-8415-1e93bbd3c342,Spodumene,066057-55-4,land,Resource,kg,670
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,abdfc495-4119-4fbf-8799-a99963055e17,Sylvinite,,land,Resource,kg,660
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,708bba4b-32e5-46ac-aa53-68a1413ba326,Olivine,001317-71-1,land,Resource,kg,3.5
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,c1c2b8ae-afa1-45b5-a06f-e48280fed802,"Clay, unspecified",,land,Resource,kg,0.82
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,4718c804-ed44-464c-acbe-c5cc51b7580b,"TiO2, 54% in ilmenite, 18% in crude ore",013463-67-7,land,Resource,kg,40
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,9dcebf82-e6b3-400d-98bb-353ac079cbe1,Antimony,007440-36-0,in ground,Resource,kg,"1,400,000"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,033f8342-fd62-405e-a512-3fa8619e6ded,stone,,in ground,Resource,kg,2.8
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,85d55b80-85fc-11e0-9d78-0800200c9a66,Slate,,in ground,Resource,kg,13
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,2d4b0ccc-ba5a-40d8-9ee0-5aac9e2e4d7e,"Copper, Gold, Silver, ore (0.51% Cu, 0.6 g/t Au, 1.5 g/t Ag)",,in ground,Resource,kg,200
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,f11aaecf-25cf-4fed-9eb7-2cfb900c368c,Strontium,007440-24-6,in ground,Resource,kg,880
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,bc153c00-6c93-412f-aadc-750f2fc6f9c7,"Silver, 0.01% in crude ore",007440-22-4,in ground,Resource,kg,"5,100,000"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,badefaa0-fb1e-4cb0-bac1-480058554f3c,"Lignite, 11 MJ per kg",,in ground,Resource,kg,170
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,86fb18d4-a425-407a-94bc-194254e4d7d7,"Laterite, in ground",,in ground,Resource,kg,1.2
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,7b9b6384-b037-381d-81f1-3bf7cf19a0f0,Natural aggregate,,in ground,Resource,kg,2.8
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,fe0acd60-3ddc-11dd-a8cd-0050c2490048,Mercury,007439-97-6,in ground,Resource,kg,"9,400,000"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,fe0acd60-3ddc-11dd-ae5c-0050c2490048,Copper,007440-50-8,in ground,Resource,kg,"10,000"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,fe0acd60-3ddc-11dd-ae5d-0050c2490048,Lead,007439-92-1,in ground,Resource,kg,"26,000"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,a1965b07-28a5-43d4-8ef4-9289e970fae9,"Zinc, lead ore (21.7% Zn, 5.6% Pb)",,in ground,Resource,kg,"2,400"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,aa0ba006-9118-475d-93fa-3dfced212a76,"Copper, Gold, Silver, ore (1.1% Cu, 0.01 g/t Au, 2.86 g/t Ag)",,in ground,Resource,kg,140
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,093ee058-47f9-3e35-8fef-0cd2f536f7b0,Calcite,013397-26-7,in ground,Resource,kg,19
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,5dc1b17b-b3f7-4e48-9f7f-a995a975a11a,Phosphorus ore (29% P2O5),,in ground,Resource,kg,84
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,68cce9f6-0524-4c7d-a3d2-7a535a3d39e2,Barium,007440-39-3,in ground,Resource,kg,620
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,600b1c44-b10d-4a1e-8426-62779c118d34,Calcium carbonate,000471-34-1,in ground,Resource,kg,19
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,9ef0643e-cbd1-4f70-9862-cbab9fa239eb,Sodium bromide,,in ground,Resource,kg,"250,000"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,38a037a3-47a7-4df7-a986-84e60f50f62e,Potassium,007440-09-7,in ground,Resource,kg,19
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,64b1ce4a-6556-11dd-ad8b-0800200c9a66,Zinc,007440-66-6,in ground,Resource,kg,"3,900"
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,fe0acd60-3ddc-11dd-aabe-0050c2490048,Magnesite,013717-00-5,in ground,Resource,kg,23
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,993428a3-5bd9-4763-bfea-3962f6979e49,"Zinc, copper, lead ore (2.11% Zn, 0.51% Cu, 0.86% Pb)",,in ground,Resource,kg,370
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,bb0c830e-9ea4-345e-8837-9254b377c243,Granite,219714-96-2,in ground,Resource,kg,2.4
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,08a91e70-3ddc-11dd-95c1-0050c2490048,Kaolinite,066649-37-4,in ground,Resource,kg,0.82
Crustal Scarcity Indicator,3a615a76-0ebd-43e5-970a-c68d9319d2a8,Crustal scarcity indicator,kg Si eq,6e52f0b5-5073-4fdc-8542-aa0bda49c80e,"Copper ore, sulfidic",,in ground,Resource,kg,69
