IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,b87be026-7f19-4801-b5ea-1ef6f871fa82,Aluminium phosphide,020859-73-8,forestry,Emission to soil,kg,"5,799.2"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,24b72c64-9dd0-45dd-9936-3c3e7cc17ec7,Sodium azide,026628-22-8,forestry,Emission to soil,kg,"1,818.5"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,d5a7bb44-f5db-4164-ba30-1734496d6cd5,Zinc phosphide,001314-84-7,forestry,Emission to soil,kg,"4,311.6"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,3c38a3f8-8414-4467-9da2-3ebb044efc96,Molybdenum trioxide,001313-27-5,forestry,Emission to soil,kg,0.02482
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,30261427-aa6a-4938-a967-7f8feb4a06a7,Phosphine,007803-51-2,forestry,Emission to soil,kg,148.53
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,be4f100a-ff67-4215-814b-96d0e29656f0,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,forestry,Emission to soil,kg,0.22613
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,a1db60c0-2c16-467b-bf6c-3dad62b184b6,Allyl chloride,000107-05-1,forestry,Emission to soil,kg,1.6048
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,e3085475-d323-4ea5-9366-0e6bee6141a0,Hydrazine,000302-01-2,forestry,Emission to soil,kg,"18,655"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,6f14445c-eaa5-4fee-b006-e10cef4f82d2,Bromine,007726-95-6,forestry,Emission to soil,kg,199.75
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,cd2d9efd-fe91-362a-a3d8-554e21465568,"Stannane, tetrachloro-",007646-78-8,forestry,Emission to soil,kg,8.2929
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,7bb5c85f-6788-4d3f-9a60-6be954840cc5,Chlorosulfonic acid,007790-94-5,forestry,Emission to soil,kg,20.719
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,1cc20d8c-c7a2-4845-8efb-6be767b41229,Chloramine,,forestry,Emission to soil,kg,"36,230"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,57860159-5626-4f15-89b5-13b357797d71,Fluoride,016984-48-8,forestry,Emission to soil,kg,1.2573
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,fe0acd60-3ddc-11dd-b143-0050c2490048,Chlorine,007782-50-5,forestry,Emission to soil,kg,181.44
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,5d52bcc9-f83e-3f68-bcd9-5cb877269f9e,Sulfamic acid,005329-14-6,forestry,Emission to soil,kg,544.85
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,a2eac12b-6e59-4259-9f0b-766b6294ded3,Sulfuric acid,007664-93-9,forestry,Emission to soil,kg,"2,417.9"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,cacc22dc-2711-46a2-bdf3-7e25675ab3a7,Hydrogen fluoride,007664-39-3,forestry,Emission to soil,kg,1.2573
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,b6e2f7f4-6b2e-4b3e-be1f-67626cb8205d,Phosphorus,007723-14-0,forestry,Emission to soil,kg,0.00437
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,538a94f0-2639-3fec-a858-55cc3d5dbaff,Calcium propionate,004075-81-4,agricultural,Emission to soil,kg,23.637
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,b279408d-5893-43ca-a6bb-e6e6b741e88d,Hydrazine,000302-01-2,agricultural,Emission to soil,kg,"18,856"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,1f595407-b84f-43a9-a782-12a1b978c962,Chlorosulfonic acid,007790-94-5,agricultural,Emission to soil,kg,20.719
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,9f35b292-c174-4ce7-8d8a-a67f37f5d60a,Bentonite,001302-78-9,agricultural,Emission to soil,kg,"52,096"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,534e8119-180c-4d0f-884c-4e0a1dead6c7,Hydrogen peroxide,007722-84-1,agricultural,Emission to soil,kg,0.90239
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,6cda588b-bba7-4787-bb46-20075071ef39,Allyl chloride,000107-05-1,agricultural,Emission to soil,kg,1.6048
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,4bbc993f-4704-424d-9e00-ed1e8c7d73fe,Chloramine,,agricultural,Emission to soil,kg,"36,362"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,3c5c6188-4127-4c99-a9d2-baf4c1369911,Zinc phosphide,001314-84-7,agricultural,Emission to soil,kg,"4,311.6"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,8e26f631-fc42-355c-81d7-7d4384e00d8b,"Stannane, tetrachloro-",007646-78-8,agricultural,Emission to soil,kg,8.2928
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,b5f8f24f-3f51-4bc6-a7b3-b5e0885e50b8,Bromine,007726-95-6,agricultural,Emission to soil,kg,199.75
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,e914d31b-90d1-48fd-a803-c9f8e25b7824,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,agricultural,Emission to soil,kg,0.22613
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,8715a362-cf4d-425c-abda-fc7f02900a60,Sodium azide,026628-22-8,agricultural,Emission to soil,kg,"1,818.5"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,b5d8bff5-10b1-3e8d-8b5e-d54edcfb5527,Ammonium nitrate,006484-52-2,agricultural,Emission to soil,kg,1.9041
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,4f9ceb8d-7b0f-482e-aeb4-59400d5fdbb8,Fluoride,016984-48-8,agricultural,Emission to soil,kg,1.2573
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,8bd16c9f-0f3e-43cb-8a66-371405d0002a,Chlorine,007782-50-5,agricultural,Emission to soil,kg,181.44
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,e8abd522-53e5-3426-8845-0388f3f092e8,Sulfamic acid,005329-14-6,agricultural,Emission to soil,kg,544.86
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,9ef488a7-8bda-3980-a8e5-19eafefafebd,"Sulfuric acid, iron (2+) salt (1:1)",007720-78-7,agricultural,Emission to soil,kg,51.718
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,6eed2a0b-4297-4feb-8b93-74ffca8133f2,Potassium bicarbonate,000298-14-6,agricultural,Emission to soil,kg,1.9868
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,9bb73c31-c01d-4384-b567-15c1544ae581,Sulfuric acid,,agricultural,Emission to soil,kg,"2,417.9"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,3096aade-6536-48d8-93da-fd41f5d6eebd,Hydrogen sulfide,007783-06-4,agricultural,Emission to soil,kg,"17,580"
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,e4d585b8-fc05-49ee-8fc8-ac05cdce6217,Hydrogen chloride,007647-01-0,agricultural,Emission to soil,kg,6.1714
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,40a40e1d-4c27-4735-8971-543c752abcdf,Hydrogen fluoride,007664-39-3,agricultural,Emission to soil,kg,1.2573
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,2d098ca9-f784-4ee9-81fd-e65df70846c0,Phosphoric acid,007664-38-2,agricultural,Emission to soil,kg,3.4112
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,4d768f3c-70e8-4317-b017-1bb491c2f90a,Nitric acid,007697-37-2,agricultural,Emission to soil,kg,0.86731
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,d8997408-a915-4c5a-be0d-b6733dca498b,Ammonia,007664-41-7,agricultural,Emission to soil,kg,30.225
EF 3.0 Method (adapted),1783fe30-a9ed-34b5-b5f9-9acdb2fcd013,"Ecotoxicity, freshwater - inorganics",CTUe,2d7ce21e-9999-4c5d-9a83-2f3219982649,"Ammonium, ion",014798-03-9,agricultural,Emission to soil,kg,30.225
