IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,8f4bc5b2-fd6c-3a8e-be37-d211b126e6ba,Zinc,007440-66-6,indoor,Emission to air,g,499
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,f4520cd4-2990-3c30-b9f7-7c4e4f1d853b,Chromium,007440-47-3,indoor,Emission to air,g,"6,360"
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,d09551cd-49f7-392a-b5d5-414d58d3b019,Manganese,007439-96-5,indoor,Emission to air,g,"7,940"
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,537b6f85-23db-32ac-af6d-e9a166770bbb,Molybdenum,007439-98-7,indoor,Emission to air,g,"32,500"
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,d4650fa3-b9b7-31eb-9cb7-2e1ca7be613c,Carbon disulfide,000075-15-0,indoor,Emission to air,g,4.69
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,ea046ae5-11db-3a6e-82d9-a7c110b8ebc7,Beryllium,007440-41-7,indoor,Emission to air,g,"401,000"
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,9a443fa8-a25f-35db-ae23-35397e6658a7,Antimony,007440-36-0,indoor,Emission to air,g,"19,300"
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,9dbaaa6c-bd0a-3b47-9af6-7ae8f57f0785,Vanadium,007440-62-2,indoor,Emission to air,g,"3,000"
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,fc4d79d7-9795-3307-b821-ee668a08a9e4,Lead,007439-92-1,indoor,Emission to air,g,"1,500,000"
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,HH noncancer,g C7H7 eq,3def807a-5e19-38d1-9cae-5b2034b907f1,Cadmium,007440-43-9,indoor,Emission to air,g,"4,950,000"
