IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,89721e33-60fa-4447-bfc6-2f27d44a7893,Cadmium,007440-43-9,industrial,Emission to soil,kg,0
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,b88999ec-84fd-462d-9dec-7e20a4636a58,Zinc,007440-66-6,industrial,Emission to soil,kg,0
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,67652827-017f-4856-8d0a-c97bac4c6562,Lead,007439-92-1,industrial,Emission to soil,kg,0
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,0a5e8a67-f9ae-48b3-bfa7-e9d37c30a191,Copper,007440-50-8,industrial,Emission to soil,kg,0
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,12d6029e-3801-42ee-a1bc-1ebf936884fc,Cadmium,007440-43-9,unspecified,Emission to soil,kg,2.70E+08
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,77887584-ddca-4920-952c-3609730e0c13,Zinc,007440-66-6,unspecified,Emission to soil,kg,2800000
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,739234c8-5359-48b4-983f-9cb170d68c8d,Lead,007439-92-1,unspecified,Emission to soil,kg,1.70E+07
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,44d3e792-7c9e-48ab-9de9-acfa2e097f26,Copper,007440-50-8,unspecified,Emission to soil,kg,1.40E+07
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,837083ce-41cd-49f3-a849-d79564dac238,Lead,007439-92-1,forestry,Emission to soil,kg,1.70E+07
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,b03642f4-8fa3-44df-ba91-7bcf5677d9a7,Cadmium,007440-43-9,forestry,Emission to soil,kg,2.70E+08
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,8d226423-1351-4366-b09f-d16c9e38683c,Zinc,007440-66-6,forestry,Emission to soil,kg,2800000
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,237ca6bc-2f0a-4416-a0e3-bd512f038f2e,Copper,007440-50-8,forestry,Emission to soil,kg,1.40E+07
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,e429b852-e421-4fcb-8a9b-b0241863bfb2,Cadmium,007440-43-9,agricultural,Emission to soil,kg,2.70E+08
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,4010918f-7fd0-4925-8fbb-8fd7a44a806c,Lead,007439-92-1,agricultural,Emission to soil,kg,1.70E+07
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,84aa799e-9d98-4d34-85e0-516d28ab1be9,Zinc,007440-66-6,agricultural,Emission to soil,kg,2800000
Ecological Scarcity 2013,e38f116c-864e-3af3-b2b5-c3283ee097f6,Heavy metals into soil,UBP,7e66a41c-d311-4949-bdd8-eef09cdcfa47,Copper,007440-50-8,agricultural,Emission to soil,kg,1.40E+07
