IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,24b72c64-9dd0-45dd-9936-3c3e7cc17ec7,Sodium azide,026628-22-8,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,be4f100a-ff67-4215-814b-96d0e29656f0,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,a1db60c0-2c16-467b-bf6c-3dad62b184b6,Allyl chloride,000107-05-1,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,e3085475-d323-4ea5-9366-0e6bee6141a0,Hydrazine,000302-01-2,forestry,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,b279408d-5893-43ca-a6bb-e6e6b741e88d,Hydrazine,000302-01-2,agricultural,Emission to soil,kg,0.00001
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,6cda588b-bba7-4787-bb46-20075071ef39,Allyl chloride,000107-05-1,agricultural,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,e914d31b-90d1-48fd-a803-c9f8e25b7824,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,agricultural,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,8715a362-cf4d-425c-abda-fc7f02900a60,Sodium azide,026628-22-8,agricultural,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,ac191902-7741-4067-b415-d187db369e7e,Sodium azide,026628-22-8,unspecified,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,66ce38ad-6668-405f-950b-13bdafc17986,Hydrazine,000302-01-2,unspecified,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,7f49c789-1679-417d-8d90-25ba2579bfe9,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,unspecified,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,f70ae614-1924-4956-8014-3c022efa1282,Allyl chloride,000107-05-1,unspecified,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,761499e7-0676-4fb1-8bf7-ddda6a4fd1a2,Sodium azide,026628-22-8,industrial,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,b59421d6-2dbd-4f6d-9b21-11f0d314bc74,Allyl chloride,000107-05-1,industrial,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,2146c3ec-cc48-4abc-b72e-a9ec7532ded6,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,industrial,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,03cc2130-ed64-422f-82b3-fb3459bf9daa,Hydrazine,000302-01-2,industrial,Emission to soil,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,2a082d86-4237-4b9e-b13d-922fbfc7cb15,Hydrazine,000302-01-2,"river, long-term",Emission to water,kg,0.00001
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,d98dc4e9-2d47-4bc3-861e-50843d8ccc8e,sodium azide,026628-22-8,"river, long-term",Emission to water,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,d4ac32f2-80b6-47fb-a70e-fc7173f38ff3,ALLYL CHLORIDE,000107-05-1,"river, long-term",Emission to water,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,19845eca-c8cc-4ccc-9388-41a99530a4ea,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,"river, long-term",Emission to water,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,42da0745-0add-46dd-a5a8-ff9367d3e480,sodium azide,026628-22-8,"fresh water, long-term",Emission to water,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,58c95572-b170-4d82-919f-89690ac76dc4,Hydrazine,000302-01-2,"fresh water, long-term",Emission to water,kg,0.00001
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,a97ce265-2e8c-49a8-925b-d733f67558ac,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,"fresh water, long-term",Emission to water,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,c9b87796-d3ea-4a3a-9ba5-9bd7978ba98c,ALLYL CHLORIDE,000107-05-1,"fresh water, long-term",Emission to water,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,81788aa3-c3dd-4688-8a9f-ed03e0057397,Hydrazine,000302-01-2,fossil-,Emission to water,kg,0.00001
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,a20e7d01-aab9-403d-a453-fe95b55ab19e,"Methane, dichlorodifluoro-, CFC-12",000075-71-8,fossil-,Emission to water,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,445deccc-a967-45ce-b6c2-c8b0754efd65,ALLYL CHLORIDE,000107-05-1,fossil-,Emission to water,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,a47b9a52-d943-4534-b02b-26d01249a76d,sodium azide,026628-22-8,fossil-,Emission to water,kg,0
EN 15804 +A2 Method,2def040a-b102-3c26-a23c-4a947fe13fe9,"Human toxicity, cancer - inorganics",CTUh,fe41f77b-e91b-46b1-ad1e-c21645ce4edd,Hydrazine,000302-01-2,fresh water,Emission to water,kg,0.00001
