IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,7587e4c0-72a0-4336-8d15-e0cde77ebdd1,Uranium-238,007440-61-1,"river, long-term",Emission to water,kBq,0.107
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,7a874970-77f5-49be-bf00-1647f35d717a,"Hydrogen-3, Tritium",010028-17-8,"river, long-term",Emission to water,kBq,0.00002
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,5942d487-e642-4b2b-8ccb-0e940ea390bf,Ruthenium-106,013967-48-1,"river, long-term",Emission to water,kBq,0.00679
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,1e72416b-ef13-4c39-a6d1-b24d7bb5740c,Uranium-234,013966-29-5,"river, long-term",Emission to water,kBq,0.114
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,1489fa29-476c-404a-95d9-9d2e3fa434da,Carbon-14,014762-75-5,"river, long-term",Emission to water,kBq,0.0557
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,543c75b7-8df5-4b4a-b0ff-1ece3dc2e7d1,Curium alpha,007440-51-9,"river, long-term",Emission to water,kBq,2.71
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,f1b57113-5251-4671-9160-790fbffd0d9f,Radium-226,013982-63-3,"river, long-term",Emission to water,kBq,0.00607
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,62ec6b76-5685-4501-8ea8-83cc3435385d,Manganese-54,013966-31-9,"river, long-term",Emission to water,kBq,0.015
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,751aebae-ab74-4a39-8c69-3bad4215e123,Cesium-137,010045-97-3,"river, long-term",Emission to water,kBq,7.86
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,9dc2b19d-ff8e-44d2-ae33-dc49f728235c,Antimony-125,014234-35-6,"river, long-term",Emission to water,kBq,0.0007
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,bca0aef8-5f01-4b60-bd49-d6711b461339,Antimony-124,014683-10-4,"river, long-term",Emission to water,kBq,0.0386
EF Method (adapted),3ab8e56c-c663-3d5b-9003-b313dfa2fcdf,"Ionising radiation, HH",kBq U-235 eq,73a0fa9c-1581-449e-99ec-00432e84fe6f,Americium-241,014596-10-2,"river, long-term",Emission to water,kBq,1.5
