IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,7587e4c0-72a0-4336-8d15-e0cde77ebdd1,Uranium-238,007440-61-1,"river, long-term",Emission to water,Bq,0.01095
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,7a874970-77f5-49be-bf00-1647f35d717a,"Hydrogen-3, Tritium",010028-17-8,"river, long-term",Emission to water,Bq,0
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,1e72416b-ef13-4c39-a6d1-b24d7bb5740c,Uranium-234,013966-29-5,"river, long-term",Emission to water,Bq,0.01143
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,f1b57113-5251-4671-9160-790fbffd0d9f,Radium-226,013982-63-3,"river, long-term",Emission to water,Bq,0.00062
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,62ec6b76-5685-4501-8ea8-83cc3435385d,Manganese-54,013966-31-9,"river, long-term",Emission to water,Bq,0.00148
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,751aebae-ab74-4a39-8c69-3bad4215e123,Cesium-137,010045-97-3,"river, long-term",Emission to water,Bq,0.80952
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,bca0aef8-5f01-4b60-bd49-d6711b461339,Antimony-124,014683-10-4,"river, long-term",Emission to water,Bq,0.0039
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,ee2289a2-8e0c-414f-a7e8-b9010f7bc08c,Uranium-235,015117-96-1,"river, long-term",Emission to water,Bq,0.01095
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,e2e79f41-9c2e-4a2b-844c-37cb6f9a3ce6,Silver-110,014391-76-5,"river, long-term",Emission to water,Bq,0.00243
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,fd9eef90-dfbd-4d17-a0e3-927e5c2a6030,Cobalt-58,013981-38-9,"river, long-term",Emission to water,Bq,0.00019
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,1984c85d-9ef9-4a86-9e4c-cf214b5c1f01,Cobalt-60,010198-40-0,"river, long-term",Emission to water,Bq,0.20952
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,23367e14-798c-401e-864b-e21b6ab6cd81,Cesium-134,013967-70-9,"river, long-term",Emission to water,Bq,0.66667
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,25403b99-fe84-4d9f-ada1-c089a71756e7,Iodine-131,010043-66-0,"river, long-term",Emission to water,Bq,0.00238
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,7f5f3f84-c4aa-43e6-9517-763e41a28cc8,Uranium-238,007440-61-1,"fresh water, long-term",Emission to water,Bq,0.01095
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,9ae892fd-419e-4362-84bd-4447430be0d8,Antimony-124,014683-10-4,"fresh water, long-term",Emission to water,Bq,0.0039
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,a0564f51-3f80-4f9a-9362-8cb3ad516ff2,Uranium-235,015117-96-1,"fresh water, long-term",Emission to water,Bq,0.01095
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,30af7730-01ec-4836-a207-35fcb5931737,Cobalt-60,010198-40-0,"fresh water, long-term",Emission to water,Bq,0.20952
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,3c25c75c-a196-43e7-86cb-561c1b6fcd1f,Radium-226,013982-63-3,"fresh water, long-term",Emission to water,Bq,0.00062
IMPACT 2002+,a21865c5-2fb8-3104-884e-8dcaa0f59ad2,Ionizing radiation,Bq C-14 eq,e1167a49-0a2d-4c7e-a089-645eed790566,Manganese-54,013966-31-9,"fresh water, long-term",Emission to water,Bq,0.00148
