IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,83a691df-1e4a-4cee-bcdb-17b7bd0c8c35,"Transformation, from urban, green area",,land,Resource,m2,"-2,072.5"
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,b06ca23e-c6c0-478b-a65c-50e5e5dd8440,"Transformation, from river, natural (non-use)",,land,Resource,m2,-282.88
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,54b82481-32a3-4e82-bac7-1df475dbc80c,"Transformation, to cropland fallow (non-use)",,land,Resource,m2,516.99
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,4d166779-88fd-441b-9537-f3b974e3bff7,"Transformation, from arable land, unspecified use",,land,Resource,m2,-501.91
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,c0143eba-3daf-44ad-8d34-6e1d34128ace,"Transformation, from agriculture",,land,Resource,m2,-482.18
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,28e5f69f-7b2e-4e31-9725-d407b2964b3f,"Transformation, to agriculture",,land,Resource,m2,482.18
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,5dbd8205-fa09-3895-90d3-5e1d7406c179,"Occupation, agriculture",,land,Resource,m2*a,48.218
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,2e52cbfa-94d7-432b-892f-431daa71a6ef,"Transformation, to annual crop, non-irrigated, intensive",,land,Resource,m2,509.46
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,190d9910-5d04-4c97-abea-3b39682b7ed6,"Occupation, urban, green area",,land,Resource,m2*a,48.764
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,061259d7-7bcc-4298-af3a-63d084191988,"Occupation, unspecified, natural (non-use)",,land,Resource,m2*a,28.288
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,c7869c43-266c-429d-bfd5-6b578ed32ce8,"Transformation, from annual crop, non-irrigated, extensive",,land,Resource,m2,-462.11
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,a70f8014-0de5-477f-9f10-712b5c280b8e,"Transformation, to annual crop, irrigated, extensive",,land,Resource,m2,462.11
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,f157b88d-f288-473c-8b03-0f97b58235ff,"Transformation, to urban/industrial fallow (non-use)",,land,Resource,m2,"5,895.4"
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,6d5106b1-0c5e-3b60-99fe-197578809228,"Transformation, to annual crop, fallow",,land,Resource,m2,516.99
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,d36dd104-5214-4ca2-b1ab-c878987a42fe,"Transformation, to wetland, inland (non-use)",,land,Resource,m2,-174.58
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,ab3e851e-21c9-47cf-8e7d-5f96dfae3ba5,"Transformation, from annual crop, non-irrigated, intensive",,land,Resource,m2,-509.46
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,49c23685-ef19-495b-9a6b-4a91a7ceb710,"Transformation, to annual crop, greenhouse",,land,Resource,m2,364.05
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,5c180ec0-3dc5-3094-84c2-2cefe9402b49,"Transformation, from annual crop, fallow",,land,Resource,m2,-516.99
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,70aa745b-8bc5-4433-b2f5-d1da652ba166,"Occupation, urban/industrial fallow (non-use)",,land,Resource,m2*a,138.72
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,990c759a-1773-383c-9069-c105d72090c3,"Transformation, to urban/industrial fallow",,land,Resource,m2,"5,895.4"
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,ff6dccc1-5ebd-42c3-9fd9-3d73db7a3dd2,"Transformation, to forest, secondary (non-use)",,land,Resource,m2,114.88
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,84b11d12-a078-44e7-9d6e-7675a0e23c4d,"Occupation, forest, secondary (non-use)",,land,Resource,m2*a,11.488
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,10ebc72c-2c4b-45ea-abd8-cb7fe0805883,"Transformation, from annual crop, irrigated, intensive",,land,Resource,m2,-509.46
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,0782d8ff-80e5-47a7-a2ba-3ba40ab60b60,"Transformation, from wetland, inland (non-use)",,land,Resource,m2,174.58
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,e780232c-898f-4606-8d21-f8589801ebe6,"Occupation, grassland, natural, for livestock grazing",,land,Resource,m2*a,54.923
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,91a067cc-543a-4d73-a0c0-feb1f8935756,"Transformation, to annual crop, non-irrigated, extensive",,land,Resource,m2,462.11
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,9d136389-8670-45ae-ad1d-a06848a1fd1d,"Transformation, from forest, primary (non-use)",,land,Resource,m2,-114.59
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,3e7f1605-9451-4e53-9690-ab5318033227,"Occupation, traffic area",,land,Resource,m2*a,138.66
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,0f923637-e322-44d8-9ff2-9c765d75e253,"Occupation, forest, primary (non-use)",,land,Resource,m2*a,11.459
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,b6dcefd8-3848-4338-9c3e-fe6e91f20937,"Transformation, from industrial area",,land,Resource,m2,"-5,911.8"
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,9e80f7cd-47fa-4c7f-8f2c-bdb9731b3196,"Occupation, annual crop, greenhouse",,land,Resource,m2*a,36.405
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,c3c3d385-57fa-4d47-a2c5-d838006e7985,"Transformation, to annual crop, irrigated, intensive",,land,Resource,m2,509.46
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,1a1d0d4b-6b95-4815-ad06-2ec5fe333c43,"Transformation, from unspecified, natural (non-use)",,land,Resource,m2,-282.88
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,c12ed8b5-8452-43ca-9986-a814e908e792,"Transformation, from grassland, natural, for livestock grazing",,land,Resource,m2,-549.23
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,9cc80820-fcf9-4ea9-8e67-0aa423eba6a4,"Transformation, from forest, secondary (non-use)",,land,Resource,m2,-114.88
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,101f15ac-0698-49dd-b177-471a813ef78e,"Transformation, from annual crop, greenhouse",,land,Resource,m2,-364.05
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,b905c2e0-a0db-4e66-80d2-8bdfc93c6218,"Transformation, from grassland, natural (non-use)",,land,Resource,m2,-356.41
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,7956039f-1181-42ab-b03b-ba9992733394,"Occupation, annual crop, flooded crop",,land,Resource,m2*a,39.581
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,fe17e7c1-9574-4880-b7e6-ec09c2e3ae5d,"Transformation, to grassland, natural (non-use)",,land,Resource,m2,356.41
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,46cfaeaf-f124-409f-998d-47b159051cec,"Transformation, to unspecified, natural (non-use)",,land,Resource,m2,282.88
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,4624deff-2016-41d4-b2bf-3db8dab88779,"Transformation, to industrial area",,land,Resource,m2,"5,911.8"
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,ac0aba5c-66ce-42c9-9f46-1e47ab7bc4b9,"Transformation, from forest, natural",,land,Resource,m2,-114.59
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,247ddc2a-c861-43be-97f0-0183e3d12f99,"Transformation, to annual crop, irrigated",,land,Resource,m2,501.91
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,ce132b7d-ab1c-4df3-9656-8fe37ede77b1,"Transformation, to grassland, natural, for livestock grazing",,land,Resource,m2,549.23
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,2b8a0f87-bd2a-4b10-8dd9-714487f59fc9,"Occupation, grassland, natural (non-use)",,land,Resource,m2*a,35.641
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,a70beb60-354d-4dcd-b6fd-8c251357fb2a,"Transformation, from annual crop, irrigated",,land,Resource,m2,-501.91
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,8c173ca1-5f74-4a6e-89e5-dd18e0f18d1a,"Occupation, arable land, unspecified use",,land,Resource,m2*a,50.191
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,7e7d6ebb-8c9c-4ecb-b64b-23a8c2c908c4,"Occupation, permanent crop, fruit, extensive",,land,Resource,m2*a,46.211
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,f318deb8-ac36-47c0-bb00-e3022b583c7e,"Occupation, permanent crop, vine, extensive",,land,Resource,m2*a,46.211
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,18636f13-f552-4136-a353-3b5a8e5f87d1,"Occupation, permanent crop, non-irrigated",,land,Resource,m2*a,50.191
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,64d99cb5-3b4f-4195-b86f-c5f45b4dcd19,"Transformation, from mineral extraction site",,land,Resource,m2,"-4,708.4"
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,0abf9db7-b5a2-4c18-8ec6-aca3a7fb5579,"Transformation, to traffic area, rail network",,land,Resource,m2,"5,899.2"
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,73cba245-5969-4076-8490-75a236073196,"Transformation, from permanent crop, irrigated",,land,Resource,m2,-501.91
EF 3.0 Method (adapted),2e0b3f30-541b-37c9-8cfe-071de8a46f6d,Land use,Pt,ba94eeb5-4b68-4848-a86e-71a9f3b70a4c,"Transformation, from urban, discontinuously built",,land,Resource,m2,"-4,937"
