IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,963b17e3-ec2a-3715-85eb-01d84a8fce7b,"Transformation, from forest, intensive, normal",,land,Resource,m2,-78.2
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,6298cf1e-af72-3f28-a296-1ae880d427e4,"Transformation, from annual crop, non-irrigated, monotone-intensive",,land,Resource,m2,-131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,c8a8cc97-c00f-31a0-ac0e-017f59071ac5,"Transformation, to tropical rain forest",,land,Resource,m2,63.6
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,436403fd-caa1-3abb-9de4-e3dde0774798,"Transformation, from annual crop, non-irrigated, diverse-intensive",,land,Resource,m2,-131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,56a10d5d-7c21-35da-b967-1faee93f0798,"Transformation, to pasture, man made, organic",,land,Resource,m2,117
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,d903114a-8c2c-3649-ab5b-22f404fc4646,"Occupation, annual crop, reduced tillage",,land,Resource,m2*a,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,4da2ea28-8273-4901-9931-264169ec7731,"Transformation, from cropland fallow (non-use)",,land,Resource,m2,-141
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,ded8e6ec-41f4-3417-8fee-a44d8a35bd77,"Occupation, annual crop, conventional tillage",,land,Resource,m2*a,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,7899bb60-56fd-3d8b-8c3a-9d6341b9d747,"Transformation, from tropical rain forest",,land,Resource,m2,-63.6
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,6baab24d-655c-3572-b697-9bffcd3b458c,"Transformation, from pasture, man made, organic",,land,Resource,m2,-117
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,fa121789-03b2-3c76-bef9-6f4c9be4b4e6,"Transformation, to annual crop, organic",,land,Resource,m2,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,05a9f970-d413-321a-8161-88b70933593f,"Transformation, to forest, intensive, normal",,land,Resource,m2,78.2
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,dbc67ab5-f891-33ff-b1f2-eed940a1205b,"Occupation, annual crop, conservation tillage",,land,Resource,m2*a,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,248bf3d1-f5c5-3783-b8b0-7bd58af34bf1,"Occupation, annual crop, integrated",,land,Resource,m2*a,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,932d215c-082d-3674-9e8a-a56818fbffa7,"Transformation, from annual crop, organic",,land,Resource,m2,-131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,83a691df-1e4a-4cee-bcdb-17b7bd0c8c35,"Transformation, from urban, green area",,land,Resource,m2,-121
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,c0143eba-3daf-44ad-8d34-6e1d34128ace,"Transformation, from agriculture",,land,Resource,m2,-121
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,28e5f69f-7b2e-4e31-9725-d407b2964b3f,"Transformation, to agriculture",,land,Resource,m2,121
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,5dbd8205-fa09-3895-90d3-5e1d7406c179,"Occupation, agriculture",,land,Resource,m2*a,121
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,2e52cbfa-94d7-432b-892f-431daa71a6ef,"Transformation, to annual crop, non-irrigated, intensive",,land,Resource,m2,136
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,190d9910-5d04-4c97-abea-3b39682b7ed6,"Occupation, urban, green area",,land,Resource,m2*a,121
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,061259d7-7bcc-4298-af3a-63d084191988,"Occupation, unspecified, natural (non-use)",,land,Resource,m2*a,103
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,c7869c43-266c-429d-bfd5-6b578ed32ce8,"Transformation, from annual crop, non-irrigated, extensive",,land,Resource,m2,-124
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,a70f8014-0de5-477f-9f10-712b5c280b8e,"Transformation, to annual crop, irrigated, extensive",,land,Resource,m2,124
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,f157b88d-f288-473c-8b03-0f97b58235ff,"Transformation, to urban/industrial fallow (non-use)",,land,Resource,m2,243
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,6d5106b1-0c5e-3b60-99fe-197578809228,"Transformation, to annual crop, fallow",,land,Resource,m2,141
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,d36dd104-5214-4ca2-b1ab-c878987a42fe,"Transformation, to wetland, inland (non-use)",,land,Resource,m2,55.4
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,ab3e851e-21c9-47cf-8e7d-5f96dfae3ba5,"Transformation, from annual crop, non-irrigated, intensive",,land,Resource,m2,-136
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,49c23685-ef19-495b-9a6b-4a91a7ceb710,"Transformation, to annual crop, greenhouse",,land,Resource,m2,89
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,5c180ec0-3dc5-3094-84c2-2cefe9402b49,"Transformation, from annual crop, fallow",,land,Resource,m2,-141
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,70aa745b-8bc5-4433-b2f5-d1da652ba166,"Occupation, urban/industrial fallow (non-use)",,land,Resource,m2*a,243
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,990c759a-1773-383c-9069-c105d72090c3,"Transformation, to urban/industrial fallow",,land,Resource,m2,243
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,ff6dccc1-5ebd-42c3-9fd9-3d73db7a3dd2,"Transformation, to forest, secondary (non-use)",,land,Resource,m2,63.7
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,84b11d12-a078-44e7-9d6e-7675a0e23c4d,"Occupation, forest, secondary (non-use)",,land,Resource,m2*a,63.7
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,10ebc72c-2c4b-45ea-abd8-cb7fe0805883,"Transformation, from annual crop, irrigated, intensive",,land,Resource,m2,-136
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,0782d8ff-80e5-47a7-a2ba-3ba40ab60b60,"Transformation, from wetland, inland (non-use)",,land,Resource,m2,-55.4
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,e780232c-898f-4606-8d21-f8589801ebe6,"Occupation, grassland, natural, for livestock grazing",,land,Resource,m2*a,117
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,91a067cc-543a-4d73-a0c0-feb1f8935756,"Transformation, to annual crop, non-irrigated, extensive",,land,Resource,m2,124
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,9d136389-8670-45ae-ad1d-a06848a1fd1d,"Transformation, from forest, primary (non-use)",,land,Resource,m2,-63.6
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,3e7f1605-9451-4e53-9690-ab5318033227,"Occupation, traffic area",,land,Resource,m2*a,243
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,0f923637-e322-44d8-9ff2-9c765d75e253,"Occupation, forest, primary (non-use)",,land,Resource,m2*a,63.6
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,b6dcefd8-3848-4338-9c3e-fe6e91f20937,"Transformation, from industrial area",,land,Resource,m2,-244
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,9e80f7cd-47fa-4c7f-8f2c-bdb9731b3196,"Occupation, annual crop, greenhouse",,land,Resource,m2*a,89
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,c3c3d385-57fa-4d47-a2c5-d838006e7985,"Transformation, to annual crop, irrigated, intensive",,land,Resource,m2,136
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,1a1d0d4b-6b95-4815-ad06-2ec5fe333c43,"Transformation, from unspecified, natural (non-use)",,land,Resource,m2,-103
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,c12ed8b5-8452-43ca-9986-a814e908e792,"Transformation, from grassland, natural, for livestock grazing",,land,Resource,m2,-117
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,9cc80820-fcf9-4ea9-8e67-0aa423eba6a4,"Transformation, from forest, secondary (non-use)",,land,Resource,m2,-63.7
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,101f15ac-0698-49dd-b177-471a813ef78e,"Transformation, from annual crop, greenhouse",,land,Resource,m2,-89
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,b905c2e0-a0db-4e66-80d2-8bdfc93c6218,"Transformation, from grassland, natural (non-use)",,land,Resource,m2,-98.7
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,7956039f-1181-42ab-b03b-ba9992733394,"Occupation, annual crop, flooded crop",,land,Resource,m2*a,91.4
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,fe17e7c1-9574-4880-b7e6-ec09c2e3ae5d,"Transformation, to grassland, natural (non-use)",,land,Resource,m2,98.7
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,4624deff-2016-41d4-b2bf-3db8dab88779,"Transformation, to industrial area",,land,Resource,m2,244
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,ac0aba5c-66ce-42c9-9f46-1e47ab7bc4b9,"Transformation, from forest, natural",,land,Resource,m2,-63.6
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,247ddc2a-c861-43be-97f0-0183e3d12f99,"Transformation, to annual crop, irrigated",,land,Resource,m2,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,ce132b7d-ab1c-4df3-9656-8fe37ede77b1,"Transformation, to grassland, natural, for livestock grazing",,land,Resource,m2,117
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,2b8a0f87-bd2a-4b10-8dd9-714487f59fc9,"Occupation, grassland, natural (non-use)",,land,Resource,m2*a,98.5
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,a70beb60-354d-4dcd-b6fd-8c251357fb2a,"Transformation, from annual crop, irrigated",,land,Resource,m2,-131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,8c173ca1-5f74-4a6e-89e5-dd18e0f18d1a,"Occupation, arable land, unspecified use",,land,Resource,m2*a,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,7e7d6ebb-8c9c-4ecb-b64b-23a8c2c908c4,"Occupation, permanent crop, fruit, extensive",,land,Resource,m2*a,124
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,f318deb8-ac36-47c0-bb00-e3022b583c7e,"Occupation, permanent crop, vine, extensive",,land,Resource,m2*a,124
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,18636f13-f552-4136-a353-3b5a8e5f87d1,"Occupation, permanent crop, non-irrigated",,land,Resource,m2*a,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,2cb441cd-8d2e-4e5c-a208-48c4fa005c41,"Transformation, to permanent crop, vine, extensive",,land,Resource,m2,124
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,64d99cb5-3b4f-4195-b86f-c5f45b4dcd19,"Transformation, from mineral extraction site",,land,Resource,m2,-207
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,0abf9db7-b5a2-4c18-8ec6-aca3a7fb5579,"Transformation, to traffic area, rail network",,land,Resource,m2,244
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,6f2f97dc-2aeb-482c-a20a-9747f0746898,"Transformation, to industrial area, vegetation",,land,Resource,m2,244
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,73cba245-5969-4076-8490-75a236073196,"Transformation, from permanent crop, irrigated",,land,Resource,m2,-131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,ba94eeb5-4b68-4848-a86e-71a9f3b70a4c,"Transformation, from urban, discontinuously built",,land,Resource,m2,-184
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,f05cca02-ec18-4acc-9939-59658ff9a554,"Transformation, from annual crop",,land,Resource,m2,-131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,fdda4f8e-b620-4df6-92a9-101a251d2f42,"Transformation, to heterogeneous, agricultural",,land,Resource,m2,121
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,66f25f1d-1898-4827-bcbb-ca82f15c4d02,"Transformation, to urban, continuously built",,land,Resource,m2,301
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,bba9f623-5919-4ef3-b98d-c94af1553179,"Transformation, to forest, unspecified",,land,Resource,m2,71
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,7d5b5802-3698-4be8-98f8-ab7c1a2e9328,"Transformation, from dump site, slag compartment",,land,Resource,m2,-158
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,c3f83a91-4888-41a4-add9-fd01678a1e5f,"Transformation, to annual crop",,land,Resource,m2,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,a99a8eaf-2f2c-42c6-b6ce-d5686a9ca249,"Transformation, from traffic area, rail network",,land,Resource,m2,-244
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,17a5a406-333f-4b9e-8852-c2de50bc9585,"Transformation, from shrub land, sclerophyllous",,land,Resource,m2,-78.6
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,e71f95a5-fd82-4128-9fd1-be3f0e85d0fc,"Transformation, from forest, extensive",,land,Resource,m2,-68.5
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,873be1a5-2186-3326-9989-8d695db71eb8,"Transformation, to annual crop, non-irrigated, monotone-intensive",,land,Resource,m2,131
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,99f1deff-a149-49bf-b1fd-95f7ff7d1331,"Transformation, from forest, intensive, short-cycle",,land,Resource,m2,-78.2
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,975ae6bf-9a02-4d6f-af7e-8f1253842fed,"Transformation, from traffic area, rail embankment",,land,Resource,m2,-192
EF Method (adapted),c0b85854-a89b-3b5f-8d2c-c8971ebc94c3,Land use,Pt,b79e26a0-88db-441f-b79b-508506e81b93,"Transformation, from dump site, sanitary landfill",,land,Resource,m2,-158
