IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,061259d7-7bcc-4298-af3a-63d084191988,"Occupation, unspecified, natural (non-use)",NULL,land,Resource,m2*a,0
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,c9461a73-d00a-4fc7-a890-a9eda6af3185,"Occupation, permanent crop, non-irrigated, intensive",,land,Resource,m2*a,6.22E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,9089d7ad-09b1-4174-a188-8844ebde2d5d,"Transformation, to shrub land, sclerophyllous",,land,Resource,m2,-3.33E-08
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,9cc80820-fcf9-4ea9-8e67-0aa423eba6a4,"Transformation, from forest, secondary (non-use)",,land,Resource,m2,3.26E-07
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,70aa745b-8bc5-4433-b2f5-d1da652ba166,"Occupation, urban/industrial fallow (non-use)",,land,Resource,m2*a,6.48E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,e063ee9c-9850-42b5-b01e-4cc9b5ad7152,"Occupation, annual crop, non-irrigated, intensive",,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,2b8a0f87-bd2a-4b10-8dd9-714487f59fc9,"Occupation, grassland, natural (non-use)",,land,Resource,m2*a,0
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,e780232c-898f-4606-8d21-f8589801ebe6,"Occupation, grassland, natural, for livestock grazing",NULL,land,Resource,m2*a,4.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,84b11d12-a078-44e7-9d6e-7675a0e23c4d,"Occupation, forest, secondary (non-use)",NULL,land,Resource,m2*a,2.66E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,9fd128fe-d8c5-476f-af42-2795d5f5d227,"Occupation, annual crop, irrigated, intensive",,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,9db06277-b6d9-4c48-8cfb-de342e928a50,"Occupation, seabed, infrastructure",,land,Resource,m2*a,0
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,1896b498-8d13-4f58-8c17-21fe57740158,"Occupation, permanent crop, irrigated",,land,Resource,m2*a,6.22E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,d36dd104-5214-4ca2-b1ab-c878987a42fe,"Transformation, to wetland, inland (non-use)",,land,Resource,m2,-3.33E-08
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,9d136389-8670-45ae-ad1d-a06848a1fd1d,"Transformation, from forest, primary (non-use)",,land,Resource,m2,3.26E-07
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,5d615a38-6d0a-4f3a-8973-69b333b6e814,"Occupation, cropland fallow (non-use)",NULL,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,70c4c6d8-ed81-4763-ae6d-39e54ef0b1fa,"Occupation, seabed, drilling and mining",,land,Resource,m2*a,0
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,3afbc2d8-1b51-4d43-87a7-e68291c1e999,"Occupation, permanent crop, irrigated, intensive",,land,Resource,m2*a,6.22E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,fe17e7c1-9574-4880-b7e6-ec09c2e3ae5d,"Transformation, to grassland, natural (non-use)",,land,Resource,m2,-3.33E-08
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,5dbd8205-fa09-3895-90d3-5e1d7406c179,"Occupation, agriculture",,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,b905c2e0-a0db-4e66-80d2-8bdfc93c6218,"Transformation, from grassland, natural (non-use)",,land,Resource,m2,3.33E-08
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,7956039f-1181-42ab-b03b-ba9992733394,"Occupation, annual crop, flooded crop",NULL,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,c4a82f46-381f-474c-a362-3363064b9c33,"Occupation, annual crop, irrigated",,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,0f923637-e322-44d8-9ff2-9c765d75e253,"Occupation, forest, primary (non-use)",NULL,land,Resource,m2*a,0
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,ff6dccc1-5ebd-42c3-9fd9-3d73db7a3dd2,"Transformation, to forest, secondary (non-use)",,land,Resource,m2,-3.26E-07
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,9e80f7cd-47fa-4c7f-8f2c-bdb9731b3196,"Occupation, annual crop, greenhouse",,land,Resource,m2*a,6.48E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,12c7671c-e4aa-46c6-93c5-b6f9ac1c453b,"Occupation, annual crop, irrigated, extensive",NULL,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,1b0a8570-eab4-46c2-9b67-c9b918e75676,"Occupation, annual crop, non-irrigated, extensive",,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,17a5a406-333f-4b9e-8852-c2de50bc9585,"Transformation, from shrub land, sclerophyllous",,land,Resource,m2,3.33E-08
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,0782d8ff-80e5-47a7-a2ba-3ba40ab60b60,"Transformation, from wetland, inland (non-use)",,land,Resource,m2,3.33E-08
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,a6889a22-e99e-42ea-85cd-4a68d7975dcd,"Occupation, annual crop, non-irrigated",,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,379ba5c9-5c3a-43d0-8e2d-605ad9c39e46,"Occupation, mineral extraction site",,land,Resource,m2*a,6.48E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,3e7f1605-9451-4e53-9690-ab5318033227,"Occupation, traffic area",,land,Resource,m2*a,6.48E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,fc924940-e7cd-3238-9d9c-cdb1b59c6aec,"Occupation, forest, intensive, normal",,land,Resource,m2*a,2.66E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,98b723d4-3362-4b38-8b1e-1bedacfd5e27,"Occupation, pasture, man made, intensive",,land,Resource,m2*a,4.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,99218db8-68a3-3c8e-8b6c-debde88fe6b2,"Occupation, industrial area, built up",,land,Resource,m2*a,6.48E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,d903114a-8c2c-3649-ab5b-22f404fc4646,"Occupation, annual crop, reduced tillage",NULL,land,Resource,m2*a,8.88E-09
ReCiPe 2016 Endpoint (H),4ffc08f3-23c1-32a2-8e43-3bc3f95f1434,Land use,species.yr,f318deb8-ac36-47c0-bb00-e3022b583c7e,"Occupation, permanent crop, non-irrigated, extensive",NULL,land,Resource,m2*a,6.22E-09
