IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,b285ccbd-7703-39d9-9f66-20451f18d99f,Nitrogen dioxide,010102-44-0,stratosphere,Emission to air,kg,"39,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,751d9555-8e2e-30e8-9c64-dc1b09681bba,Nitrogen monoxide,010102-43-9,stratosphere,Emission to air,kg,"59,800"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,c6d0e9b0-aadb-407b-9f39-8fbab93ffa55,Ethylene diamine,,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,b9f74a13-1d9c-444e-ba61-1ea1abac70b7,Monoethanolamine,,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,36b918a7-5b52-4853-812a-1f49c2366d89,Benzal chloride,,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,456b8003-1508-4000-a53c-752e02023445,Polychlorinated biphenyls,,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,38a622c6-f086-4763-a952-7c6b3b1c42ba,"1,4-Butanediol",,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,f9952327-7cac-4b05-84cb-e96a3f0f239b,Terpenes,068956-56-9,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,f38210d0-4566-4497-b270-662028efc0c6,"Acetic acid, trifluoro-",000076-05-1,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,53fc7ec9-1b3f-4d89-ade6-8ca2934c1695,Butene,,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,428e384f-5146-4023-9e62-cca1db3ed321,Paraffins,,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,d439867e-7ef9-41aa-91e2-de8a922f9158,Diethylene glycol,,high population density,Emission to air,kg,"14,000"
Ecological Scarcity 2013,c7f924d5-41ab-30cc-8a4e-c05defcc1206,Main air pollutants and PM,UBP,56dea244-390c-4f56-8b11-c8de2902816e,Acetonitrile,000075-05-8,high population density,Emission to air,kg,"14,000"
