IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,edf9fe90-37ee-4d8b-af9b-2e959422abfd,Dimethylamine,,high population density,Emission to air,kg,"714,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,616930f6-43a7-440d-93d9-6156e3fe7433,Methyl methacrylate,000080-62-6,high population density,Emission to air,kg,"1,590,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,f937c39b-4475-357f-acda-d37fe60b7295,Isobutyric acid,000079-31-2,high population density,Emission to air,kg,"200,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,e22a6c5e-66e1-323c-9450-f73a2fd813c2,"Propionic acid, methyl ester",000554-12-1,high population density,Emission to air,kg,"286,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,16c65621-2b5e-3bbf-aeeb-7b3a7e464ed6,Dimethyl sulfide,000075-18-3,high population density,Emission to air,kg,"3,330,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,b489ce33-f3c6-3d95-a4bb-e8bcb98a0c49,Isoamyl acetate,000123-92-2,high population density,Emission to air,kg,"13,300,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,722f99e2-c9fd-3434-9cb3-a5bc4bff3679,"1,4-Benzenedicarbonyl dichloride",000100-20-9,high population density,Emission to air,kg,"313,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,e1a148c5-60e7-4ec9-9e8e-1d5d0a09bbc1,Butyl acrylate,000141-32-2,high population density,Emission to air,kg,"667,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,37bb35c5-1ef1-3c1a-aca5-71fb9713c419,Isovaleric acid,000503-74-2,high population density,Emission to air,kg,"4,550,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,d4b0077b-5f1c-341c-8fc7-e412cff62bcf,N-butyl propionate,000590-01-2,high population density,Emission to air,kg,"11,600,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,e170e2b3-0918-4fcd-a570-0beb310b59a9,Pyridine,000110-86-1,high population density,Emission to air,kg,"8,330,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,0aad774f-8662-339d-81f3-4f00ec2d4424,Butyric acid,000107-92-6,high population density,Emission to air,kg,"2,860,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,d2b4662f-be4f-3533-9759-6eafbabba38d,"Butyric acid, ethyl ester",000105-54-4,high population density,Emission to air,kg,"33,300,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,7e7039a1-6186-4ef6-a7e6-d135b7fe5601,Diethylamine,,high population density,Emission to air,kg,"11,100,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,b3d98733-ae64-474b-b68d-ba681c24c32d,Ethane thiol,000075-08-1,high population density,Emission to air,kg,"22,700,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,37d7d60d-3682-4da4-aa64-99c51b5d524b,Trimethylamine,,high population density,Emission to air,kg,"3,850,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,6994b171-4ce1-4877-9c17-c206180fcea3,Methyl acrylate,,high population density,Emission to air,kg,"100,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,d5718aff-c5f6-4a78-bc4f-8954fd1307dc,m-Cresol,000108-39-4,high population density,Emission to air,kg,"1,750,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,2e56be41-e398-4a93-bb0c-c07beccbf9e3,Ethyl acrylate,000140-88-5,high population density,Emission to air,kg,"1,220,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,e3cfaa07-9b68-4461-a06f-a0e4e59d41d3,Hydrogen sulfide,,high population density,Emission to air,kg,"2,330,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,14b6726a-44bf-4ad4-b933-02470d84c22a,Carbon disulfide,,high population density,Emission to air,kg,"5,560,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,d761d96f-d236-4131-89c8-ad3269d02a6b,Phenol,,high population density,Emission to air,kg,"25,600,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,7ed6dc0d-9c2e-4046-a44b-e8a708c2081e,Acrolein,,high population density,Emission to air,kg,"14,500,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,5e0131bf-3240-48d9-8bc7-210147cb7963,"Benzene, chloro-",000108-90-7,high population density,Emission to air,kg,"1,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,4bf1c333-419b-4278-ac14-247c8bf563d6,"Methane, bromo-, Halon 1001",,high population density,Emission to air,kg,"833,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,9990b51b-7023-4700-bca0-1a32ef921f74,Ammonia,,high population density,Emission to air,kg,"1,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,65eaa306-0133-48d8-bdd1-26dc5d836d8b,Isobutene,000115-11-7,high population density,Emission to air,kg,"66,700"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,e2d860e3-1038-4386-a5f1-25ad75d18bbd,2-Methyl-1-propanol,,high population density,Emission to air,kg,"28,600,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,35c746fb-2d4a-4d06-9955-1973ce67b74e,Cumene,,high population density,Emission to air,kg,"13,700,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,1f130425-11f9-4ec2-8d2f-d282acaacf5c,Acetone,,high population density,Emission to air,kg,"13,900"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,f873299d-0675-4fdc-ad01-c5a4b951b583,Methanol,,high population density,Emission to air,kg,"13,700"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,f1c0cd31-8d5e-4bc9-91f6-79e76329234e,Propionic acid,,high population density,Emission to air,kg,"192,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,d85a44cb-8407-4997-a146-581e4f35f39d,Styrene,,high population density,Emission to air,kg,"14,700,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,5a6eb27d-9157-46d5-be32-92bbd543ada9,o-Xylene,,high population density,Emission to air,kg,"1,280,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,Acetaldehyde,,high population density,Emission to air,kg,"3,700,000,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,41cce80a-82c1-4caa-b6ef-718ec4b83fd6,Ethyl acetate,,high population density,Emission to air,kg,"476,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,9fbec2f4-6b42-4e63-9573-14e04befe20f,4-Methyl-2-pentanone,,high population density,Emission to air,kg,"1,450,000"
CML-IA non-baseline,972ac2fd-9e07-3188-b4a1-6ee212c23cf1,Malodorous air,m3 air,b9b68c0c-053e-41de-ab72-8dfe1c3f5755,Acetic acid,,high population density,Emission to air,kg,"16,400,000"
