IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,d4893aa1-64a5-3a22-8efc-f442e522ec41,Zinc ore,,in ground,Resource,kg,2.25
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,0b5f0a27-ef5b-41ad-985e-3f7d85ecfa5f,"Zinc ore, 12.6%",,in ground,Resource,kg,2.25
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,d4f74ad1-5f43-4b1c-8aa6-d7b8b2c40707,Osmium,,in ground,Resource,kg,"6,480"
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,58693e74-99e3-4562-b7ba-62b2df9616a9,Ruthenium,,in ground,Resource,kg,"2,010"
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,afb5140a-1ed1-4c08-becb-6fc27781d831,Iridium,,in ground,Resource,kg,92.5
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,a0012e5b-d088-4452-960f-90624c2f01d8,"Zinc ore, 8%",,in ground,Resource,kg,2.25
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,4803f22f-6950-489b-914d-fa953a8081f6,"Rhodium, in ground",,in ground,Resource,kg,"20,300"
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,92b7ea9a-59d5-3486-a300-3028ea0e1538,"Rhodium, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore",007440-16-6,in ground,Resource,kg,"20,300"
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,f7360584-688a-4b6f-bc4a-db00a1e7b022,"Rh, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore",,in ground,Resource,kg,"20,300"
Environmental Prices,ba641202-f60b-38d9-909b-fedfdc846a5d,Metal depletion,kg Fe eq,7005a356-23d8-4d38-9dbc-fa75401b400e,"Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore",,in ground,Resource,kg,"20,300"
