IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,393cd19a-9b02-4b51-8127-dd348619d81e,Helium,007440-59-7,in air,Resource,kg,"390,000"
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,4718c804-ed44-464c-acbe-c5cc51b7580b,"TiO2, 54% in ilmenite, 18% in crude ore",013463-67-7,land,Resource,kg,350
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,4803f22f-6950-489b-914d-fa953a8081f6,"Rhodium, in ground",,in ground,Resource,kg,"3,200,000"
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,eead2933-c2be-4a53-a0bd-bd33b67e4145,"Borax, in ground",,in ground,Resource,kg,380
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,ec72c523-9e1a-466a-98c3-e4098e90fd27,"Colemanite, in ground",,in ground,Resource,kg,350
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,d0696f95-6cb3-453b-b849-c99ba9c90c28,"Ulexite, in ground",,in ground,Resource,kg,360
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,3e0034cd-21d6-4582-9fbf-09c26edd05df,Stibnite,001317-86-8,in ground,Resource,kg,"790,000"
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,df138483-9b7b-36f1-a6fb-932d6f229ebe,"TiO2, 45-60% in Ilmenite",013463-67-7,in ground,Resource,kg,350
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,f46130cc-dbd4-4a3b-a537-5efbcd89063f,"Samarium, 0.3% in bastnasite, 0.03% in crude ore",007440-19-9,in ground,Resource,kg,"39,000"
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,d61418f3-c1a4-4b95-807c-06b7e1fa2915,"Lanthanum, 7.2% in bastnasite, 0.72% in crude ore",007439-91-0,in ground,Resource,kg,170
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,909bc093-18b2-4a7e-8131-16f68eebc193,"Praseodymium, 0.42% in bastnasite, 0.042% in crude ore",007440-10-0,in ground,Resource,kg,"2,500"
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,176598c1-699c-5dd8-8c33-d269ff7f5edd,"Lanthanum, in ground",,in ground,Resource,kg,170
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,db0c855c-e9ef-58d9-97cc-960e646fc882,"Neodymium, in ground",,in ground,Resource,kg,950
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,7a636bea-94c0-4774-a791-2512b7fbda94,"Cerium, 24% in bastnasite, 2.4% in crude ore",007440-45-1,in ground,Resource,kg,180
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,35da65ff-7287-571d-b859-13d398ac5182,"Praseodymium, in ground",,in ground,Resource,kg,"2,500"
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,7c954971-4bce-41db-9e8b-2b2f049539d7,"Europium, 0.06% in bastnasite, 0.006% in crude ore",007440-53-1,in ground,Resource,kg,"380,000"
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,90a94ea5-bca4-483d-a591-2e886c0ff47f,"TiO2, 54% in ilmenite, 18% in crude ore",013463-67-7,in ground,Resource,kg,350
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,92b7ea9a-59d5-3486-a300-3028ea0e1538,"Rhodium, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore",007440-16-6,in ground,Resource,kg,"3,200,000"
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,f7360584-688a-4b6f-bc4a-db00a1e7b022,"Rh, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore",,in ground,Resource,kg,"3,200,000"
Ecological Scarcity 2013,9f0a07da-612d-395e-a6a9-5375a7103ce7,Mineral resources,UBP,cf791833-26bc-5207-a9bd-6ddcd8ac7625,"Samarium, in ground",,in ground,Resource,kg,"39,000"
