IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,b2e8e329-f643-3fa0-8af9-95afa9347bbd,"Energy, from wood",,biotic,Resource,MJ,0
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,01c12fca-ad8b-4902-8b48-2d5afe3d3a0f,"Energy, gross calorific value, in biomass",,biotic,Resource,MJ,0
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,5224d6af-147e-3506-b9e4-60b8eb3a9f82,"Energy, from biomass",,biotic,Resource,MJ,0
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,8842042d-7f07-45f8-bf43-fa83833d75de,"Energy, gross calorific value, in biomass, primary forest",,biotic,Resource,MJ,0
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,c5035ce2-5ee5-431f-a287-4b25da42be74,"Peat, in ground",,biotic,Resource,kg,0
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,adf02c21-da6a-32ba-9c75-038c952270db,"Energy, from peat",,biotic,Resource,MJ,0
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,a7ff17d4-d3fe-4a70-9f2e-392b34630772,"Energy, solar, converted",,in air,Resource,MJ,0
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,57c71b25-4663-4fad-9167-7ce5be3e8268,"Energy, kinetic (in wind), converted",,in air,Resource,MJ,0
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,8c2fe757-6866-4ed2-9f89-81012ad774a0,"Carbon, organic, in soil or biomass stock",,in ground,Resource,kg,0.00044
ILCD 2011 Midpoint+,9518b4ea-d7c1-3548-a4b6-977770f0954a,"Mineral, fossil & ren resource depletion",kg Sb eq,8bc65fca-548d-4831-b102-391bbdd6bc8c,"Aluminium, 24% in bauxite, 11% in crude ore",001318-16-7,in ground,Resource,kg,0.00001
