IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,c5035ce2-5ee5-431f-a287-4b25da42be74,"Peat, in ground",,biotic,Resource,kg,10.3
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,8d846589-ed6a-3f95-ad4a-4bd969a36ffb,"Energy, from peat",,in ground,Resource,MJ,1.05
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,ed5c032f-fb99-3e66-a590-0c007326efa5,"Gas, off-gas, oil production",,in ground,Resource,m3,37.4
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,7ae371b0-8532-11e0-9d78-0800200c9a66,"Coal, hard, 30.7 MJ per kg, in ground",,in ground,Resource,kg,31.9
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,71e1cd1c-c0f1-35dd-b0d8-fbc23850d056,"Coal, brown, 8 MJ per kg, in ground",,in ground,Resource,kg,8.3
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,5df3c6a9-a888-4b5d-9a94-f3f610d38756,"Gas, natural, feedstock, 35 MJ per m3",008006-14-2,in ground,Resource,m3,32
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,3ed5f377-344f-423a-b5ec-9a9a1162b944,"Gas, mine, off-gas, process, coal mining",,in ground,Resource,m3,37.4
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,213fa9a5-5d8d-4990-9b38-f2c064161346,"Coal, bituminous, 24.8 MJ per kg",,in ground,Resource,kg,25.8
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,65b57348-143d-3f95-9229-9c6999296d04,"Energy, from oil",,in ground,Resource,MJ,1.02
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,8cdcb4a5-5f12-4dd2-9fa4-15663ae85528,"Gas, mine, off-gas, process, coal mining/kg",008006-14-2,in ground,Resource,kg,46.8
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,5e94ceb8-e8ac-3a24-b02e-f24ad54a7393,"Gas, off-gas, oil production, in ground",,in ground,Resource,m3,37.4
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,ab131c31-ecd8-462c-ace9-3c4e9a9213e3,"Coal, feedstock, 26.4 MJ per kg, in ground",,in ground,Resource,kg,27.5
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,e47d3de4-eeb9-4aca-a692-5e1a72b54dcc,"Oil, crude, 38400 MJ per m3, in ground",,in ground,Resource,m3,"38,987"
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,968b74b0-8018-464a-9376-7d881851072a,"Gas, natural, 35 MJ per m3",008006-14-2,in ground,Resource,m3,32.9
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,3e24fcde-b31f-3bb3-a3f4-8d2647e3690b,"Energy, from sulfur",,in ground,Resource,MJ,1.02
Cumulative Exergy Demand,6764d0f6-086c-3abb-b600-99fc8484bd01,"Non renewable, fossil",MJ,116985c9-8bd9-3925-afbe-1127b16a7e1c,"Oil, crude, 38400 MJ per m3",,in ground,Resource,m3,"38,987"
