IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,7a636bea-94c0-4774-a791-2512b7fbda94,"Cerium, 24% in bastnasite, 2.4% in crude ore",007440-45-1,in ground,Resource,kg,26.25
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,fcee6eab-e906-4ddf-bc14-2b131b937893,"Zirconium, 50% in zircon, 0.39% in crude ore",007440-67-7,in ground,Resource,kg,161.54
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,7c954971-4bce-41db-9e8b-2b2f049539d7,"Europium, 0.06% in bastnasite, 0.006% in crude ore",007440-53-1,in ground,Resource,kg,"10,500"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,cd2932c5-a486-4bf1-99b8-815d8a7ce11a,Zirconium,007440-67-7,in ground,Resource,kg,161.54
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,f46130cc-dbd4-4a3b-a537-5efbcd89063f,"Samarium, 0.3% in bastnasite, 0.03% in crude ore",007440-19-9,in ground,Resource,kg,"2,100"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,db0c855c-e9ef-58d9-97cc-960e646fc882,Neodymium,007440-00-8,in ground,Resource,kg,157.5
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,176598c1-699c-5dd8-8c33-d269ff7f5edd,Lanthanum,007439-91-0,in ground,Resource,kg,87.5
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,c970e81e-1c4e-4f21-814c-0c25444f41d2,"Neodymium, 4% in bastnasite, 0.4% in crude ore",007440-00-8,in ground,Resource,kg,157.5
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,35da65ff-7287-571d-b859-13d398ac5182,praseodymium,,in ground,Resource,kg,"1,500"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,3d73ec21-de4d-5b68-b504-4ef59e15bd0e,Europium,007440-53-1,in ground,Resource,kg,"10,500"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,f55e2203-ef91-50bf-8f5a-119bb210522c,Gadolinium,007440-54-2,in ground,Resource,kg,"4,200"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,b878ca93-d699-421e-a4b6-f694dc627062,"Gadolinium, 0.15% in bastnasite, 0.015% in crude ore",007440-54-2,in ground,Resource,kg,"4,200"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,909bc093-18b2-4a7e-8131-16f68eebc193,"Praseodymium, 0.42% in bastnasite, 0.042% in crude ore",007440-10-0,in ground,Resource,kg,"1,500"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,d61418f3-c1a4-4b95-807c-06b7e1fa2915,"Lanthanum, 7.2% in bastnasite, 0.72% in crude ore",007439-91-0,in ground,Resource,kg,87.5
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,cf791833-26bc-5207-a9bd-6ddcd8ac7625,Samarium,007440-19-9,in ground,Resource,kg,"2,100"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d,Cerium,007440-45-1,in ground,Resource,kg,26.25
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,a76cf135-2be1-4e53-9423-9211acd100f1,"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore",007439-98-7,in ground,Resource,kg,"1,447.2"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,df138483-9b7b-36f1-a6fb-932d6f229ebe,"TiO2, 45-60% in Ilmenite",013463-67-7,in ground,Resource,kg,24.23
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,c15f6c4d-bf7a-4a7c-91c6-53aad6a630a8,"Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In",007440-22-4,in ground,Resource,kg,961.16
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,c2586875-bb56-4b1e-84c5-5ff255a1108b,Manganese,007439-96-5,in ground,Resource,kg,4.44
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,4df0eac4-44bb-46b6-b588-e3513a1ead2f,"Lead, Pb 3.6E-1%, in mixed ore",007439-92-1,in ground,Resource,kg,16.66
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,d0779a5e-6969-4144-954e-ceb81fb83f15,"Cobalt, in ground",007440-48-4,in ground,Resource,kg,192.5
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,eaa3e9d4-68d6-4267-a7a5-48b141c3861e,"Silver, Ag 5.4E-3%, in mixed ore",007440-22-4,in ground,Resource,kg,"6,300"
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,c3b2ba62-b158-47b1-8e1e-e76156e5292a,"Zinc, Zn 3.1%, in mixed ore",007440-66-6,in ground,Resource,kg,6.79
Cumulative Exergy Demand,05961986-960f-3af3-b609-2452277308f5,"Non renewable, metals",MJ,9b69a732-a021-42eb-9f38-6cc9d9b83d72,Gallium,007440-55-3,in ground,Resource,kg,"4,500"
