IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,093ee058-47f9-3e35-8fef-0cd2f536f7b0,Calcite,013397-26-7,in ground,Resource,kg,0.01
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,9e9b6792-40e6-4d62-a3e0-ebebc0c65166,Shale,,in ground,Resource,kg,0.57
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,6df9ea09-115a-4678-9f30-d92c877a46ec,Anhydrite,014798-04-0,in ground,Resource,kg,0.06
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,ee540366-b970-46af-94d8-4c253ded5577,"Kaolinite, 24% in crude ore",,in ground,Resource,kg,2.63
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,d7cadc9a-f42c-4711-a8e2-0b626c0a4c7a,Olivine,001317-71-1,in ground,Resource,kg,0.78
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,c7aee986-b7d8-4ad9-ad45-1ac0d68e6b78,Dolomite,016389-88-1,in ground,Resource,kg,0.082
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,5324b57a-96f1-4dc3-9dc5-544881960f4f,Spodumene,066057-55-4,in ground,Resource,kg,0.35
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,a4375a18-172c-4f82-90b7-bca972f75548,"Granite, in ground",219714-96-2,in ground,Resource,kg,0.068
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,ac3a8914-35f0-4c34-a956-f26b3a053e4a,Basalt,,in ground,Resource,kg,0.28
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,5666353e-2db2-41d3-8414-404709151422,"Metamorphous rock, graphite containing",,in ground,Resource,kg,1.09
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,99ee393d-4bd1-4cc8-b0a0-d956865fb7bf,"Calcite, in ground",013397-26-7,in ground,Resource,kg,0.01
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,bb0c830e-9ea4-345e-8837-9254b377c243,Granite,219714-96-2,in ground,Resource,kg,0.068
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,81ff5c0b-c44f-534e-a55e-8fc017e33dd2,Kaolinite,066649-37-4,in ground,Resource,kg,2.63
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,f3380341-7f76-5423-9704-c25ccf777a39,Kieserite,014567-64-7,in ground,Resource,kg,2.52
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,355785ee-56e0-455b-aaa6-bee43c82b49c,"Fluorine, 4.5% in apatite, 3% in crude ore",007782-41-4,in ground,Resource,kg,21
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,d2bf022d-9cbf-4f19-a8ec-7f507746942b,"Magnesite, 60% in crude ore",000546-93-0,in ground,Resource,kg,1.05
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,38eff837-5465-47a9-a1c9-e1edd70922ef,"Kieserite, 25% in crude ore",014567-64-7,in ground,Resource,kg,2.52
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,7ae3bfc0-8532-11e0-9d78-0800200c9a66,"Sand, quartz",014808-60-7,in ground,Resource,kg,0.068
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,a4bab069-74a9-5b4c-8d6e-5ca984cd9ecd,Magnesite,000546-93-0,in ground,Resource,kg,1.05
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,0fa4f51e-b0dc-5d11-84d3-b32f0f3c88d5,Fluorspar,014542-23-5,in ground,Resource,kg,0.15
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,fc565b76-6962-336e-9fe3-86eb874c167b,Sodium sulfate,007757-82-6,in ground,Resource,kg,0.15
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,5bbcdc6d-b1a7-4b63-b625-76060c767de7,"Sodium sulphate, various forms",,in ground,Resource,kg,0.15
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,de2d220b-9fe8-4c39-bef7-a76c00d6ff33,"Fluorspar, 92%",014542-23-5,in ground,Resource,kg,0.15
Cumulative Exergy Demand,72575de8-6756-3f4b-a471-aa406b665afb,"Non renewable, minerals",MJ,bea19217-6a28-4711-8142-2e71090c0b46,Vermiculite,001318-00-9,in ground,Resource,kg,0.039
