IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,4f424cac-987d-4da5-9962-39ded1ea6925,Zirconium-95,013967-71-0,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,400c43aa-7828-433c-ba4e-6048c64b1fed,Polonium-210,013981-52-7,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,e7710690-5079-4e94-86cf-2b4e1345f11c,Yttrium-90,010098-91-6,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,0b474aae-7c4c-4b60-9cc5-d4bf5c78f93a,Strontium-89,014158-27-1,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,7647b201-b2fc-4a4a-9caa-be1f9990eeaf,Cadmium-109,014109-32-1,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,b84517bc-e83c-43fa-aac2-942c4d7c3a59,Manganese-55,007439-96-5,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,0fa822c0-a3c1-458b-bd43-c00a0d225a80,Zinc-65,013982-39-3,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,fc19c3ce-ae0c-4fb7-af3c-be20d918d2c2,Iron-59,014596-12-4,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,56ef7464-73e2-49c0-b888-2604ce35d46a,Iodine-133,014834-67-4,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,19f0bc4b-66df-4e3f-bbdd-f21486c449cd,Antimony-122,014374-79-9,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,2751d928-90cc-4e0e-ac14-9268de1bf000,Lead-210,014255-04-0,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,2d40f1e0-e19f-4328-9454-8599f97f9490,Niobium-95,013967-76-5,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,9f0644ba-fbd3-4b32-a34a-993cca75002e,Cerium-144,014762-78-8,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,ef25e8f4-4f74-4d28-add4-8cee8e357186,Technetium-99m,378784-45-3,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,963f0a55-29b4-4787-8fde-8df205f4d0f4,Cobalt-57,013981-50-5,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,c109e3cc-317e-4e0d-8e81-273bdbf0ac03,Cesium-136,014234-29-8,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,9da686bd-17c5-411a-9265-d7d1ef62a92c,Molybdenum-99,014119-15-4,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,75aa9781-d4ec-401e-b0cf-bde6341092f3,Tellurium-132,014234-28-7,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,d29ac173-28b3-43d9-b3c6-a81acb330feb,Chromium-51,014392-02-0,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,c8f8334d-c93b-4f73-900f-830b7475c4aa,Potassium-40,013966-00-2,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,9c8b8ea6-62a5-4642-94fe-fcf5bdfb6bf4,Lanthanum-140,013981-28-7,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,dade94ae-cb39-4066-9946-5c9dbe575058,Ruthenium-103,013968-53-1,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,0b213c79-4ef7-4145-955a-efe700ef83fa,Barium-140,014798-08-4,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,c6461844-31f4-4a85-96f8-5496bfd77310,Sodium-24,013982-04-2,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,b43ca981-f103-43aa-8276-5f215f93ff8d,Cerium-141,013967-74-3,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,aaac2e87-e579-4fa9-baae-50add238c8c6,Technetium-99,014133-76-7,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,c8423c2c-cda6-49da-b940-56b58907fa12,Tellurium-123m,378784-49-7,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,5942d487-e642-4b2b-8ccb-0e940ea390bf,Ruthenium-106,013967-48-1,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,1489fa29-476c-404a-95d9-9d2e3fa434da,Carbon-14,014762-75-5,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,62ec6b76-5685-4501-8ea8-83cc3435385d,Manganese-54,013966-31-9,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,751aebae-ab74-4a39-8c69-3bad4215e123,Cesium-137,010045-97-3,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,9dc2b19d-ff8e-44d2-ae33-dc49f728235c,Antimony-125,014234-35-6,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,bca0aef8-5f01-4b60-bd49-d6711b461339,Antimony-124,014683-10-4,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,e2e79f41-9c2e-4a2b-844c-37cb6f9a3ce6,Silver-110,014391-76-5,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,fd9eef90-dfbd-4d17-a0e3-927e5c2a6030,Cobalt-58,013981-38-9,"river, long-term",Emission to water,kBq,1
"Selected LCI results, additional",87337a71-8da4-3994-aad9-ba1e0b623139,Nuclides,kBq,1984c85d-9ef9-4a86-9e4c-cf214b5c1f01,Cobalt-60,010198-40-0,"river, long-term",Emission to water,kBq,1
