IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,d41ee922-fa80-45e3-a317-3e9b72ee385d,"Oils, non-fossil",,forestry,Emission to soil,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,7538ab50-2ef6-4e49-880d-48d5b283a79b,"Oils, unspecified",,forestry,Emission to soil,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,85403ceb-612c-494a-bcab-901946278f58,"Oils, unspecified",,agricultural,Emission to soil,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,79459b74-727a-465f-b0cb-aae38d1d39cc,"Oils, biogenic",,agricultural,Emission to soil,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,c161d9b4-2237-4053-b549-9e0cfc201e0d,"Oils, non-fossil",,unspecified,Emission to soil,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,21f77eaa-6f3e-426d-8932-fde33cd936d6,"Oils, unspecified",,unspecified,Emission to soil,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,be4835bf-5252-48c1-be48-14f59d533bbd,"Oils, non-fossil",,industrial,Emission to soil,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,e9bf9e2d-4bd1-4679-86ff-e34f6b750ea0,"Oils, unspecified",,industrial,Emission to soil,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,9e70ea99-26f7-40b6-a792-e28c073aa339,"Oils, unspecified",,"river, long-term",Emission to water,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,6e86844e-4577-42fa-90e2-9e2812119b40,"Oils, unspecified",,fossil-,Emission to water,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,3ea439c3-64aa-4c90-a265-188350e7a4a6,"Oils, unspecified",,"ground water, long-term",Emission to water,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,6da0e891-3648-43a5-b0cf-f1872c57db8d,"Oils, unspecified",,unspecified,Emission to water,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,5d830756-4153-4cc9-ade4-69f8c19e150f,"Oils, unspecified",,ocean,Emission to water,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,82c27b2a-69a8-4b1e-ad4e-4de9475630c6,"Oils, unspecified",,surface water,Emission to water,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,f65171a0-5a6a-4cab-b68e-bf56db68907a,"Oils, unspecified",,river,Emission to water,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,ca60a7ce-158c-4392-978e-e143db7ad484,"Oils, unspecified",,lake,Emission to water,kg,1
"Selected LCI results, additional",b9260378-00a5-30c5-b825-606840290b3d,"Oils, unspecified",kg,68ba42b2-62fc-49c1-b9d6-e3bda8b179ec,"Oils, unspecified",,ground water,Emission to water,kg,1
