IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,751d9555-8e2e-30e8-9c64-dc1b09681bba,Nitrogen monoxide,010102-43-9,stratosphere,Emission to air,kg,1.39E-06
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,9ff6b755-dc6d-41b1-b9a3-08db6bad381f,"Toluene, 3,5-diethyl-",002050-24-0,indoor,Emission to air,kg,3.23E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,6abf9e1a-c33e-49ae-aeae-ab84cee7d2ab,Dimethyl ether,000115-10-6,indoor,Emission to air,kg,5.94E-08
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,5dacf573-9f72-3b2c-8e0a-889058aa2d79,2-Pentanone,000107-87-9,indoor,Emission to air,kg,-3.30E-09
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,4b853dc5-1751-31f3-9078-65045a146737,Diisopropyl ether,000108-20-3,indoor,Emission to air,kg,1.45E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,939c30c6-f6bb-30ff-be56-6fa213416cad,Pentanal,000110-62-3,indoor,Emission to air,kg,2.34E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,71353ebf-383b-33fa-9349-8bfa0df61801,Pentane,000109-66-0,indoor,Emission to air,kg,1.32E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,e02bece9-b93a-3fee-a9c8-00edc53742d8,P-tolualdehyde,000104-87-0,indoor,Emission to air,kg,1.65E-08
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,16210d98-77fb-31c0-88b5-1659c4e6434c,N-octane,000111-65-9,indoor,Emission to air,kg,1.12E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,45d459a5-33fc-37fa-bcfa-16cc05ebe2b1,"Methane, monochloro-, R-40",000074-87-3,indoor,Emission to air,kg,3.30E-09
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,59c6b3ad-7ded-39fa-90fe-0087cb3660a4,4-Hydroxy-4-methyl-2-pentanone,000123-42-2,indoor,Emission to air,kg,9.57E-08
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,570ef854-1f34-31bc-8003-3628cc49df9d,"Cyclohexane, ethyl-",001678-91-7,indoor,Emission to air,kg,2.08E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,e1ef0ef9-c367-3c6b-a276-94835adfd83a,"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-",000127-91-3,indoor,Emission to air,kg,1.09E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,4fab0e62-254c-3e82-bfa5-876cea8bd523,Limonene,000138-86-3,indoor,Emission to air,kg,2.34E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,508f6f4a-2420-3646-a5bc-65175881baf2,Methyl ethyl ketone,000078-93-3,indoor,Emission to air,kg,1.06E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,f6b2d30a-e90c-34b1-9756-821f416f1603,"Ethanol, 2-methoxy-",000109-86-4,indoor,Emission to air,kg,9.57E-08
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,0758fd39-21c0-3f92-bcbc-2f7ff3fc3a25,Diethyl ether,000060-29-7,indoor,Emission to air,kg,1.52E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,103afa13-5b3a-30c3-88d3-8594ded2d79d,"Ethene, dichloro- (trans)",000156-60-5,indoor,Emission to air,kg,-3.30E-09
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,194d7081-d8c8-3467-b3cb-3845e697ff37,Cumene,000098-82-8,indoor,Emission to air,kg,1.06E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,a948693d-2010-39c2-9cd1-b9844754fdb0,2-Methyl-1-propanol,000078-83-1,indoor,Emission to air,kg,1.19E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,262dcf26-d847-35e6-a96b-4d3e27555000,o-Cresol,000095-48-7,indoor,Emission to air,kg,6.27E-08
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,fddc0a18-cf8f-384c-8b8a-558ed4d4bae1,Decane,000124-18-5,indoor,Emission to air,kg,1.19E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,d555f333-0120-3e9d-8f60-ef732b7ee545,"Phenol, 2,5-dimethyl-",000095-87-4,indoor,Emission to air,kg,1.82E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,7686f2e5-4b6f-3ccc-926c-143564e93f54,alpha-Pinene,000080-56-8,indoor,Emission to air,kg,2.24E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,756db068-d8ff-3c5f-badc-e430dbd82a7d,1-Butanol,000071-36-3,indoor,Emission to air,kg,1.72E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,e97ec376-5436-35b7-a1d5-cd18999e7b0b,Heptane,000142-82-5,indoor,Emission to air,kg,1.16E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,6de483db-a3e1-33e8-abb2-715555035181,Cyclohexanol,000108-93-0,indoor,Emission to air,kg,1.49E-07
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,9849128d-4d41-38f7-81ce-354bca45a6f9,Glyoxal,000107-22-2,indoor,Emission to air,kg,7.26E-08
ReCiPe 2016 Endpoint (E),08b6912a-f0af-39db-8873-d04d21cf6cb1,"Ozone formation, Human health",DALY,772ec94e-900d-3303-ad15-c04dd2578d2b,Acetone,000067-64-1,indoor,Emission to air,kg,1.98E-08
