IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,79fdbb2d-a497-4198-9b2a-094f98b8aee6,"Cadmium, ion",022537-48-0,"river, long-term",Emission to water,kg,0
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,eb616bcb-7521-40a4-a2ac-0d33e30c2873,Cadmium,007440-43-9,"river, long-term",Emission to water,kg,0
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,6cefe674-1076-45e2-846d-af7ad46bcbcb,Chromium VI,018540-29-9,"river, long-term",Emission to water,kg,0
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,5958a968-d153-415f-acbf-81719c1aa09f,Lead,007439-92-1,"river, long-term",Emission to water,kg,0.00001
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,1a002089-bf1f-497c-a4d8-336542f7b38d,Lead,007439-92-1,"fresh water, long-term",Emission to water,kg,0.00001
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,557575d3-a808-4336-88d4-0e7b8b178f32,Cadmium,007440-43-9,"fresh water, long-term",Emission to water,kg,0
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,522e7bd8-194b-4fa8-9f6a-6211958fc040,"Cadmium, ion",022537-48-0,"fresh water, long-term",Emission to water,kg,0
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,8f77e0ae-424c-4c54-87cb-cfbf6fb5bd43,Chromium VI,018540-29-9,"fresh water, long-term",Emission to water,kg,0
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,8ccf40b6-eee0-4b71-9bc5-965328e2ef95,Lead,007439-92-1,fossil-,Emission to water,kg,0.00001
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,9038efbe-6a55-4582-8637-02d7b5a10a8e,Chromium VI,018540-29-9,fossil-,Emission to water,kg,0
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,67b5b669-06b1-4be6-87bd-b68bbbe4bd5a,"Cadmium, ion",022537-48-0,fossil-,Emission to water,kg,0
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,eed61927-90e5-4e59-a0bb-6507551c835c,Cadmium,007440-43-9,fossil-,Emission to water,kg,0
EPS 2015dx,b8561781-d335-39c2-ae38-e1ae1fc12e08,Renal dysfunction,case,cd26472d-d670-49fd-9df2-f689a14e9892,"Cadmium, ion",022537-48-0,fresh water,Emission to water,kg,0
