IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,4718c804-ed44-464c-acbe-c5cc51b7580b,"TiO2, 54% in ilmenite, 18% in crude ore",013463-67-7,land,Resource,kg,0
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,60b67dea-a332-4d8d-968b-df8f3df6088a,"Gold, Au 1.0E-7%, in mixed ore",,in ground,Resource,kg,52
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,4f684798-3870-45a1-b5f2-aa3444c0b8d6,"Copper, Cu 6.8E-1%, in mixed ore",,in ground,Resource,kg,0.00137
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,45ed0c16-0e34-45f1-8bf9-3b1ce8489e73,"Silver, Ag 1.8E-6%, in mixed ore",,in ground,Resource,kg,1.18
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,669ab0eb-c020-4b98-bfe4-e0989013121a,"Palladium, Pd 1.6E-6%, in mixed ore",,in ground,Resource,kg,0.571
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,02e8658e-3c88-404c-865d-4d4934661ea6,"Cobalt, Co 5.0E-2%, in mixed ore",,in ground,Resource,kg,0.00002
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,68be4a67-89e0-4cfe-a089-fa8706de230e,"Platinum, Pt 4.7E-7%, in mixed ore",,in ground,Resource,kg,2.22
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,f09c3144-a268-4bed-8ca2-63005b6ef75f,"Nickel, Ni 2.5E+0%, in mixed ore",,in ground,Resource,kg,0.00007
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,df138483-9b7b-36f1-a6fb-932d6f229ebe,"TiO2, 45-60% in Ilmenite",013463-67-7,in ground,Resource,kg,0
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,90a94ea5-bca4-483d-a591-2e886c0ff47f,"TiO2, 54% in ilmenite, 18% in crude ore",013463-67-7,in ground,Resource,kg,0
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,ec0fa5ce-51b4-4792-a8e8-c4ee668eddc3,"TiO2, 95% in rutile, 0.40% in crude ore",013463-67-7,in ground,Resource,kg,0
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,78cd4852-e7b9-4301-adf7-51e730b0356a,"TiO2, 54% in ilmenite, 2.6% in crude ore",013463-67-7,in ground,Resource,kg,0
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,a55ba777-c1ec-338a-9482-fc6e006a56de,"Platinum, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore",007440-06-4,in ground,Resource,kg,2.22
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,e16fd15c-0ebc-55ba-8d3b-9704f13663cb,"Arsenic, in ground",007440-38-2,in ground,Resource,kg,0.00297
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,2d65a3f7-2a10-4a10-ac9e-a0cc7cd57979,"Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore",007440-57-5,in ground,Resource,kg,52
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac,"Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",,in ground,Resource,kg,0.571
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,d13b2665-505d-49e2-8edd-dc966b0342af,"Platinum, in ground",,in ground,Resource,kg,2.22
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,30fed59d-d722-482f-be4f-f3d93bdd2527,"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore",007439-98-7,in ground,Resource,kg,0.0178
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,edc69c63-a776-4dbf-acbf-e0368914980a,"Palladium, in ground",,in ground,Resource,kg,0.571
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,e47e4e5f-6528-413d-a8fb-1cd1875fbd73,"Nickel, 1.98% in silicates, 1.04% in crude ore",007440-02-0,in ground,Resource,kg,0.00007
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,e373f7b4-42e9-4cc7-a73c-f87bec88008b,"Potassium, in ground",,in ground,Resource,kg,0
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,5afa470c-ab8c-4ec3-8a18-5c0bed973571,"Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore",007440-50-8,in ground,Resource,kg,0.00137
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,ff741136-d6ee-444a-a15b-3b308e376db8,"Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore",007440-57-5,in ground,Resource,kg,52
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,b053aa52-bfac-5435-a0b1-4ca374b0e991,"Boron, in ground",,in ground,Resource,kg,0.00427
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,636a8446-9899-43a6-b4bf-213f25d69c88,"Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",,in ground,Resource,kg,2.22
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,719def62-0941-4264-bc54-97093d847d7a,"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore",007439-98-7,in ground,Resource,kg,0.0178
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,a9ad523f-b721-4f07-ad9f-584053f3454d,"Lithium, 0.15% in brine",007439-93-2,in ground,Resource,kg,0.00001
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,c7d38707-3b22-4fb1-b001-0c8cad496a60,"Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore",007440-57-5,in ground,Resource,kg,52
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,b1183f30-a978-4a68-8e51-b8a4af8fbecf,Arsenic,007440-38-2,in ground,Resource,kg,0.00297
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,08a91e70-3ddc-11dd-96d2-0050c2490048,niobium,007440-03-1,in ground,Resource,kg,0.00002
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,c3b2ba62-b158-47b1-8e1e-e76156e5292a,"Zinc, Zn 3.1%, in mixed ore",007440-66-6,in ground,Resource,kg,0.00054
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,3eece329-cf79-4167-93c2-b8d7d7eb5058,"Gold, Au 6.7E-4%, in ore",007440-57-5,in ground,Resource,kg,52
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,704399e3-cf6b-483d-84f5-466e91a9d17c,"Copper, Cu 0.2%, in mixed ore",007440-50-8,in ground,Resource,kg,0.00137
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,31b4eea9-640e-4056-ac2f-0555627af18a,"Tin, 79% in cassiterite, 0.1% in crude ore",007440-31-5,in ground,Resource,kg,0.0162
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,08a91e70-3ddc-11dd-a0f6-0050c2490048,Bismuth,007440-69-9,in ground,Resource,kg,0.0411
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,be73218b-18af-492e-96e6-addd309d1e32,"Zinc, in ground",,in ground,Resource,kg,0.00054
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,2f033407-6060-4e1e-868c-9f362d10fdb2,"Titanium, in ground",,in ground,Resource,kg,0
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,c8f18160-6937-4bb9-ad0c-dffa942ca41e,"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore",007440-50-8,in ground,Resource,kg,0.00137
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,a45cd247-3532-4e27-bddc-b519fdb5e08f,"Aluminium, in ground",,in ground,Resource,kg,0
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,ed8c57b5-6012-4f21-8b70-92a85923786a,"Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore",007440-22-4,in ground,Resource,kg,1.18
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,621b1cf1-9b47-4c44-b71e-ebeb9afd9bbc,"Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In",007440-43-9,in ground,Resource,kg,0.157
EF 3.0 Method (adapted),b3ba5fc3-5a6f-364b-b839-9ee55d418cb3,"Resource use, minerals and metals",kg Sb eq,e729d80a-bb6d-400a-a8a9-55b6fa0e4aaf,"Nickel, 1.13% in sulfides, 0.76% in crude ore",007440-02-0,in ground,Resource,kg,0.00007
