IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,a49a85ba-e97f-373e-82f8-d8807562f48e,"Water, unspecified natural origin, RoW",007732-18-5,in water,Resource,m3,2.084950204
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,c645d610-57c4-3c59-8db6-af117b18fed7,"Water, unspecified natural origin, CA",,in water,Resource,m3,0.508122749
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,aa98c2d6-a16e-3794-9be8-abd81acd225e,"Water, well, RoW",007732-18-5,in water,Resource,m3,2.084950204
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,fbef0128-359d-3b76-b3c3-b19b3c7ee54e,"Water, lake, RoW",007732-18-5,in water,Resource,m3,2.084950204
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,01b10267-3c15-3981-b7f1-4939f97fed29,"Water, river, RoW",007732-18-5,in water,Resource,m3,2.084950204
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,e86c6358-1283-31b1-af5d-6bf05fc58ff8,"Water, cooling, unspecified natural origin, RER",007732-18-5,in water,Resource,m3,0.637604578
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,97e0b4de-c073-3058-9255-ca02259635a9,"Water, river, RER",007732-18-5,in water,Resource,m3,0.637604578
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,6c914058-b15a-396f-b942-1d65f97a1d16,"Water, well, RER",007732-18-5,in water,Resource,m3,0.637604578
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,65e587ee-924c-351b-a6ea-f46547c660ca,"Water, cooling, unspecified natural origin, ID",007732-18-5,in water,Resource,m3,0
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,6ddcf13b-64d6-33e3-97eb-a14040dddfca,"Water, cooling, unspecified natural origin, AU",007732-18-5,in water,Resource,m3,0.303282413
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,b77bffdd-d035-368c-a735-a37ca4640331,"Water, cooling, unspecified natural origin, IN",007732-18-5,in water,Resource,m3,2.818419868
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,c17215a3-b80a-3372-810c-ccc92b97d3ef,"Water, cooling, unspecified natural origin, RNA",007732-18-5,in water,Resource,m3,1.75332025
Pfister et al 2009 (Eco-indicator 99),7aa1757a-5610-379d-a591-17f610bd88a9,Resources,MJ surplus,0e0bed85-df2b-3ee5-8215-b94dfbaaba1a,"Water, cooling, unspecified natural origin, RLA",007732-18-5,in water,Resource,m3,0.999857333
