IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,b285ccbd-7703-39d9-9f66-20451f18d99f,Nitrogen dioxide,010102-44-0,stratosphere,Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,751d9555-8e2e-30e8-9c64-dc1b09681bba,Nitrogen monoxide,010102-43-9,stratosphere,Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,675d7403-504b-422c-aa11-7dc8e79e4486,Sulfur oxides,,high population density,Emission to air,kg,0.00001
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,82acf258-a5f4-3813-85d7-9070c470bd13,"Particulates, < 10 um (stationary)",,high population density,Emission to air,kg,0.00005
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,6f93e5a6-5040-36e2-aa7d-195f56eef1ce,"Particulates, < 10 um (mobile)",,high population density,Emission to air,kg,0.00005
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,32295152-7da7-47cb-b4a2-60ca4f246a80,"Particulates, < 10 um",,high population density,Emission to air,kg,0.00005
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,230d8a0a-517c-43fe-8357-1818dd12997a,"Particulates, < 2.5 um",,high population density,Emission to air,kg,0.00024
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,b00950bc-99cb-4ee2-bbc0-5f878ea170c3,Sulfur trioxide,,high population density,Emission to air,kg,0.00001
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,9990b51b-7023-4700-bca0-1a32ef921f74,Ammonia,,high population density,Emission to air,kg,0.00001
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,d068f3e2-b033-417b-a359-ca4f25da9731,Nitrogen oxides,,high population density,Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,ca31b010-acd3-4736-a76c-e4a900ae4809,Nitrogen monoxide,010102-43-9,high population density,Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,d9945575-a965-4bf3-9cd7-584263172abd,Nitrogen dioxide,010102-44-0,high population density,Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,8c52f40c-69b7-4538-8923-b371523c71f5,Sulfur dioxide,,high population density,Emission to air,kg,0.00001
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,d5e29411-ccc4-3ea7-b0ac-05b5dfc74a4f,"Particulates, > 0.2 um, and < 2.5 um",,low population density,Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,65e1e004-ceed-4b40-ab2b-5f34b07fdb99,Sulfur oxides,,low population density,Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,48430c70-95e0-4036-9854-72cc772ac8b2,Sulfur trioxide,007446-11-9,low population density,Emission to air,kg,0
EF Method (adapted),eb56e7b7-178d-3135-bb9b-170a706121be,Respiratory inorganics,disease inc.,912bc031-a78d-3288-b2d4-5d41dd037df2,"Particulates, < 10 um (stationary)",,low population density,Emission to air,kg,0
