IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,b4c7ead9-5c44-3bbc-a2a5-8bebecde02a5,"VOC, volatile organic compounds as C",NULL,indoor,Emission to air,kg,0.60657277
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,0b7742b8-7085-4294-9f18-240485d92aae,"Ethers, unspecified",007789-20-0,indoor,Emission to air,kg,0.34741784
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,9ff6b755-dc6d-41b1-b9a3-08db6bad381f,"Toluene, 3,5-diethyl-",002050-24-0,indoor,Emission to air,kg,1.319248826
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,23fdc65e-2d21-32c8-aefb-1d374c34fc76,"VOC, volatile organic compounds origin",NULL,indoor,Emission to air,kg,0.303286385
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,6abf9e1a-c33e-49ae-aeae-ab84cee7d2ab,Dimethyl ether,000115-10-6,indoor,Emission to air,kg,0.175586854
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,5dacf573-9f72-3b2c-8e0a-889058aa2d79,2-Pentanone,000107-87-9,indoor,Emission to air,kg,0.558685446
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,4b853dc5-1751-31f3-9078-65045a146737,Diisopropyl ether,000108-20-3,indoor,Emission to air,kg,0.478873239
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,301da838-ffba-34a9-bf88-d8f7a3747d30,"2-Butanone, 3-methyl-",000563-80-4,indoor,Emission to air,kg,0.367605634
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,939c30c6-f6bb-30ff-be56-6fa213416cad,Pentanal,000110-62-3,indoor,Emission to air,kg,0.76056338
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,ef3ec802-2d73-3f04-8dad-bc32d0a03eea,3-Pentanol,000584-02-1,indoor,Emission to air,kg,0.43943662
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,eaf2d256-75f5-3555-b66d-a204c05426f4,2-Hexanone,000591-78-6,indoor,Emission to air,kg,0.558685446
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,71353ebf-383b-33fa-9349-8bfa0df61801,Pentane,000109-66-0,indoor,Emission to air,kg,0.399530516
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,e75fd2b7-41a0-39e7-9784-82c545512033,s-Butyl acetate,000105-46-4,indoor,Emission to air,kg,0.271830986
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,16210d98-77fb-31c0-88b5-1659c4e6434c,N-octane,000111-65-9,indoor,Emission to air,kg,0.43943662
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,45d459a5-33fc-37fa-bcfa-16cc05ebe2b1,"Methane, monochloro-, R-40",000074-87-3,indoor,Emission to air,kg,0.005211268
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,59c6b3ad-7ded-39fa-90fe-0087cb3660a4,4-Hydroxy-4-methyl-2-pentanone,000123-42-2,indoor,Emission to air,kg,0.263849765
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,f375005a-03a4-3497-8cdd-a248bae61fcd,"3,3-Dimethyl-2-butanone",000075-97-8,indoor,Emission to air,kg,0.327699531
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,508f6f4a-2420-3646-a5bc-65175881baf2,Methyl ethyl ketone,000078-93-3,indoor,Emission to air,kg,0.379812207
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,f6b2d30a-e90c-34b1-9756-821f416f1603,"Ethanol, 2-methoxy-",000109-86-4,indoor,Emission to air,kg,0.303755869
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,0758fd39-21c0-3f92-bcbc-2f7ff3fc3a25,Diethyl ether,000060-29-7,indoor,Emission to air,kg,0.478873239
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,103afa13-5b3a-30c3-88d3-8594ded2d79d,"Ethene, dichloro- (trans)",000156-60-5,indoor,Emission to air,kg,0.395774648
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,194d7081-d8c8-3467-b3cb-3845e697ff37,Cumene,000098-82-8,indoor,Emission to air,kg,0.521126761
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,a948693d-2010-39c2-9cd1-b9844754fdb0,2-Methyl-1-propanol,000078-83-1,indoor,Emission to air,kg,0.379812207
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,fddc0a18-cf8f-384c-8b8a-558ed4d4bae1,Decane,000124-18-5,indoor,Emission to air,kg,0.387793427
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,756db068-d8ff-3c5f-badc-e430dbd82a7d,1-Butanol,000071-36-3,indoor,Emission to air,kg,1.276995305
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,e97ec376-5436-35b7-a1d5-cd18999e7b0b,Heptane,000142-82-5,indoor,Emission to air,kg,0.521126761
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,6de483db-a3e1-33e8-abb2-715555035181,Cyclohexanol,000108-93-0,indoor,Emission to air,kg,0.43943662
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,772ec94e-900d-3303-ad15-c04dd2578d2b,Acetone,000067-64-1,indoor,Emission to air,kg,0.095774648
IMPACT 2002+,693923a7-7b4e-3cef-b36c-295cf634ea31,Respiratory organics,kg C2H4 eq,58f86d12-b811-3ca0-9c2d-83559bcc4ca3,Acetic acid,000064-19-7,indoor,Emission to air,kg,0.1
