IMPACT_METHOD,IMPACT_CATEGORY_UUID,IMPACT_CATEGORY,REFERENCE_UNIT,FLOW_UUID,FLOW,CAS_NUMBER,SUBCATEGORY,CATEGORY,UNIT,VALUE
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,7e7d6ebb-8c9c-4ecb-b64b-23a8c2c908c4,"Occupation, permanent crop, fruit, extensive",,land,Resource,m2*a,0.42
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,c14ea750-4a9f-41fa-bcc1-4a1d84466f43,"Occupation, river, artificial",,land,Resource,m2*a,0.61
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,f318deb8-ac36-47c0-bb00-e3022b583c7e,"Occupation, permanent crop, vine, extensive",,land,Resource,m2*a,0.42
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,69dfa439-8e4e-4cae-bb0c-85a8aa8b9a73,"Occupation, lake, artificial",,land,Resource,m2*a,0.61
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,18636f13-f552-4136-a353-3b5a8e5f87d1,"Occupation, permanent crop, non-irrigated",,land,Resource,m2*a,0.57
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,c7cb5880-4219-4051-9357-10fdd08c6f2b,"Occupation, unspecified",,land,Resource,m2*a,0.63
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,c199261c-8234-43c5-b906-5b67707e4395,"Occupation, shrub land, sclerophyllous",,land,Resource,m2*a,-0.26
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,379ba5c9-5c3a-43d0-8e2d-605ad9c39e46,"Occupation, mineral extraction site",,land,Resource,m2*a,0.7
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,4b6b9b76-3199-4bd0-b11d-f8f2efbeac4e,"Occupation, construction site",,land,Resource,m2*a,0.7
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,2925111b-3464-4e34-9d02-b73c1c033e91,"Occupation, forest, extensive",,land,Resource,m2*a,0.29
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,fe9c3a98-a6d2-452d-a9a4-a13e64f1b95b,"Occupation, industrial area",,land,Resource,m2*a,0.8
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,3afbc2d8-1b51-4d43-87a7-e68291c1e999,"Occupation, permanent crop, irrigated, intensive",,land,Resource,m2*a,0.57
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,aca1714f-0040-4a65-a73a-0e38aa9f50f4,"Occupation, forest, intensive",,land,Resource,m2*a,0.63
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,26efe47c-92a5-4dea-b4d0-eac13e418a58,"Occupation, traffic area, road network",,land,Resource,m2*a,0.59
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,e9007a6f-7244-44d4-a561-91ae1b6c6cfc,"Occupation, permanent crop",,land,Resource,m2*a,0.57
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,56ec994a-eb96-42e8-93eb-4970e30e6362,"Occupation, urban, discontinuously built",,land,Resource,m2*a,0.3
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,956c5f83-65c8-4607-9749-147cfb9c8f70,"Occupation, traffic area, rail/road embankment",,land,Resource,m2*a,0.1
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,c9461a73-d00a-4fc7-a890-a9eda6af3185,"Occupation, permanent crop, non-irrigated, intensive",,land,Resource,m2*a,0.57
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,1896b498-8d13-4f58-8c17-21fe57740158,"Occupation, permanent crop, irrigated",,land,Resource,m2*a,0.57
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,a6889a22-e99e-42ea-85cd-4a68d7975dcd,"Occupation, annual crop, non-irrigated",,land,Resource,m2*a,0.61
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,250de680-25a7-4a3b-93c9-a9ed44bb4e0c,"Occupation, forest, intensive, clear-cutting",,land,Resource,m2*a,0.73
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,b91d0527-9a01-4a86-b420-c62b70629ba4,"Occupation, forest, unspecified",,land,Resource,m2*a,0.49
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,44ea6f89-8780-45b4-a80a-cfc3abcfef5f,"Occupation, industrial area, vegetation",,land,Resource,m2*a,0.39
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,1eaa9ea4-40b8-414a-b198-5626400372e1,"Occupation, dump site",,land,Resource,m2*a,-0.7
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,77e63dc5-3fbd-3535-90cb-18fdcb6bad17,"Occupation, annual crop, non-irrigated, monotone-intensive",,land,Resource,m2*a,0.74
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,59ded913-17fe-4b3e-80cb-79b97cdbef9a,"Occupation, pasture, man made",,land,Resource,m2*a,0.52
Ecosystem Damage Potential,13ea40f6-e3c9-3ac4-aace-6e5734293396,"linear, land occupation",points,c5aafa60-495c-461c-a1d4-b262a34c45b9,"Occupation, annual crop",,land,Resource,m2*a,0.61
