ID,Name,Description,Category,Flow type,CAS number,Chem. formula,Reference flow property
29d583f8-af5b-3dca-b5d4-0024ab013200,(+-)-Citronellol,,Elementary flows/Emission to air/low population density,elementary,026489-01-0,,Mass
69a5668f-dfa8-33c9-8a7e-a42eb750a816,(+-)-Citronellol,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,026489-01-0,,Mass
887788e9-2fc8-3712-b7a0-25e8d5be91fd,(+-)-Citronellol,,Elementary flows/Emission to water/unspecified,elementary,026489-01-0,,Mass
e82267aa-64fa-3637-b9a9-cfd4f42aee95,(+-)-Citronellol,,Elementary flows/Emission to air/unspecified,elementary,026489-01-0,,Mass
0e4bfc56-0910-367e-affc-39af2ffa5f6b,(+-)-Citronellol,,Elementary flows/Emission to soil/industrial,elementary,026489-01-0,,Mass
fa263e97-a738-39b6-a316-b22b4905f6c7,(+-)-Citronellol,,"Elementary flows/Emission to water/ground water, long-term",elementary,026489-01-0,,Mass
1debbfca-f4e2-37d3-b5fc-683c4e193990,(+-)-Citronellol,,Elementary flows/Emission to soil/agricultural,elementary,026489-01-0,,Mass
a8577aee-a356-30a9-8a29-a070fe001e4b,(+-)-Citronellol,,Elementary flows/Emission to water/river,elementary,026489-01-0,,Mass
a4f81b93-99a0-3006-8105-23becafd589b,(+-)-Citronellol,,"Elementary flows/Emission to air/low population density, long-term",elementary,026489-01-0,,Mass
7f46442f-5568-3454-a5c3-3224cda11167,(+-)-Citronellol,,Elementary flows/Emission to air/indoor,elementary,026489-01-0,,Mass
883c1615-07ba-3c0c-9371-36ba900aa089,(+-)-Citronellol,,Elementary flows/Emission to soil/unspecified,elementary,026489-01-0,,Mass
03e487e9-a031-3605-8c84-98dbacafa25f,(+-)-Citronellol,,Elementary flows/Emission to water/ocean,elementary,026489-01-0,,Mass
a5172014-61a5-3df8-ad83-894441acae3e,(+-)-Citronellol,,Elementary flows/Emission to air/high population density,elementary,026489-01-0,,Mass
4782f21c-9ab9-38d0-97ea-78b1d0def79f,"(1,7,7-Trimethyl-6-bicyclo[2.2.1]heptanyl) 2-methylprop-2-enoate",,"Elementary flows/Emission to air/low population density, long-term",elementary,007534-94-3,,Mass
27185a2d-dfa6-3a0f-be51-6045f3a6605f,"(1,7,7-Trimethyl-6-bicyclo[2.2.1]heptanyl) 2-methylprop-2-enoate",,Elementary flows/Emission to air/low population density,elementary,007534-94-3,,Mass
ca9ba80f-1de5-357f-a060-99987b5781cc,"(1,7,7-Trimethyl-6-bicyclo[2.2.1]heptanyl) 2-methylprop-2-enoate",,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,007534-94-3,,Mass
20460473-8e62-35e6-9bfc-a8e21028a82a,"(1,7,7-Trimethyl-6-bicyclo[2.2.1]heptanyl) 2-methylprop-2-enoate",,Elementary flows/Emission to air/indoor,elementary,007534-94-3,,Mass
3eb3f389-8509-304c-a0d0-ba177ad5a548,"(1,7,7-Trimethyl-6-bicyclo[2.2.1]heptanyl) 2-methylprop-2-enoate",,Elementary flows/Emission to air/unspecified,elementary,007534-94-3,,Mass
7e79d839-2445-35f6-9c04-0d8ed18c742a,"(1,7,7-Trimethyl-6-bicyclo[2.2.1]heptanyl) 2-methylprop-2-enoate",,Elementary flows/Emission to air/high population density,elementary,007534-94-3,,Mass
33fb3a70-dc75-3a1b-b2a6-89a546e749d6,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to air/low population density,elementary,000464-49-3,,Mass
17a67a87-5e40-301a-8e7f-ad6a9bc6ef11,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to soil/agricultural,elementary,000464-49-3,,Mass
595b06a1-1b38-39bd-bd6c-79e01f45f164,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to water/unspecified,elementary,000464-49-3,,Mass
9ce7f0d5-6d4f-3bff-b2fb-e621ec2bd252,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to air/indoor,elementary,000464-49-3,,Mass
6f306d37-5030-4da2-8171-937de036a478,"(1R,4R)-(+)-CAMPHOR",,Elementary flows/Emission to soil/unspecified,elementary,000464-49-3,,Mass
00c3eaf0-7c2f-3f63-a756-37ffbd4f2b21,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to air/high population density,elementary,000464-49-3,,Mass
f7b98956-9e40-31f3-8455-b9d9c7cd7375,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to air/unspecified,elementary,000464-49-3,,Mass
b2e1ca51-5ce3-3427-8ef1-288d029edbf4,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to water/ocean,elementary,000464-49-3,,Mass
29b54363-be1c-370b-9ed0-d198a7a90bca,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to soil/forestry,elementary,000464-49-3,,Mass
944e1282-d21d-3be7-9ca7-9c9dee621a13,"(1r,4r)-(+)-Camphor",,"Elementary flows/Emission to water/ground water, long-term",elementary,000464-49-3,,Mass
a7835131-3d2b-3e40-a7af-8493ebfabcbf,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to water/river,elementary,000464-49-3,,Mass
0b62f0e1-2782-3f86-8962-549ef45d6ec2,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to soil/industrial,elementary,000464-49-3,,Mass
54fa6000-b2ea-3272-9226-c92f1e39b48c,"(1r,4r)-(+)-Camphor",,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,000464-49-3,,Mass
e1f43a25-914d-3bc6-8c27-04c739f26280,"(1r,4r)-(+)-Camphor",,"Elementary flows/Emission to air/low population density, long-term",elementary,000464-49-3,,Mass
76faabef-4ccc-49e1-8f90-9bba6aa50da4,(1s)-(-)-alpha-pinene,,Elementary flows/Emission to air/unspecified,elementary,007785-26-4,C10H16,Mass
5d7ca399-13af-30ed-8926-afd3dc1f2825,"(3,4-Diethyl-6-methyloctyl) acetate",,Elementary flows/Emission to air/unspecified,elementary,108419-35-8,,Mass
863345c7-d471-49e9-ab79-8bc6124d50d0,"(4s,5s)-1,1,2,2,3,3,4,5-octafluorocyclopentane",,Elementary flows/Emission to air/unspecified,elementary,,,Mass
74312106-172f-3e4d-8894-8da7733113ef,"(E)-1,2,3,3,3-Pentafluoroprop-1-ene",,Elementary flows/Emission to air/unspecified,elementary,005595-10-8,,Mass
58b3cc0e-1a8b-4435-a9a8-561898c6b3e2,(e)-1-chloro-2-fluoroethene,,Elementary flows/Emission to air/unspecified,elementary,,,Mass
c65a3e20-ae1a-3953-aafe-793aaeffbddf,"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",,Elementary flows/Emission to air/unspecified,elementary,102687-65-0,,Mass
e475221d-6d76-3c74-8d7d-3ad9d4d274ad,"(E,Z)-2,13-Octadecadienyl acetate",,Elementary flows/Emission to soil/agricultural,elementary,086252-65-5,,Mass
11060282-d1f7-3679-84d9-67542732c05c,"(E,Z)-octadeca-3,13-dienyl acetate",,Elementary flows/Emission to soil/agricultural,elementary,053120-26-6,,Mass
4d21069a-624a-3b17-9feb-70514df7a5ed,(Perfluorobutyl)ethylene,,Elementary flows/Emission to air/indoor,elementary,019430-93-4,,Mass
1e41f6f5-d909-350c-8b4e-b68d260807e0,(Perfluorobutyl)ethylene,,Elementary flows/Emission to air/unspecified,elementary,019430-93-4,,Mass
3ec12537-b87e-383a-8c19-eee6b3850b58,(Perfluorobutyl)ethylene,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,019430-93-4,,Mass
269e987e-733e-3bd6-829d-950663a37c40,(Perfluoroctyl)ethylene,,Elementary flows/Emission to air/unspecified,elementary,021652-58-4,,Mass
233ec4bb-ba04-3dd0-b785-9909c09510be,(Perfluorohexyl)ethylene,,Elementary flows/Emission to air/unspecified,elementary,025291-17-2,,Mass
9bc993d4-fb48-3a0b-b62c-a12ff6fa46e7,(R)-2-(4-chloro-2-methylphenoxy)propionic acid,,Elementary flows/Emission to soil/unspecified,elementary,,,Mass
d69bd218-712d-3d2a-bb84-4e72c03eb7ed,"(Z)-1,1,1,4,4,4-Hexafluorobut-2-ene",,Elementary flows/Emission to air/unspecified,elementary,000692-49-9,,Mass
e9d29ed6-79d1-3f33-8203-dc76f07b3f70,"(Z)-1,2,3,3,3-Pentafluoroprop-1-ene",,Elementary flows/Emission to air/unspecified,elementary,005528-43-8,,Mass
db7344e3-74a1-3ae0-bd71-8eead80c808c,"(Z)-1,3,3,3-Tetrafluoroprop-1-ene",,Elementary flows/Emission to air/unspecified,elementary,029118-25-0,,Mass
ba1160e6-ad16-3f67-a6b8-a0faaa6cb517,1'-Acetoxysafrole,,Elementary flows/Emission to water/lake,elementary,034627-78-6,,Mass
90e15f2a-e993-3e11-8323-2153a7ba9e21,1'-Acetoxysafrole,,Elementary flows/Emission to soil/industrial,elementary,034627-78-6,,Mass
ff849f94-3e07-3141-b619-36cd41836f93,1'-Acetoxysafrole,,Elementary flows/Emission to air/lower stratosphere + upper troposphere,elementary,034627-78-6,,Mass
cc3ae773-7611-3374-9409-9648b2a5b277,1'-Acetoxysafrole,,Elementary flows/Emission to air/unspecified,elementary,034627-78-6,,Mass
846c0979-06f9-3927-9cdc-b7b40b0e97e0,1'-Acetoxysafrole,,Elementary flows/Emission to water/river,elementary,034627-78-6,,Mass
