"c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d";"HH cancer + BEES+.csv";"BEES+";"HH cancer";"g C6H6 eq"
"d9a858ea-4a6d-3645-9b16-216e70617c54";"Freshwater + Selected LCI results, additional.csv";"Selected LCI results, additional";"Freshwater";"m3"
"f8df2095-d8d1-3a44-b091-51588127c597";"Photochemical oxidation + EPD (2018).csv";"EPD (2018)";"Photochemical oxidation";"kg NMVOC"
"693923a7-7b4e-3cef-b36c-295cf634ea31";"Respiratory organics + IMPACT 2002+.csv";"IMPACT 2002+";"Respiratory organics";"kg C2H4 eq"
"a6371f3f-6f95-32ac-9082-b85dd201e999";"Marine ecotoxicity + ReCiPe 2016 Endpoint (H).csv";"ReCiPe 2016 Endpoint (H)";"Marine ecotoxicity";"species.yr"
"3ab8e56c-c663-3d5b-9003-b313dfa2fcdf";"Ionising radiation, HH + EF Method (adapted).csv";"EF Method (adapted)";"Ionising radiation, HH";"kBq U-235 eq"
"9ea0f2d6-0f60-3e80-b2e4-6adebe5e7803";"Renewable, biomass + Cumulative Energy Demand.csv";"Cumulative Energy Demand";"Renewable, biomass";"MJ"
"1d7b2c0f-374e-38a1-9de1-f8c2b0813206";"Radioactive substances into air + Ecological Scarcity 2013.csv";"Ecological Scarcity 2013";"Radioactive substances into air";"UBP"
"1b63fe3e-9ef1-3e19-a77e-d228e775da6c";"Water pollutants + Ecological Scarcity 2013.csv";"Ecological Scarcity 2013";"Water pollutants";"UBP"
"e6a5f291-2ab1-3bdd-9eab-1347a213614c";"Water consumption + ReCiPe 2016 Midpoint (I).csv";"ReCiPe 2016 Midpoint (I)";"Water consumption";"m3"
"58430da7-9bcd-3d93-a08e-981cd7059b08";"Gravation of angina pectoris + EPS 2015d.csv";"EPS 2015d";"Gravation of angina pectoris";"PersonYr"
"00af7673-38a0-3b59-a7ac-10fafe9b83d2";"Eutrophication, freshwater + EF 3.0 Method (adapted).csv";"EF 3.0 Method (adapted)";"Eutrophication, freshwater";"kg P eq"
"c26489d8-cbb4-3944-962b-81d2aeeea488";"Renal dysfunction + EPS 2015d.csv";"EPS 2015d";"Renal dysfunction";"case"
"7aa1757a-5610-379d-a591-17f610bd88a9";"Resources + Pfister et al 2009 (Eco-indicator 99).csv";"Pfister et al 2009 (Eco-indicator 99)";"Resources";"MJ surplus"
