LCIA category,Flow,Flow property,Flow unit,Location,Factor
00baa376-4153-3589-bd36-29bb588c144e,00793b76-e63c-44c5-854c-0dad4a247dcc,Mass,kg,,5.06E-6
00baa376-4153-3589-bd36-29bb588c144e,01d719e4-2462-4175-8b07-a2c819f64259,Mass,kg,,4.25E-9
00baa376-4153-3589-bd36-29bb588c144e,032f324c-555e-450f-bc87-f012497f0e19,Mass,kg,,2.99E-6
00baa376-4153-3589-bd36-29bb588c144e,033d3a16-e1a2-4ce8-8769-f4ea867801ca,Mass,kg,,3.27E-6
00baa376-4153-3589-bd36-29bb588c144e,034cdc60-f0d7-3201-b380-781a8dc352f4,Mass,kg,,8.62E-9
00baa376-4153-3589-bd36-29bb588c144e,03758df7-503a-400e-bc7b-ec05825761a5,Mass,kg,,3.76E-9
00baa376-4153-3589-bd36-29bb588c144e,038a4e3f-7406-4ed3-a076-7ebb3433e02e,Mass,kg,,3.21E-4
00baa376-4153-3589-bd36-29bb588c144e,045ede3d-bca7-4aa0-887f-45476e768a1f,Mass,kg,,1.73E-6
00baa376-4153-3589-bd36-29bb588c144e,04a6edb8-624a-484e-8f85-d771657adae7,Mass,kg,,6.16E-7
00baa376-4153-3589-bd36-29bb588c144e,050da0cd-2957-45a9-ae7a-ace372083fe5,Mass,kg,,3.32E-7
00baa376-4153-3589-bd36-29bb588c144e,05b046ff-5ae5-37e8-b908-2533621b33bb,Mass,kg,,9.85E-7
00baa376-4153-3589-bd36-29bb588c144e,065b12f0-582c-3dfa-8aa7-0649c22ee023,Mass,kg,,7.62E-7
00baa376-4153-3589-bd36-29bb588c144e,0672d2f6-109b-485b-bedd-42b743dbddec,Mass,kg,,2.47E-4
00baa376-4153-3589-bd36-29bb588c144e,0685ebf0-2a57-3c1d-a5f8-ed0ab2ff0d82,Mass,kg,,1.79E-5
00baa376-4153-3589-bd36-29bb588c144e,06a4fedf-dab4-4ef1-90df-1d0ce8fe6477,Mass,kg,,7.33E-6
00baa376-4153-3589-bd36-29bb588c144e,06d50647-91a7-4b0b-959c-aa0b083aa9f7,Mass,kg,,3.57E-6
00baa376-4153-3589-bd36-29bb588c144e,07048978-213f-3668-a7b6-c12989c47fb8,Mass,kg,,1.14E-5
00baa376-4153-3589-bd36-29bb588c144e,0748392c-3716-3457-8815-9917c9f5bc56,Mass,kg,,1.23E-7
00baa376-4153-3589-bd36-29bb588c144e,0795345f-c7ae-410c-ad25-1845784c75f5,Mass,kg,,1.22E-7
00baa376-4153-3589-bd36-29bb588c144e,08364dee-e963-468f-a566-6ba34c8ca6a5,Mass,kg,,3.89E-6
00baa376-4153-3589-bd36-29bb588c144e,0974d429-0b86-4bc7-9a55-a3124f711901,Mass,kg,,4.66E-6
00baa376-4153-3589-bd36-29bb588c144e,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,9.85E-9
00baa376-4153-3589-bd36-29bb588c144e,0a422843-73b9-4486-ba6a-7933f3037291,Mass,kg,,9.68E-7
00baa376-4153-3589-bd36-29bb588c144e,0b379b2d-dcd5-4b27-a61d-c14193251189,Mass,kg,,2.28E-5
00baa376-4153-3589-bd36-29bb588c144e,0bedb00e-da1d-4861-8609-5608ea83c0f5,Mass,kg,,1.52E-8
00baa376-4153-3589-bd36-29bb588c144e,0bf92802-8b5e-43f5-a261-95c06bd5c551,Mass,kg,,2.2E-6
00baa376-4153-3589-bd36-29bb588c144e,0c01bc32-1f7a-4159-8082-a4d90f715caa,Mass,kg,,3.21E-4
00baa376-4153-3589-bd36-29bb588c144e,0c4afee9-d989-4642-9e9a-3bc2341e3367,Mass,kg,,3.4E-6
00baa376-4153-3589-bd36-29bb588c144e,0d9f1f58-e5b6-4387-a22e-ae28c4ccfc6a,Mass,kg,,1.37E-6
00baa376-4153-3589-bd36-29bb588c144e,0f70e720-127e-44dc-bb85-438158235ab6,Mass,kg,,5.11E-8
00baa376-4153-3589-bd36-29bb588c144e,0fabc8f6-1818-303d-ad16-23e67492c89a,Mass,kg,,4.17E-10
00baa376-4153-3589-bd36-29bb588c144e,1013b9ec-a7b5-459c-be3d-74f61b9ce06e,Mass,kg,,6.77E-5
00baa376-4153-3589-bd36-29bb588c144e,105b0ac9-158c-391d-aa8c-4a34a4feabf4,Mass,kg,,1.39E-6
00baa376-4153-3589-bd36-29bb588c144e,119c9554-351e-417b-ad7d-8c94dc499d1d,Mass,kg,,2.05E-6
00baa376-4153-3589-bd36-29bb588c144e,12bb7ba6-0cb3-39bb-b920-a7aef7adb5ce,Mass,kg,,3.27E-6
00baa376-4153-3589-bd36-29bb588c144e,131e8d33-853b-4e06-aeaa-d56ff0e571a0,Mass,kg,,7.67E-7
00baa376-4153-3589-bd36-29bb588c144e,1346c00b-3aa0-4f3b-a036-b2060128dde9,Mass,kg,,1.52E-5
00baa376-4153-3589-bd36-29bb588c144e,14f28ac8-187a-435d-89de-39a6ad595a71,Mass,kg,,2.05E-6
00baa376-4153-3589-bd36-29bb588c144e,151212b4-079b-43a2-96d5-a6eef59166ac,Mass,kg,,2.83E-6
00baa376-4153-3589-bd36-29bb588c144e,1573325d-0e33-3b89-9f8a-e83f4f958d65,Mass,kg,,2.26E-5
00baa376-4153-3589-bd36-29bb588c144e,1584734d-c5c8-42a5-aa51-0f6a92a9cc0d,Mass,kg,,8.73E-5
00baa376-4153-3589-bd36-29bb588c144e,15a335be-9a71-431f-a0b0-56585fbafe5e,Mass,kg,,4.93E-8
00baa376-4153-3589-bd36-29bb588c144e,15d34aed-2d4b-3173-8b63-14a6278c742e,Mass,kg,,7.62E-7
00baa376-4153-3589-bd36-29bb588c144e,15e54d5b-aba2-40a6-9aa8-aa2b8c432129,Mass,kg,,2.14E-4
00baa376-4153-3589-bd36-29bb588c144e,1652c2e3-c6c5-49e1-9ad1-34c188087ca6,Mass,kg,,8.31E-6
00baa376-4153-3589-bd36-29bb588c144e,167d959c-fd63-48be-8bb4-e78415b17180,Mass,kg,,1.37E-6
00baa376-4153-3589-bd36-29bb588c144e,1683da6d-157f-3058-8de2-af08f2a1291f,Mass,kg,,4.5E-11
00baa376-4153-3589-bd36-29bb588c144e,16eeda8a-1ea2-408e-ab37-2648495058dd,Mass,kg,,2.5E-8
00baa376-4153-3589-bd36-29bb588c144e,16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74,Mass,kg,,5.44E-6
00baa376-4153-3589-bd36-29bb588c144e,170cf8c7-598c-4431-9528-702146b2c052,Mass,kg,,1.62E-6
00baa376-4153-3589-bd36-29bb588c144e,18c582fe-7336-4138-8797-2db8b7a754c7,Mass,kg,,7.4E-6
00baa376-4153-3589-bd36-29bb588c144e,18ddd879-5496-4419-8ab7-e0d3864d977d,Mass,kg,,3.36E-5
00baa376-4153-3589-bd36-29bb588c144e,18ea247b-edc2-43fe-89bd-cedd04102bcc,Mass,kg,,5.11E-8
00baa376-4153-3589-bd36-29bb588c144e,1963a3ba-6d77-4571-bb8f-0e9c8ac28a65,Mass,kg,,9.8E-5
00baa376-4153-3589-bd36-29bb588c144e,198d9409-67a4-39f6-b579-47940e44db68,Mass,kg,,8.76E-10
00baa376-4153-3589-bd36-29bb588c144e,1aac8e28-e1d4-3a92-89b8-5a97ceae0b69,Mass,kg,,6.93E-9
00baa376-4153-3589-bd36-29bb588c144e,1aadf4e4-f749-4b0e-83e0-6d99ab05d498,Mass,kg,,1.26E-6
00baa376-4153-3589-bd36-29bb588c144e,1b3e4e3a-d2ff-4974-b785-91e909c413b9,Mass,kg,,4.25E-9
00baa376-4153-3589-bd36-29bb588c144e,1b64f908-e50e-31db-bb12-b1de3d9755f7,Mass,kg,,1.2E-7
00baa376-4153-3589-bd36-29bb588c144e,1b84f153-39ce-3438-81cc-21e4b944cd20,Mass,kg,,3.65E-6
00baa376-4153-3589-bd36-29bb588c144e,1c003fb2-f0ee-4af1-9491-60f0e5b9d9c9,Mass,kg,,1.62E-6
00baa376-4153-3589-bd36-29bb588c144e,1c019053-2b4b-3f69-a07a-c2b27d61c410,Mass,kg,,1.52E-6
00baa376-4153-3589-bd36-29bb588c144e,1c4a106a-53bc-40f5-bcae-d30ab191dbfe,Mass,kg,,5.75E-7
00baa376-4153-3589-bd36-29bb588c144e,1c6084c6-f1f4-448f-badf-2ed8c7e354ee,Mass,kg,,5.34E-7
00baa376-4153-3589-bd36-29bb588c144e,1c9acbd0-2960-4cfc-a859-817bfa50c3e2,Mass,kg,,2.88E-4
00baa376-4153-3589-bd36-29bb588c144e,1cdaa783-25d9-3c5d-8da3-3e95f5f9da4a,Mass,kg,,1.63E-9
00baa376-4153-3589-bd36-29bb588c144e,1ce97171-11ab-31cd-b1c2-4734dea4ddfe,Mass,kg,,5.25E-8
00baa376-4153-3589-bd36-29bb588c144e,1d36b508-4832-3730-a298-247e7bc35452,Mass,kg,,1.78E-9
00baa376-4153-3589-bd36-29bb588c144e,1dd064fe-068e-3c9c-aa16-171e054a47fb,Mass,kg,,1.57E-6
00baa376-4153-3589-bd36-29bb588c144e,1e060d5a-cd41-4f30-9c93-272403b7e004,Mass,kg,,8.73E-5
00baa376-4153-3589-bd36-29bb588c144e,1e41f6f5-d909-350c-8b4e-b68d260807e0,Mass,kg,,5.7E-10
00baa376-4153-3589-bd36-29bb588c144e,1f1f7a46-29ea-427c-b986-41c77049897c,Mass,kg,,3.37E-6
00baa376-4153-3589-bd36-29bb588c144e,1f38a629-a382-3721-a74c-637283828233,Mass,kg,,1.2E-7
00baa376-4153-3589-bd36-29bb588c144e,1fc08073-4993-467f-9577-6254e36585d1,Mass,kg,,4.1E-6
00baa376-4153-3589-bd36-29bb588c144e,1fdc280a-34d3-4513-b110-3f526b17c443,Mass,kg,,3.2E-4
00baa376-4153-3589-bd36-29bb588c144e,20185046-64bb-4c09-a8e7-e8a9e144ca98,Mass,kg,,1.97E-6
00baa376-4153-3589-bd36-29bb588c144e,20408dd0-8534-11e0-9d78-0800200c9a66,Mass,kg,,1.19E-7
00baa376-4153-3589-bd36-29bb588c144e,20408dd1-8534-11e0-9d78-0800200c9a66,Mass,kg,,1.19E-7
00baa376-4153-3589-bd36-29bb588c144e,20712812-50ef-3616-8bfe-5100974525a0,Mass,kg,,2.07E-5
00baa376-4153-3589-bd36-29bb588c144e,2083e917-8e4b-4501-a692-04444ef4f568,Mass,kg,,5.57E-9
00baa376-4153-3589-bd36-29bb588c144e,20c2c53b-0ea1-3b4d-a581-6d4a69941297,Mass,kg,,8.67E-9
00baa376-4153-3589-bd36-29bb588c144e,20d0fc73-b9ce-4001-ac15-893b30ed10a3,Mass,kg,,2.83E-6
00baa376-4153-3589-bd36-29bb588c144e,2127bd4e-541a-4684-8129-91b3cd2cced0,Mass,kg,,2.37E-5
00baa376-4153-3589-bd36-29bb588c144e,21a31d79-04e9-368f-a92a-7f5c49198ad6,Mass,kg,,2.2E-5
00baa376-4153-3589-bd36-29bb588c144e,21f7d520-f329-4592-8880-949a08773371,Mass,kg,,4.93E-8
00baa376-4153-3589-bd36-29bb588c144e,224927be-fee0-3c11-9971-cd99317285e4,Mass,kg,,1.97E-6
00baa376-4153-3589-bd36-29bb588c144e,233ec4bb-ba04-3dd0-b785-9909c09510be,Mass,kg,,4.51E-10
00baa376-4153-3589-bd36-29bb588c144e,23a9f33d-dbab-4fcc-8f49-1df731b0b827,Mass,kg,,3.17E-4
00baa376-4153-3589-bd36-29bb588c144e,246c87af-4495-4977-8d39-eae397c1c8f1,Mass,kg,,5.11E-8
00baa376-4153-3589-bd36-29bb588c144e,258263a0-6be3-4439-bd84-efee0498b849,Mass,kg,,1.2E-7
