LCIA category,Flow,Flow property,Flow unit,Location,Factor
01db89a3-6b29-388f-bd44-65fd3dec50c8,008406cb-fb38-32c4-8e81-4edfc46b7fb9,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0102958d-e9b8-30b2-b1b6-3b10ddba458f,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0104c6dc-976f-3262-be85-c1ef1861e7b3,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0125d40c-b7e8-4f98-a5ac-09115efeb568,Mass,kg,,3.63E-6
01db89a3-6b29-388f-bd44-65fd3dec50c8,0245b0e3-f250-3fac-aea1-26a7d949926d,Mass,kg,,1.78E-6
01db89a3-6b29-388f-bd44-65fd3dec50c8,025fcb20-0591-4bae-80fc-7c34e9af2e7b,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0315d855-dff2-44af-bb37-1b855df53d69,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,051aaf7a-6c1a-4e86-999f-85d5f0830df6,Mass,kg,,3.77E-6
01db89a3-6b29-388f-bd44-65fd3dec50c8,059e6a26-7035-4621-a360-c71c5778eec8,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,06911561-7da9-487c-adda-85e268d672af,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0758fd39-21c0-3f92-bcbc-2f7ff3fc3a25,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,08351d0e-94b3-3bc8-a9a6-9afcd5e10999,Mass,kg,,3.63E-6
01db89a3-6b29-388f-bd44-65fd3dec50c8,086f6b04-002c-49a0-9be8-2bad29a9c17a,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,08a91e70-3ddc-11dd-91be-0050c2490048,Mass,kg,,1.78E-6
01db89a3-6b29-388f-bd44-65fd3dec50c8,08a91e70-3ddc-11dd-9734-0050c2490048,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,09adf1e6-9c65-4d35-80ae-b22bc6d23660,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,09c332a9-1186-36ac-aa4e-3da3e002f29d,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0a07a739-e6cf-4716-87a8-1078afbd3f0f,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0a1c31ee-d004-4b9e-9c9e-2e5fd03e4e45,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0aa4a379-3db3-4aad-950c-1bc4a58c6519,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0b0d8098-ecbf-4020-afd6-4bcf9db686ce,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0b9698ec-8b52-4986-8f9f-ad30915aa00c,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0d25326e-2335-4a06-8ecb-d161f02adccf,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0d3ccb17-b3fe-4c08-b7cb-458ed3ababf1,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0d4989fd-00e3-4522-905f-2ab6a1bd5677,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0e7c1a7b-cd98-4f8d-a619-a687d3e2cb48,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0ea711fd-a920-3afd-8c2b-9da227b49522,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0ea9b371-2c9a-3847-a7e1-160f4c44fee4,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0ebdb68a-f50d-4b0c-ad4b-3a1104d8b454,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,3.99E-6
01db89a3-6b29-388f-bd44-65fd3dec50c8,0f70e720-127e-44dc-bb85-438158235ab6,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0f907765-2a94-48a8-8978-55a2757d3e24,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,0fc6eb33-1474-3834-a313-43cd3ce291c2,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,10571d92-ea97-4ac6-adb6-b25893a631cb,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,108e9780-646b-448d-903b-609b3f65950b,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,10d26189-a688-4859-8aa9-525e058a07f0,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,1119e45c-6707-3b66-af94-f60114491671,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,1258b87f-6a94-4c0f-a51a-cef98a3bf534,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,12840cef-c3b8-4ef2-b7d4-3a73dbd6a280,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,12aeeb5b-15e4-49b9-aa5e-572d607e9a6e,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,137f2ebc-8f8b-41fc-9ff6-d32f42565d56,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,13fb54aa-a54a-48de-b2ec-b9165dea111d,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,140f5c54-7965-420d-a5c1-0ed0f0671a55,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,16210d98-77fb-31c0-88b5-1659c4e6434c,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,165aaeac-93d1-4afd-adf2-e3d6c0eaf629,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,170567c3-eba5-4979-b1ed-69e081881c16,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,173b468a-3c3e-3981-a083-2f49e33787f9,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,17ab0ec3-6165-4b0d-aa90-165f6b7cd6cd,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,17f06f74-feea-4b7c-a125-a67ae6e1dcfb,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,18ea247b-edc2-43fe-89bd-cedd04102bcc,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,193e6e89-72db-40e1-9a8e-19017ea0e5b4,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,194d7081-d8c8-3467-b3cb-3845e697ff37,Mass,kg,,4.15E-7
01db89a3-6b29-388f-bd44-65fd3dec50c8,1a13d6e7-45c9-427a-a3c9-38887ce7b86a,Mass,kg,,4.15E-7
