LCIA category,Flow,Flow property,Flow unit,Location,Factor
076def33-8f2d-3fbd-9c6a-1b34095eb767,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,348.5
076def33-8f2d-3fbd-9c6a-1b34095eb767,003dd4a0-2f64-3bfa-bd49-af5418dfbd46,Mass,kg,,11480.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,00470530-4d8b-41b1-a27b-0f3fd6283650,Mass,kg,,1265.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,0061bdfe-e7a2-3a33-b56b-42381d4b0495,Mass,kg,,9181.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,009a49e8-09a7-4432-9cb9-f2dd18e8f922,Mass,kg,,783.6
076def33-8f2d-3fbd-9c6a-1b34095eb767,009ccb2d-86d7-417c-8db1-2f4582895b3a,Mass,kg,,25170.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,0125d40c-b7e8-4f98-a5ac-09115efeb568,Mass,kg,,2504000.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,016da38a-40a6-483c-b328-9782dc46e802,Mass,kg,,20.02
076def33-8f2d-3fbd-9c6a-1b34095eb767,018803e5-b728-3ab9-9f64-2a0916e191e0,Mass,kg,,1828.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,01acba00-571b-46a0-aff0-aeaabaac04f3,Mass,kg,,4982.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,01b4f18e-6ffe-3ee8-9084-9deb074dbb99,Mass,kg,,3.17E7
076def33-8f2d-3fbd-9c6a-1b34095eb767,01c30233-7cb3-43cb-85aa-7e7b4365a91c,Mass,kg,,4.85E9
076def33-8f2d-3fbd-9c6a-1b34095eb767,01c5cc72-704a-4639-8ff5-393274e93cca,Mass,kg,,51250.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,02381700-f27e-4ffa-b58f-e7309ad7f9e7,Mass,kg,,813.2
076def33-8f2d-3fbd-9c6a-1b34095eb767,0239a4f9-911f-433f-b71d-32c3f2c7ed77,Mass,kg,,662100.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,0286a14c-77d4-45c3-9c1a-971acf6b3b58,Mass,kg,,343.5
076def33-8f2d-3fbd-9c6a-1b34095eb767,02acaa38-8060-3589-82fb-7483dfe1df3c,Mass,kg,,29.83
076def33-8f2d-3fbd-9c6a-1b34095eb767,02b13ec3-7cbd-3379-9ce4-c59fc40ce29b,Mass,kg,,4586.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,03758df7-503a-400e-bc7b-ec05825761a5,Mass,kg,,8.887
076def33-8f2d-3fbd-9c6a-1b34095eb767,039539c6-20e2-4d55-8925-fec190f814a6,Mass,kg,,82390.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,042de84f-261d-4e29-bb7d-f43601cc2c7d,Mass,kg,,6522.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,045f7de9-60d5-4916-a504-5a1002a6e97e,Mass,kg,,132.2
076def33-8f2d-3fbd-9c6a-1b34095eb767,04b94d2a-ffcc-3e41-8f44-eb81f29b0abe,Mass,kg,,495000.0
076def33-8f2d-3fbd-9c6a-1b34095eb767,0545c382-2312-43b6-9ec3-63dbb1438565,Mass,kg,,17.6
